approval_id,doc_type,doc_id,approver_id,approval_level,sequence,action,action_date,sla_hours,actual_hours,remarks
APR000038,PR,PR00021,EMP031,1,1,approve,2024-06-21 00:00:00,24,18.19,ok
APR000039,PR,PR00022,EMP005,1,1,approve,2025-06-01 00:00:00,24,14.16,ok
APR000040,PR,PR00023,EMP029,1,1,approve,2024-06-29 00:00:00,24,3.86,ok
APR000041,PR,PR00023,EMP022,2,2,approve,2024-06-30 00:00:00,48,26.22,ok
APR000042,PR,PR00025,EMP001,1,1,approve,2025-12-05 00:00:00,24,70.69,SLA breach
APR000043,PR,PR00025,EMP019,2,2,approve,2025-12-06 00:00:00,48,31.21,SLA breach
APR000044,PR,PR00026,EMP027,1,1,approve,2024-12-12 00:00:00,24,5.65,ok
APR000045,PR,PR00026,EMP013,2,2,approve,2024-12-13 00:00:00,48,37.1,ok
APR000046,PR,PR00027,EMP017,1,1,approve,2024-12-27 00:00:00,24,3.23,ok
APR000047,PR,PR00028,EMP020,1,1,approve,2025-06-03 00:00:00,24,75.56,SLA breach
APR000048,PR,PR00029,EMP020,1,1,approve,2024-12-11 00:00:00,24,5.83,ok
APR000049,PR,PR00030,EMP037,1,1,approve,2024-03-31 00:00:00,24,7.12,ok
APR000050,PR,PR00032,EMP014,1,1,approve,2025-10-31 00:00:00,24,19.77,ok
APR000051,PR,PR00032,EMP019,2,2,approve,2025-10-31 00:00:00,48,12.26,ok
APR000052,PR,PR00033,EMP008,1,1,approve,2025-04-26 00:00:00,24,11.31,ok
APR000053,PR,PR00034,EMP039,1,1,approve,2025-04-05 00:00:00,24,7.35,ok
APR000054,PR,PR00034,EMP004,2,2,approve,2025-04-11 00:00:00,48,160.73,SLA breach
APR000055,PR,PR00035,EMP017,1,1,approve,2024-09-17 00:00:00,24,17.98,ok
APR000056,PR,PR00035,EMP039,2,2,approve,2024-09-17 00:00:00,48,15.85,ok
APR000057,PR,PR00035,EMP021,3,3,approve,2024-09-18 00:00:00,48,24.11,ok
APR000058,PR,PR00036,EMP040,1,1,approve,2025-04-27 00:00:00,24,69.51,SLA breach
APR000059,PR,PR00037,EMP016,1,1,approve,2024-07-02 00:00:00,24,13.72,ok
APR000060,PR,PR00038,EMP026,1,1,approve,2025-12-27 00:00:00,24,7.23,ok
APR000061,PR,PR00040,EMP032,1,1,approve,2024-07-13 00:00:00,24,9.99,ok
APR000062,PR,PR00041,EMP031,1,1,approve,2024-08-15 00:00:00,24,19.24,ok
APR000063,PR,PR00041,EMP006,2,2,approve,2024-08-16 00:00:00,48,26.33,ok
APR000064,PR,PR00042,EMP037,1,1,approve,2025-05-15 00:00:00,24,75.65,SLA breach
APR000065,PR,PR00042,EMP038,2,2,approve,2025-05-15 00:00:00,48,16.0,SLA breach
APR000066,PR,PR00043,EMP013,1,1,approve,2025-04-02 00:00:00,24,44.11,SLA breach
APR000067,PR,PR00043,EMP013,2,2,approve,2025-04-05 00:00:00,48,73.91,SLA breach
APR000068,PR,PR00043,EMP010,3,3,approve,2025-04-05 00:00:00,48,9.83,SLA breach
APR000069,PR,PR00044,EMP021,1,1,approve,2025-01-02 00:00:00,24,9.69,ok
APR000070,PR,PR00044,EMP027,2,2,approve,2025-01-02 00:00:00,48,12.3,ok
APR000071,PR,PR00045,EMP027,1,1,approve,2024-10-20 00:00:00,24,65.53,SLA breach
APR000072,PR,PR00046,EMP040,1,1,approve,2024-08-28 00:00:00,24,21.08,ok
APR000073,PR,PR00046,EMP007,2,2,approve,2024-08-29 00:00:00,48,37.22,ok
APR000074,PR,PR00046,EMP007,3,3,approve,2024-08-29 00:00:00,48,2.77,ok
APR000075,PR,PR00047,EMP034,1,1,approve,2024-11-12 00:00:00,24,20.61,ok
APR000076,PR,PR00047,EMP002,2,2,approve,2024-11-12 00:00:00,48,16.27,ok
APR000077,PR,PR00047,EMP034,3,3,approve,2024-11-13 00:00:00,48,33.5,ok
APR000078,PR,PR00048,EMP035,1,1,approve,2024-05-15 00:00:00,24,3.6,ok
APR000079,PR,PR00048,EMP036,2,2,approve,2024-05-15 00:00:00,48,4.92,ok
APR000080,PR,PR00049,EMP038,1,1,approve,2025-10-14 00:00:00,24,7.75,ok
APR000081,PR,PR00049,EMP030,2,2,approve,2025-10-20 00:00:00,48,165.43,SLA breach
APR000082,PR,PR00051,EMP032,1,1,approve,2025-05-05 00:00:00,24,7.25,ok
APR000083,PR,PR00051,EMP038,2,2,approve,2025-05-08 00:00:00,48,89.14,SLA breach
APR000084,PR,PR00055,EMP012,1,1,approve,2025-06-14 00:00:00,24,6.88,ok
APR000085,PR,PR00055,EMP020,2,2,approve,2025-06-14 00:00:00,48,4.78,ok
APR000086,PR,PR00055,EMP004,3,3,approve,2025-06-15 00:00:00,48,29.64,ok
APR000087,PR,PR00056,EMP033,1,1,approve,2024-10-21 00:00:00,24,18.43,ok
APR000088,PR,PR00056,EMP024,2,2,approve,2024-10-28 00:00:00,48,188.15,SLA breach
APR000089,PR,PR00057,EMP018,1,1,approve,2024-02-26 00:00:00,24,15.58,ok
APR000090,PR,PR00057,EMP022,2,2,approve,2024-02-27 00:00:00,48,42.48,ok
APR000091,PR,PR00058,EMP040,1,1,approve,2024-12-10 00:00:00,24,4.95,ok
APR000092,PR,PR00058,EMP015,2,2,approve,2024-12-11 00:00:00,48,35.12,ok
APR000093,PR,PR00059,EMP004,1,1,approve,2024-06-06 00:00:00,24,20.43,ok
APR000094,PR,PR00059,EMP027,2,2,approve,2024-06-06 00:00:00,48,14.63,ok
APR000095,PR,PR00059,EMP030,3,3,approve,2024-06-07 00:00:00,48,29.7,ok
APR000096,PR,PR00060,EMP039,1,1,approve,2024-07-06 00:00:00,24,2.5,ok
APR000097,PR,PR00060,EMP029,2,2,approve,2024-07-07 00:00:00,48,33.24,ok
APR000098,PR,PR00061,EMP009,1,1,approve,2025-02-08 00:00:00,24,19.63,ok
APR000099,PR,PR00061,EMP027,2,2,approve,2025-02-08 00:00:00,48,11.82,ok
APR000100,PR,PR00063,EMP015,1,1,approve,2025-01-04 00:00:00,24,49.38,SLA breach
APR000101,PR,PR00066,EMP033,1,1,approve,2024-05-04 00:00:00,24,3.61,ok
APR000102,PR,PR00066,EMP014,2,2,approve,2024-05-05 00:00:00,48,38.38,ok
APR000103,PR,PR00067,EMP019,1,1,approve,2025-02-02 00:00:00,24,81.1,SLA breach
APR000104,PR,PR00068,EMP018,1,1,approve,2025-07-05 00:00:00,24,15.08,ok
APR000105,PR,PR00068,EMP009,2,2,approve,2025-07-11 00:00:00,48,144.48,SLA breach
APR000106,PR,PR00069,EMP009,1,1,approve,2024-09-13 00:00:00,24,1.62,ok
APR000107,PR,PR00069,EMP001,2,2,approve,2024-09-13 00:00:00,48,6.42,ok
APR000108,PR,PR00070,EMP019,1,1,approve,2024-03-31 00:00:00,24,93.78,SLA breach
APR000109,PR,PR00073,EMP005,1,1,approve,2025-01-27 00:00:00,24,7.01,ok
APR000110,PR,PR00075,EMP035,1,1,approve,2024-07-09 00:00:00,24,78.86,SLA breach
APR000111,PR,PR00075,EMP034,2,2,approve,2024-07-15 00:00:00,48,155.61,SLA breach
APR000112,PR,PR00076,EMP012,1,1,approve,2024-03-21 00:00:00,24,57.39,SLA breach
APR000113,PR,PR00077,EMP001,1,1,approve,2024-03-20 00:00:00,24,11.37,ok
APR000114,PR,PR00077,EMP008,2,2,approve,2024-03-21 00:00:00,48,27.01,ok
APR000115,PR,PR00078,EMP025,1,1,approve,2025-10-11 00:00:00,24,5.58,ok
APR000116,PR,PR00078,EMP001,2,2,approve,2025-10-11 00:00:00,48,8.75,ok
APR000117,PR,PR00078,EMP013,3,3,approve,2025-10-16 00:00:00,48,131.0,SLA breach
APR000118,PR,PR00079,EMP030,1,1,approve,2025-01-15 00:00:00,24,6.3,ok
APR000119,PR,PR00080,EMP004,1,1,approve,2025-10-09 00:00:00,24,8.58,ok
APR000120,PR,PR00080,EMP016,2,2,approve,2025-10-10 00:00:00,48,40.1,ok
APR000121,PR,PR00081,EMP020,1,1,approve,2024-06-05 00:00:00,24,80.9,SLA breach
APR000122,PR,PR00082,EMP032,1,1,approve,2024-08-19 00:00:00,24,50.09,SLA breach
APR000123,PR,PR00084,EMP028,1,1,approve,2025-03-24 00:00:00,24,2.68,ok
APR000124,PR,PR00084,EMP031,2,2,approve,2025-03-25 00:00:00,48,40.73,ok
APR000125,PR,PR00086,EMP025,1,1,approve,2024-07-31 00:00:00,24,16.16,ok
APR000126,PR,PR00086,EMP028,2,2,approve,2024-08-01 00:00:00,48,34.13,ok
APR000127,PR,PR00087,EMP003,1,1,approve,2025-10-31 00:00:00,24,18.05,ok
APR000128,PR,PR00087,EMP008,2,2,approve,2025-10-31 00:00:00,48,14.04,ok
APR000129,PR,PR00088,EMP021,1,1,approve,2024-10-18 00:00:00,24,3.0,ok
APR000130,PR,PR00088,EMP004,2,2,approve,2024-10-19 00:00:00,48,25.49,ok
APR000131,PR,PR00089,EMP025,1,1,approve,2024-05-01 00:00:00,24,4.55,ok
APR000132,PR,PR00089,EMP006,2,2,approve,2024-05-02 00:00:00,48,42.83,ok
APR000133,PR,PR00090,EMP008,1,1,approve,2024-07-19 00:00:00,24,15.7,ok
APR000134,PR,PR00090,EMP008,2,2,approve,2024-07-19 00:00:00,48,9.75,ok
APR000135,PR,PR00091,EMP003,1,1,approve,2025-11-27 00:00:00,24,14.65,ok
APR000136,PR,PR00091,EMP020,2,2,approve,2025-11-27 00:00:00,48,8.94,ok
APR000137,PR,PR00092,EMP022,1,1,approve,2025-01-13 00:00:00,24,2.83,ok
APR000138,PR,PR00092,EMP015,2,2,approve,2025-01-13 00:00:00,48,7.18,ok
APR000139,PR,PR00093,EMP024,1,1,approve,2025-02-21 00:00:00,24,2.09,ok
APR000140,PR,PR00093,EMP039,2,2,approve,2025-02-21 00:00:00,48,11.51,ok
APR000141,PR,PR00094,EMP001,1,1,approve,2024-04-22 00:00:00,24,85.88,SLA breach
APR000142,PR,PR00096,EMP012,1,1,approve,2024-11-17 00:00:00,24,56.98,SLA breach
APR000143,PR,PR00097,EMP018,1,1,approve,2024-07-10 00:00:00,24,20.77,ok
APR000144,PR,PR00097,EMP032,2,2,approve,2024-07-15 00:00:00,48,130.69,SLA breach
APR000145,PR,PR00098,EMP016,1,1,approve,2024-06-07 00:00:00,24,66.67,SLA breach
APR000146,PR,PR00099,EMP023,1,1,approve,2025-10-13 00:00:00,24,6.78,ok
APR000147,PR,PR00099,EMP004,2,2,approve,2025-10-13 00:00:00,48,11.42,ok
APR000148,PR,PR00100,EMP031,1,1,approve,2025-02-10 00:00:00,24,8.06,ok
APR000149,PR,PR00102,EMP008,1,1,approve,2025-01-25 00:00:00,24,6.53,ok
APR000150,PR,PR00102,EMP016,2,2,approve,2025-01-28 00:00:00,48,77.47,SLA breach
APR000151,PR,PR00102,EMP018,3,3,approve,2025-01-29 00:00:00,48,27.99,SLA breach
APR000152,PR,PR00103,EMP024,1,1,approve,2024-07-23 00:00:00,24,15.96,ok
APR000153,PR,PR00104,EMP039,1,1,approve,2025-03-28 00:00:00,24,44.56,SLA breach
APR000154,PR,PR00105,EMP008,1,1,approve,2024-05-12 00:00:00,24,15.15,ok
APR000155,PR,PR00105,EMP015,2,2,approve,2024-05-13 00:00:00,48,42.81,ok
APR000156,PR,PR00105,EMP023,3,3,approve,2024-05-20 00:00:00,48,186.7,SLA breach
APR000157,PR,PR00106,EMP010,1,1,approve,2025-11-25 00:00:00,24,15.97,ok
APR000158,PR,PR00109,EMP024,1,1,approve,2024-08-31 00:00:00,24,1.62,ok
APR000159,PR,PR00109,EMP001,2,2,approve,2024-09-04 00:00:00,48,101.41,SLA breach
APR000160,PR,PR00109,EMP010,3,3,approve,2024-09-05 00:00:00,48,35.34,SLA breach
APR000161,PR,PR00110,EMP031,1,1,approve,2025-06-21 00:00:00,24,77.55,SLA breach
APR000162,PR,PR00110,EMP025,2,2,approve,2025-06-22 00:00:00,48,28.09,SLA breach
APR000163,PR,PR00112,EMP011,1,1,approve,2025-06-07 00:00:00,24,1.77,ok
APR000164,PR,PR00112,EMP006,2,2,approve,2025-06-12 00:00:00,48,127.57,SLA breach
APR000165,PR,PR00113,EMP011,1,1,approve,2025-12-24 00:00:00,24,20.24,ok
APR000166,PR,PR00115,EMP026,1,1,approve,2024-11-12 00:00:00,24,93.57,SLA breach
APR000167,PR,PR00116,EMP034,1,1,approve,2024-12-25 00:00:00,24,18.95,ok
APR000168,PR,PR00118,EMP014,1,1,approve,2025-12-04 00:00:00,24,13.38,ok
APR000169,PR,PR00118,EMP037,2,2,approve,2025-12-05 00:00:00,48,41.19,ok
APR000170,PR,PR00120,EMP031,1,1,approve,2025-11-07 00:00:00,24,3.36,ok
APR000171,PR,PR00120,EMP030,2,2,approve,2025-11-07 00:00:00,48,15.8,ok
APR000172,PR,PR00120,EMP026,3,3,approve,2025-11-08 00:00:00,48,35.62,ok
APR000173,PR,PR00121,EMP008,1,1,approve,2025-08-01 00:00:00,24,3.6,ok
APR000174,PR,PR00122,EMP030,1,1,approve,2024-04-28 00:00:00,24,3.13,ok
APR000175,PR,PR00122,EMP010,2,2,approve,2024-04-28 00:00:00,48,6.18,ok
APR000176,PR,PR00123,EMP010,1,1,approve,2023-12-22 00:00:00,24,11.67,ok
APR000177,PR,PR00123,EMP014,2,2,approve,2023-12-26 00:00:00,48,115.79,SLA breach
APR000178,PR,PR00124,EMP001,1,1,approve,2025-03-17 00:00:00,24,1.2,ok
APR000179,PR,PR00125,EMP037,1,1,approve,2024-12-17 00:00:00,24,14.26,ok
APR000180,PR,PR00125,EMP019,2,2,approve,2024-12-18 00:00:00,48,39.47,ok
APR000181,PR,PR00126,EMP017,1,1,approve,2025-10-16 00:00:00,24,18.88,ok
APR000182,PR,PR00126,EMP004,2,2,approve,2025-10-16 00:00:00,48,2.82,ok
APR000183,PR,PR00126,EMP022,3,3,approve,2025-10-16 00:00:00,48,4.17,ok
APR000184,PR,PR00127,EMP014,1,1,approve,2024-09-14 00:00:00,24,42.27,SLA breach
APR000185,PR,PR00127,EMP033,2,2,approve,2024-09-15 00:00:00,48,33.14,SLA breach
APR000186,PR,PR00127,EMP020,3,3,approve,2024-09-16 00:00:00,48,33.09,SLA breach
APR000187,PR,PR00129,EMP004,1,1,approve,2024-08-20 00:00:00,24,9.93,ok
APR000188,PR,PR00129,EMP015,2,2,approve,2024-08-21 00:00:00,48,41.47,ok
APR000189,PR,PR00130,EMP031,1,1,approve,2025-12-14 00:00:00,24,36.76,SLA breach
APR000190,PR,PR00130,EMP017,2,2,approve,2025-12-14 00:00:00,48,1.88,SLA breach
APR000191,PR,PR00130,EMP001,3,3,approve,2025-12-14 00:00:00,48,8.2,SLA breach
APR000192,PR,PR00131,EMP010,1,1,approve,2024-10-10 00:00:00,24,14.58,ok
APR000193,PR,PR00131,EMP037,2,2,approve,2024-10-10 00:00:00,48,2.3,ok
APR000194,PR,PR00131,EMP024,3,3,approve,2024-10-11 00:00:00,48,42.07,ok
APR000195,PR,PR00133,EMP001,1,1,approve,2025-06-18 00:00:00,24,57.14,SLA breach
APR000196,PR,PR00133,EMP019,2,2,approve,2025-06-21 00:00:00,48,88.53,SLA breach
APR000197,PR,PR00135,EMP028,1,1,approve,2025-08-14 00:00:00,24,19.04,ok
APR000198,PR,PR00135,EMP021,2,2,approve,2025-08-19 00:00:00,48,135.19,SLA breach
APR000199,PR,PR00137,EMP020,1,1,approve,2025-09-21 00:00:00,24,4.19,ok
APR000200,PR,PR00137,EMP032,2,2,approve,2025-09-22 00:00:00,48,40.52,ok
APR000201,PR,PR00137,EMP005,3,3,approve,2025-09-22 00:00:00,48,9.47,ok
APR000202,PR,PR00138,EMP007,1,1,approve,2024-05-18 00:00:00,24,15.37,ok
APR000203,PR,PR00138,EMP010,2,2,approve,2024-05-19 00:00:00,48,35.33,ok
APR000204,PR,PR00139,EMP033,1,1,approve,2025-02-22 00:00:00,24,4.72,ok
APR000205,PR,PR00139,EMP009,2,2,approve,2025-02-22 00:00:00,48,23.17,ok
APR000206,PR,PR00139,EMP038,3,3,approve,2025-02-23 00:00:00,48,25.85,ok
APR000207,PR,PR00140,EMP013,1,1,approve,2024-09-30 00:00:00,24,6.89,ok
APR000208,PR,PR00141,EMP019,1,1,approve,2025-09-20 00:00:00,24,1.46,ok
APR000209,PR,PR00142,EMP040,1,1,approve,2025-01-01 00:00:00,24,13.32,ok
APR000210,PR,PR00142,EMP031,2,2,approve,2025-01-02 00:00:00,48,38.45,ok
APR000211,PR,PR00142,EMP003,3,3,approve,2025-01-02 00:00:00,48,12.42,ok
APR000212,PR,PR00143,EMP035,1,1,approve,2025-12-19 00:00:00,24,60.78,SLA breach
APR000213,PR,PR00144,EMP033,1,1,approve,2025-03-03 00:00:00,24,15.37,ok
APR000214,PR,PR00144,EMP027,2,2,approve,2025-03-07 00:00:00,48,113.6,SLA breach
APR000215,PR,PR00145,EMP020,1,1,approve,2024-09-23 00:00:00,24,11.97,ok
APR000216,PR,PR00145,EMP002,2,2,approve,2024-09-29 00:00:00,48,163.56,SLA breach
APR000217,PR,PR00147,EMP023,1,1,approve,2024-11-22 00:00:00,24,10.61,ok
APR000218,PR,PR00147,EMP014,2,2,approve,2024-11-23 00:00:00,48,36.63,ok
APR000219,PR,PR00148,EMP005,1,1,approve,2025-12-28 00:00:00,24,3.33,ok
APR000220,PR,PR00149,EMP006,1,1,approve,2025-01-26 00:00:00,24,81.76,SLA breach
APR000221,PR,PR00149,EMP015,2,2,approve,2025-01-27 00:00:00,48,41.45,SLA breach
APR000222,PR,PR00150,EMP009,1,1,approve,2024-11-04 00:00:00,24,12.73,ok
APR000223,PR,PR00150,EMP027,2,2,approve,2024-11-04 00:00:00,48,11.34,ok
APR000224,PR,PR00151,EMP023,1,1,approve,2025-03-18 00:00:00,24,19.63,ok
APR000225,PR,PR00151,EMP016,2,2,approve,2025-03-24 00:00:00,48,155.63,SLA breach
APR000226,PR,PR00151,EMP022,3,3,approve,2025-03-24 00:00:00,48,6.02,SLA breach
APR000227,PR,PR00152,EMP010,1,1,approve,2024-01-02 00:00:00,24,4.68,ok
APR000228,PR,PR00152,EMP014,2,2,approve,2024-01-09 00:00:00,48,185.41,SLA breach
APR000229,PR,PR00153,EMP008,1,1,approve,2024-05-05 00:00:00,24,7.08,ok
APR000230,PR,PR00153,EMP008,2,2,approve,2024-05-06 00:00:00,48,39.79,ok
APR000231,PR,PR00154,EMP032,1,1,approve,2024-03-07 00:00:00,24,4.85,ok
APR000232,PR,PR00154,EMP006,2,2,approve,2024-03-07 00:00:00,48,9.38,ok
APR000233,PR,PR00155,EMP026,1,1,approve,2025-10-20 00:00:00,24,8.16,ok
APR000234,PR,PR00155,EMP031,2,2,approve,2025-10-21 00:00:00,48,33.65,ok
APR000235,PR,PR00155,EMP039,3,3,approve,2025-10-22 00:00:00,48,37.46,ok
APR000236,PR,PR00156,EMP036,1,1,approve,2024-08-07 00:00:00,24,19.79,ok
APR000237,PR,PR00157,EMP006,1,1,approve,2025-06-23 00:00:00,24,6.56,ok
APR000238,PR,PR00158,EMP015,1,1,approve,2024-11-09 00:00:00,24,9.19,ok
APR000239,PR,PR00159,EMP031,1,1,approve,2025-03-16 00:00:00,24,10.5,ok
APR000240,PR,PR00159,EMP006,2,2,approve,2025-03-17 00:00:00,48,37.24,ok
APR000241,PR,PR00159,EMP005,3,3,approve,2025-03-17 00:00:00,48,18.96,ok
APR000242,PR,PR00161,EMP035,1,1,approve,2025-05-18 00:00:00,24,77.64,SLA breach
APR000243,PR,PR00161,EMP040,2,2,approve,2025-05-18 00:00:00,48,5.0,SLA breach
APR000244,PR,PR00162,EMP006,1,1,approve,2025-09-15 00:00:00,24,21.38,ok
APR000245,PR,PR00163,EMP040,1,1,approve,2024-07-18 00:00:00,24,9.74,ok
APR000246,PR,PR00163,EMP013,2,2,approve,2024-07-19 00:00:00,48,43.11,ok
APR000247,PR,PR00163,EMP001,3,3,approve,2024-07-19 00:00:00,48,8.55,ok
APR000248,PR,PR00164,EMP012,1,1,approve,2025-11-25 00:00:00,24,15.69,ok
APR000249,PR,PR00164,EMP027,2,2,approve,2025-11-25 00:00:00,48,6.56,ok
APR000250,PR,PR00165,EMP006,1,1,approve,2024-06-29 00:00:00,24,63.98,SLA breach
APR000251,PR,PR00165,EMP008,2,2,approve,2024-06-29 00:00:00,48,20.54,SLA breach
APR000252,PR,PR00166,EMP034,1,1,approve,2025-12-23 00:00:00,24,16.91,ok
APR000253,PR,PR00166,EMP011,2,2,approve,2025-12-24 00:00:00,48,27.63,ok
APR000254,PR,PR00167,EMP035,1,1,approve,2025-09-08 00:00:00,24,4.35,ok
APR000255,PR,PR00169,EMP014,1,1,approve,2024-04-30 00:00:00,24,50.17,SLA breach
APR000256,PR,PR00169,EMP010,2,2,approve,2024-05-01 00:00:00,48,31.56,SLA breach
APR000257,PR,PR00170,EMP014,1,1,approve,2025-02-28 00:00:00,24,47.28,SLA breach
APR000258,PR,PR00170,EMP025,2,2,approve,2025-02-28 00:00:00,48,4.92,SLA breach
APR000259,PR,PR00171,EMP035,1,1,approve,2024-06-27 00:00:00,24,15.67,ok
APR000260,PR,PR00171,EMP012,2,2,approve,2024-06-27 00:00:00,48,5.71,ok
APR000261,PR,PR00172,EMP016,1,1,approve,2025-03-28 00:00:00,24,80.32,SLA breach
APR000262,PR,PR00172,EMP009,2,2,approve,2025-04-02 00:00:00,48,136.2,SLA breach
APR000263,PR,PR00173,EMP028,1,1,approve,2025-04-01 00:00:00,24,16.67,ok
APR000264,PR,PR00173,EMP012,2,2,approve,2025-04-02 00:00:00,48,30.07,ok
APR000265,PR,PR00174,EMP006,1,1,approve,2024-12-15 00:00:00,24,12.77,ok
APR000266,PR,PR00174,EMP023,2,2,approve,2024-12-16 00:00:00,48,24.69,ok
APR000267,PR,PR00175,EMP039,1,1,approve,2025-01-10 00:00:00,24,9.61,ok
APR000268,PR,PR00175,EMP007,2,2,approve,2025-01-11 00:00:00,48,33.52,ok
APR000269,PR,PR00176,EMP025,1,1,approve,2025-08-04 00:00:00,24,72.08,SLA breach
APR000270,PR,PR00176,EMP011,2,2,approve,2025-08-05 00:00:00,48,37.44,SLA breach
APR000271,PR,PR00176,EMP016,3,3,approve,2025-08-06 00:00:00,48,31.51,SLA breach
APR000272,PR,PR00177,EMP035,1,1,approve,2024-11-16 00:00:00,24,14.33,ok
APR000273,PR,PR00178,EMP009,1,1,approve,2024-08-26 00:00:00,24,13.25,ok
APR000274,PR,PR00178,EMP015,2,2,approve,2024-08-30 00:00:00,48,106.61,SLA breach
APR000275,PR,PR00180,EMP008,1,1,approve,2024-11-29 00:00:00,24,6.73,ok
APR000276,PR,PR00180,EMP030,2,2,approve,2024-11-29 00:00:00,48,16.04,ok
APR000277,PR,PR00181,EMP038,1,1,approve,2024-06-18 00:00:00,24,49.66,SLA breach
APR000278,PR,PR00181,EMP007,2,2,approve,2024-06-18 00:00:00,48,21.14,SLA breach
APR000279,PR,PR00182,EMP036,1,1,approve,2025-09-23 00:00:00,24,6.67,ok
APR000280,PR,PR00182,EMP008,2,2,approve,2025-09-24 00:00:00,48,27.41,ok
APR000281,PR,PR00182,EMP032,3,3,approve,2025-09-25 00:00:00,48,40.91,ok
APR000282,PR,PR00183,EMP027,1,1,approve,2024-11-15 00:00:00,24,14.46,ok
APR000283,PR,PR00183,EMP017,2,2,approve,2024-11-15 00:00:00,48,12.37,ok
APR000284,PR,PR00183,EMP020,3,3,approve,2024-11-16 00:00:00,48,37.13,ok
APR000285,PR,PR00184,EMP038,1,1,approve,2024-07-23 00:00:00,24,10.88,ok
APR000286,PR,PR00185,EMP021,1,1,approve,2024-03-26 00:00:00,24,10.03,ok
APR000287,PR,PR00185,EMP017,2,2,approve,2024-03-27 00:00:00,48,33.19,ok
APR000288,PR,PR00187,EMP037,1,1,approve,2025-08-19 00:00:00,24,18.54,ok
APR000289,PR,PR00188,EMP007,1,1,approve,2025-09-19 00:00:00,24,54.51,SLA breach
APR000290,PR,PR00189,EMP034,1,1,approve,2025-04-11 00:00:00,24,90.8,SLA breach
