perf_id,vendor_id,period,on_time_delivery_pct,defect_rate,price_competitiveness,avg_response_hours,fill_rate,order_count,total_spend
VP000031,VEN004,2025-Q3,73.88,9.643,1.155,38.8,75.88,33,708449925.62
VP000032,VEN004,2025-Q4,64.73,7.767,1.111,43.8,66.73,23,2619227898.04
VP000033,VEN005,2024-Q1,96.93,1.567,0.831,6.8,98.93,65,1506744096.76
VP000034,VEN005,2024-Q2,98.18,0.323,0.843,12.6,100.0,60,281596064.75
VP000035,VEN005,2024-Q3,95.49,0.756,0.815,12.6,97.49,20,1612529311.31
VP000036,VEN005,2024-Q4,96.55,0.156,0.83,12.9,98.55,35,1888289752.86
VP000037,VEN005,2025-Q1,93.61,0.614,0.815,5.7,95.61,12,428764133.64
VP000038,VEN005,2025-Q2,100.0,2.127,0.841,6.7,100.0,33,304275907.05
VP000039,VEN005,2025-Q3,92.7,2.122,0.812,3.0,94.7,7,1534956791.76
VP000040,VEN005,2025-Q4,90.42,0.054,0.847,14.3,92.42,17,2843451182.05
VP000041,VEN006,2024-Q1,97.41,1.927,0.854,8.6,99.41,29,1499052331.67
VP000042,VEN006,2024-Q2,87.87,0.496,0.831,2.6,89.87,54,1631181355.58
VP000043,VEN006,2024-Q3,95.41,0.889,0.815,4.5,97.41,69,1132264056.87
VP000044,VEN006,2024-Q4,89.86,2.198,0.88,7.4,91.86,75,2825928290.27
VP000045,VEN006,2025-Q1,97.58,1.513,0.892,15.8,99.58,63,185506265.94
VP000046,VEN006,2025-Q2,93.52,0.0,0.889,9.7,95.52,62,786330908.72
VP000047,VEN006,2025-Q3,99.13,0.222,0.838,9.5,100.0,56,180454855.57
VP000048,VEN006,2025-Q4,96.37,0.645,0.856,15.7,98.37,15,592336953.40
VP000049,VEN007,2024-Q1,94.21,0.848,0.84,10.8,96.21,66,1430239246.60
VP000050,VEN007,2024-Q2,96.69,0.0,0.869,12.2,98.69,5,1331110829.49
VP000051,VEN007,2024-Q3,98.46,1.055,0.808,1.0,100.0,51,1183456999.35
VP000052,VEN007,2024-Q4,99.75,1.241,0.877,6.3,100.0,76,601269175.29
VP000053,VEN007,2025-Q1,87.17,0.255,0.834,4.0,89.17,60,947452275.06
VP000054,VEN007,2025-Q2,81.82,0.065,0.809,15.0,83.82,68,999237915.94
VP000055,VEN007,2025-Q3,100.0,0.913,0.857,12.0,100.0,22,1529707345.79
VP000056,VEN007,2025-Q4,100.0,0.0,0.816,1.0,100.0,56,404227711.22
VP000057,VEN008,2024-Q1,88.88,1.182,0.884,4.6,90.88,40,2405829888.17
VP000058,VEN008,2024-Q2,95.01,2.817,0.864,5.0,97.01,26,559002698.10
VP000059,VEN008,2024-Q3,87.9,1.755,0.864,1.0,89.9,48,2332585518.90
VP000060,VEN008,2024-Q4,92.51,0.416,0.808,7.3,94.51,49,1627370470.57
VP000061,VEN008,2025-Q1,91.96,0.0,0.861,8.8,93.96,36,799182957.01
VP000062,VEN008,2025-Q2,91.28,0.911,0.88,10.2,93.28,10,1545523870.57
VP000063,VEN008,2025-Q3,93.9,1.475,0.828,19.0,95.9,15,2686281104.71
VP000064,VEN008,2025-Q4,94.68,1.869,0.845,1.0,96.68,25,2810558295.89
VP000065,VEN009,2024-Q1,100.0,0.0,0.832,1.0,100.0,68,1769689538.81
VP000066,VEN009,2024-Q2,99.09,0.426,0.819,1.0,100.0,69,283040162.69
VP000067,VEN009,2024-Q3,91.37,0.723,0.849,1.0,93.37,17,401657249.93
VP000068,VEN009,2024-Q4,97.75,1.036,0.812,9.5,99.75,67,2621582601.93
VP000069,VEN009,2025-Q1,90.59,1.364,0.83,4.5,92.59,65,1898554845.22
VP000070,VEN009,2025-Q2,100.0,1.583,0.852,9.6,100.0,7,2387582646.19
VP000071,VEN009,2025-Q3,96.87,1.025,0.813,9.7,98.87,26,2178239041.91
VP000072,VEN009,2025-Q4,92.81,0.834,0.809,14.2,94.81,6,285082980.07
VP000073,VEN010,2024-Q1,70.44,7.312,1.158,44.4,72.44,18,1097914766.14
VP000074,VEN010,2024-Q2,64.6,7.952,1.194,32.5,66.6,79,492486972.17
VP000075,VEN010,2024-Q3,73.32,7.12,1.144,39.6,75.32,58,2854189447.33
VP000076,VEN010,2024-Q4,75.77,8.861,1.177,41.8,77.77,44,1307522581.55
VP000077,VEN010,2025-Q1,69.96,8.838,1.178,45.8,71.96,30,658758165.99
VP000078,VEN010,2025-Q2,67.97,8.43,1.18,42.7,69.97,44,1487791629.94
VP000079,VEN010,2025-Q3,88.79,9.771,1.152,42.3,90.79,20,1829608770.80
VP000080,VEN010,2025-Q4,71.46,8.644,1.094,33.5,73.46,70,2375632859.48
VP000081,VEN011,2024-Q1,89.03,3.958,0.985,23.6,91.03,20,1721363044.43
VP000082,VEN011,2024-Q2,94.08,1.591,1.008,16.1,96.08,74,2666386300.76
VP000083,VEN011,2024-Q3,91.34,3.612,0.989,15.3,93.34,78,2539546890.34
VP000084,VEN011,2024-Q4,81.98,3.898,1.048,12.2,83.98,62,2038467863.05
VP000085,VEN011,2025-Q1,85.32,2.158,0.988,12.9,87.32,63,2764676984.92
VP000086,VEN011,2025-Q2,82.24,3.468,1.023,7.0,84.24,52,2527627607.89
VP000087,VEN011,2025-Q3,80.98,3.365,0.996,13.4,82.98,60,1473077477.37
VP000088,VEN011,2025-Q4,97.9,2.493,1.013,9.7,99.9,7,165749565.60
VP000089,VEN012,2024-Q1,86.72,3.049,0.969,20.4,88.72,36,2352008881.80
VP000090,VEN012,2024-Q2,82.4,3.162,1.007,28.7,84.4,40,1429497216.48
VP000091,VEN012,2024-Q3,87.55,3.347,1.0,16.4,89.55,69,1242798289.34
VP000092,VEN012,2024-Q4,85.33,2.863,0.975,19.4,87.33,74,2718882900.26
VP000093,VEN012,2025-Q1,81.53,4.129,0.986,26.2,83.53,15,2920499878.80
VP000094,VEN012,2025-Q2,88.16,4.89,0.964,17.6,90.16,36,692671477.86
VP000095,VEN012,2025-Q3,84.12,2.267,0.967,12.1,86.12,70,1599597533.55
VP000096,VEN012,2025-Q4,90.4,3.477,1.021,18.3,92.4,25,1785846651.99
VP000097,VEN013,2024-Q1,73.84,8.342,1.138,40.1,75.84,32,212721266.68
VP000098,VEN013,2024-Q2,62.79,8.449,1.186,39.5,64.79,9,1343979502.58
VP000099,VEN013,2024-Q3,71.09,7.722,1.183,43.7,73.09,6,1281424015.21
VP000100,VEN013,2024-Q4,65.51,9.445,1.102,46.8,67.51,41,713301865.24
VP000101,VEN013,2025-Q1,69.56,10.05,1.195,34.6,71.56,63,59005051.35
VP000102,VEN013,2025-Q2,69.76,7.39,1.155,37.0,71.76,55,1489571687.70
VP000103,VEN013,2025-Q3,76.11,9.556,1.153,40.6,78.11,45,2494742507.32
VP000104,VEN013,2025-Q4,67.87,8.559,1.141,42.7,69.87,11,2911270722.90
VP000105,VEN014,2024-Q1,95.98,1.832,0.866,12.9,97.98,55,2893652709.89
VP000106,VEN014,2024-Q2,100.0,1.051,0.859,8.7,100.0,25,1700947393.19
VP000107,VEN014,2024-Q3,93.92,1.016,0.816,7.4,95.92,55,1300346344.14
VP000108,VEN014,2024-Q4,93.3,2.113,0.86,10.8,95.3,70,1422022203.73
VP000109,VEN014,2025-Q1,95.41,1.021,0.856,9.8,97.41,25,2163449114.76
VP000110,VEN014,2025-Q2,88.27,2.4,0.885,10.5,90.27,75,2804519072.34
VP000111,VEN014,2025-Q3,98.82,0.935,0.855,10.1,100.0,55,145448848.41
VP000112,VEN014,2025-Q4,97.12,2.75,0.84,10.4,99.12,16,1447361183.55
VP000113,VEN015,2024-Q1,84.68,4.812,1.041,10.2,86.68,40,1252730498.20
VP000114,VEN015,2024-Q2,88.86,3.715,0.983,16.4,90.86,28,2877085104.43
VP000115,VEN015,2024-Q3,95.39,1.56,0.992,14.4,97.39,43,2250692758.55
VP000116,VEN015,2024-Q4,93.61,3.998,0.991,21.8,95.61,8,2086250279.69
VP000117,VEN015,2025-Q1,85.32,3.394,0.99,14.3,87.32,7,210788655.04
VP000118,VEN015,2025-Q2,90.25,3.576,0.983,16.5,92.25,45,2549263858.21
VP000119,VEN015,2025-Q3,100.0,3.021,0.99,22.1,100.0,64,108056855.43
VP000120,VEN015,2025-Q4,90.5,2.332,0.993,21.3,92.5,66,1482062564.02
VP000121,VEN016,2024-Q1,65.43,7.948,1.184,40.5,67.43,24,858408258.09
VP000122,VEN016,2024-Q2,73.76,9.624,1.142,35.1,75.76,79,241242529.98
VP000123,VEN016,2024-Q3,73.5,8.496,1.169,45.6,75.5,30,2892207684.26
VP000124,VEN016,2024-Q4,68.77,8.97,1.152,38.0,70.77,10,2845182488.99
VP000125,VEN016,2025-Q1,69.53,9.378,1.166,44.5,71.53,56,1123771033.73
VP000126,VEN016,2025-Q2,78.47,9.1,1.198,36.7,80.47,15,195037946.49
VP000127,VEN016,2025-Q3,69.78,10.112,1.181,42.5,71.78,40,2938785403.38
VP000128,VEN016,2025-Q4,73.87,9.088,1.179,46.0,75.87,8,2212009080.12
VP000129,VEN017,2024-Q1,89.93,0.609,0.812,8.5,91.93,17,2981768866.86
VP000130,VEN017,2024-Q2,96.78,1.374,0.865,5.1,98.78,24,1993504970.29
VP000131,VEN017,2024-Q3,99.73,0.0,0.826,12.6,100.0,75,1314063041.40
VP000132,VEN017,2024-Q4,100.0,0.0,0.817,8.6,100.0,26,2139441273.47
VP000133,VEN017,2025-Q1,100.0,0.823,0.885,13.5,100.0,32,57669401.97
VP000134,VEN017,2025-Q2,100.0,1.487,0.828,8.5,100.0,73,382390524.90
VP000135,VEN017,2025-Q3,98.69,2.763,0.838,6.3,100.0,58,1506920153.89
VP000136,VEN017,2025-Q4,93.47,1.741,0.818,10.9,95.47,78,1338302566.66
VP000137,VEN018,2024-Q1,86.9,1.078,0.888,10.3,88.9,24,749577642.78
VP000138,VEN018,2024-Q2,97.55,2.176,0.856,5.4,99.55,36,2208381314.34
VP000139,VEN018,2024-Q3,94.67,1.254,0.822,4.7,96.67,74,2581844300.47
VP000140,VEN018,2024-Q4,99.33,0.758,0.891,1.0,100.0,7,2325697429.88
VP000141,VEN018,2025-Q1,92.64,0.0,0.816,5.7,94.64,62,2012126094.58
VP000142,VEN018,2025-Q2,89.89,2.277,0.854,13.1,91.89,73,2015265607.83
VP000143,VEN018,2025-Q3,94.05,0.923,0.84,5.6,96.05,25,2447650864.40
VP000144,VEN018,2025-Q4,92.64,1.432,0.819,9.9,94.64,67,61530123.84
VP000145,VEN019,2024-Q1,78.31,2.772,1.046,15.8,80.31,61,2640539849.03
VP000146,VEN019,2024-Q2,97.8,3.801,0.972,24.2,99.8,22,2876106301.75
VP000147,VEN019,2024-Q3,87.86,4.575,1.006,22.5,89.86,32,1208592165.72
VP000148,VEN019,2024-Q4,100.0,2.989,0.975,15.1,100.0,42,1059949112.29
VP000149,VEN019,2025-Q1,91.98,3.734,0.978,8.9,93.98,49,1852524623.81
VP000150,VEN019,2025-Q2,88.85,2.846,1.02,23.5,90.85,61,1301562494.94
VP000151,VEN019,2025-Q3,88.87,3.618,0.98,23.5,90.87,9,1190794919.73
VP000152,VEN019,2025-Q4,88.12,2.415,0.972,25.6,90.12,79,777833028.62
VP000153,VEN020,2024-Q1,98.92,1.486,0.827,7.3,100.0,52,400169137.88
VP000154,VEN020,2024-Q2,100.0,1.731,0.886,6.5,100.0,75,1973671378.25
VP000155,VEN020,2024-Q3,91.43,0.443,0.819,11.5,93.43,74,2363339993.41
VP000156,VEN020,2024-Q4,94.16,0.954,0.81,1.0,96.16,59,1299376395.53
VP000157,VEN020,2025-Q1,91.51,2.04,0.822,12.2,93.51,8,937226072.15
VP000158,VEN020,2025-Q2,99.2,0.529,0.892,3.4,100.0,38,1857262218.03
VP000159,VEN020,2025-Q3,93.49,2.781,0.857,11.1,95.49,21,1317469440.37
VP000160,VEN020,2025-Q4,100.0,0.0,0.882,17.3,100.0,35,67127946.03
VP000161,VEN021,2024-Q1,96.06,0.0,0.855,6.6,98.06,11,1550709111.01
VP000162,VEN021,2024-Q2,86.18,1.899,0.85,8.8,88.18,5,1802208853.73
VP000163,VEN021,2024-Q3,92.84,0.954,0.818,14.6,94.84,27,1897040136.82
VP000164,VEN021,2024-Q4,95.92,2.247,0.858,8.2,97.92,23,626813857.81
VP000165,VEN021,2025-Q1,93.81,1.511,0.87,4.8,95.81,67,2602694360.14
VP000166,VEN021,2025-Q2,94.63,0.07,0.889,4.8,96.63,6,544201792.63
VP000167,VEN021,2025-Q3,96.75,1.073,0.848,6.6,98.75,76,2777252059.46
VP000168,VEN021,2025-Q4,93.32,1.497,0.847,11.6,95.32,78,2493333594.22
VP000169,VEN022,2024-Q1,75.06,8.646,1.178,41.9,77.06,37,2788675896.26
VP000170,VEN022,2024-Q2,64.56,9.69,1.119,47.7,66.56,26,933965254.91
VP000171,VEN022,2024-Q3,62.66,8.505,1.094,33.0,64.66,66,2327977119.58
VP000172,VEN022,2024-Q4,73.44,9.3,1.132,41.4,75.44,53,1649176493.04
VP000173,VEN022,2025-Q1,74.92,9.63,1.157,29.5,76.92,79,1139076406.32
VP000174,VEN022,2025-Q2,71.59,7.227,1.098,34.3,73.59,46,395346005.57
VP000175,VEN022,2025-Q3,66.53,10.084,1.14,46.3,68.53,54,2888929675.77
VP000176,VEN022,2025-Q4,79.65,10.033,1.164,40.9,81.65,63,2901778100.31
VP000177,VEN023,2024-Q1,71.0,9.629,1.105,46.7,73.0,79,2699281577.28
VP000178,VEN023,2024-Q2,77.52,9.064,1.198,44.2,79.52,67,781907223.84
VP000179,VEN023,2024-Q3,75.23,9.522,1.095,36.6,77.23,18,480673427.75
VP000180,VEN023,2024-Q4,65.47,8.325,1.125,36.8,67.47,31,843766010.12
VP000181,VEN023,2025-Q1,72.35,9.428,1.143,33.0,74.35,59,1904688559.44
VP000182,VEN023,2025-Q2,69.01,9.618,1.201,41.9,71.01,28,2437886223.40
VP000183,VEN023,2025-Q3,71.28,7.971,1.164,40.4,73.28,46,2419434359.15
VP000184,VEN023,2025-Q4,67.46,9.92,1.143,43.2,69.46,68,202258645.60
VP000185,VEN024,2024-Q1,93.89,1.069,0.867,11.1,95.89,11,734931379.79
VP000186,VEN024,2024-Q2,88.39,1.305,0.826,12.7,90.39,49,1891011525.23
VP000187,VEN024,2024-Q3,100.0,2.226,0.889,9.7,100.0,16,1149916345.22
VP000188,VEN024,2024-Q4,99.55,0.0,0.854,6.3,100.0,60,1290371447.66
VP000189,VEN024,2025-Q1,97.0,0.648,0.826,5.8,99.0,64,216589736.99
VP000190,VEN024,2025-Q2,92.65,1.565,0.82,10.9,94.65,19,381657613.37
VP000191,VEN024,2025-Q3,100.0,0.428,0.86,1.0,100.0,19,1890686079.01
VP000192,VEN024,2025-Q4,95.99,0.877,0.865,3.1,97.99,47,396897661.71
VP000193,VEN025,2024-Q1,89.39,3.769,0.962,14.7,91.39,33,310168363.85
VP000194,VEN025,2024-Q2,90.72,3.418,0.952,7.6,92.72,5,2114837364.66
VP000195,VEN025,2024-Q3,86.42,2.887,1.04,19.8,88.42,36,1687929534.06
VP000196,VEN025,2024-Q4,89.6,3.639,0.974,26.7,91.6,54,1074629990.61
VP000197,VEN025,2025-Q1,86.91,4.788,1.017,19.9,88.91,69,405509780.30
VP000198,VEN025,2025-Q2,84.11,2.172,1.016,15.2,86.11,46,241923562.61
VP000199,VEN025,2025-Q3,85.67,3.121,1.008,17.2,87.67,10,2682891581.15
VP000200,VEN025,2025-Q4,91.6,3.509,1.01,15.6,93.6,37,1624823099.51
VP000201,VEN026,2024-Q1,95.0,0.892,0.812,14.9,97.0,10,1844459832.40
VP000202,VEN026,2024-Q2,95.8,2.812,0.843,13.3,97.8,46,1232146564.94
VP000203,VEN026,2024-Q3,89.43,0.723,0.89,7.0,91.43,29,302991077.85
VP000204,VEN026,2024-Q4,92.92,0.0,0.822,10.3,94.92,54,899785644.19
VP000205,VEN026,2025-Q1,96.73,0.0,0.837,8.1,98.73,48,1713581905.25
VP000206,VEN026,2025-Q2,97.57,0.833,0.888,7.5,99.57,40,110709322.41
VP000207,VEN026,2025-Q3,99.63,1.515,0.845,13.0,100.0,53,1140100357.97
VP000208,VEN026,2025-Q4,100.0,2.436,0.835,9.0,100.0,25,2497476880.81
VP000209,VEN027,2024-Q1,92.85,3.125,1.008,19.3,94.85,50,2087206115.23
VP000210,VEN027,2024-Q2,93.74,2.878,0.969,14.8,95.74,72,1124744202.27
VP000211,VEN027,2024-Q3,90.92,2.285,1.038,17.5,92.92,36,804500325.84
VP000212,VEN027,2024-Q4,83.53,2.071,1.029,19.4,85.53,57,1575770301.13
VP000213,VEN027,2025-Q1,85.43,2.964,1.013,6.9,87.43,76,2625895278.59
VP000214,VEN027,2025-Q2,90.19,4.249,1.017,17.7,92.19,27,223831155.81
VP000215,VEN027,2025-Q3,86.84,2.868,1.013,18.4,88.84,72,405971032.15
VP000216,VEN027,2025-Q4,87.01,2.97,1.046,15.4,89.01,27,1014829334.54
VP000217,VEN028,2024-Q1,100.0,0.504,0.878,15.1,100.0,19,537973222.70
VP000218,VEN028,2024-Q2,100.0,0.226,0.883,9.9,100.0,17,1659279737.15
VP000219,VEN028,2024-Q3,90.38,1.293,0.841,7.7,92.38,60,2360409979.26
VP000220,VEN028,2024-Q4,98.59,1.046,0.829,7.1,100.0,22,2423203958.85
VP000221,VEN028,2025-Q1,92.95,1.716,0.823,3.0,94.95,37,929864699.24
VP000222,VEN028,2025-Q2,99.1,0.602,0.891,11.4,100.0,77,2010515050.86
VP000223,VEN028,2025-Q3,96.65,0.673,0.88,5.0,98.65,7,2912407338.94
VP000224,VEN028,2025-Q4,98.42,2.375,0.867,11.8,100.0,8,2093501764.47
VP000225,VEN029,2024-Q1,87.11,2.913,0.981,15.6,89.11,78,1297196980.58
VP000226,VEN029,2024-Q2,94.79,1.926,0.964,8.9,96.79,19,1291961404.16
VP000227,VEN029,2024-Q3,88.26,4.729,1.045,11.1,90.26,32,2392760652.43
VP000228,VEN029,2024-Q4,81.91,4.406,1.017,16.7,83.91,63,2707002068.99
VP000229,VEN029,2025-Q1,84.08,3.516,0.976,16.2,86.08,43,586121134.02
VP000230,VEN029,2025-Q2,90.25,3.581,1.034,17.2,92.25,46,1468408485.41
VP000231,VEN029,2025-Q3,87.44,2.94,1.006,22.1,89.44,18,2994002952.70
VP000232,VEN029,2025-Q4,85.8,2.769,1.03,26.3,87.8,61,1674455289.09
VP000233,VEN030,2024-Q1,91.91,1.281,0.87,4.8,93.91,11,2629468872.80
VP000234,VEN030,2024-Q2,89.76,0.0,0.847,1.5,91.76,58,1274625955.56
VP000235,VEN030,2024-Q3,98.96,2.681,0.884,5.1,100.0,5,300356101.32
VP000236,VEN030,2024-Q4,92.26,3.015,0.822,7.8,94.26,58,1062769382.38
VP000237,VEN030,2025-Q1,86.47,0.953,0.844,10.5,88.47,29,1039625893.79
VP000238,VEN030,2025-Q2,100.0,1.517,0.878,1.0,100.0,5,292586454.23
VP000239,VEN030,2025-Q3,100.0,0.83,0.862,4.7,100.0,21,1948746993.41
VP000240,VEN030,2025-Q4,94.91,1.217,0.835,7.1,96.91,33,177112409.19
