price_id,item_id,vendor_id,effective_date,unit_price,currency,source
PH000089,ITM0031,VEN007,2025-01-05,344.64,IDR,po
PH000090,ITM0034,VEN024,2025-12-21,20865.09,IDR,po
PH000091,ITM0027,VEN004,2025-11-26,148.48,IDR,po
PH000092,ITM0016,VEN018,2025-08-08,73.93,IDR,po
PH000093,ITM0023,VEN006,2024-05-13,39.44,IDR,po
PH000094,ITM0037,VEN021,2024-01-11,81448.31,IDR,po
PH000095,ITM0037,VEN021,2024-01-11,81448.31,IDR,po
PH000096,ITM0034,VEN012,2025-03-25,18971.47,IDR,po
PH000097,ITM0004,VEN026,2024-12-23,10740.86,IDR,po
PH000098,ITM0015,VEN002,2025-10-24,7.46,IDR,po
PH000099,ITM0019,VEN023,2024-09-18,6555.92,IDR,po
PH000100,ITM0033,VEN014,2024-09-04,912.67,IDR,po
PH000101,ITM0001,VEN004,2025-12-23,10846.81,IDR,po
PH000102,ITM0001,VEN027,2024-10-16,13457.04,IDR,po
PH000103,ITM0021,VEN026,2025-08-30,18641.22,IDR,po
PH000104,ITM0019,VEN019,2025-09-30,8486.57,IDR,po
PH000105,ITM0002,VEN006,2024-06-05,40518.18,IDR,po
PH000106,ITM0012,VEN013,2025-03-05,18168.32,IDR,po
PH000107,ITM0005,VEN015,2024-10-13,1288.86,IDR,po
PH000108,ITM0009,VEN026,2025-09-25,33807.43,IDR,po
PH000109,ITM0013,VEN023,2025-01-11,661.76,IDR,po
PH000110,ITM0009,VEN004,2025-12-31,25627.96,IDR,po
PH000111,ITM0008,VEN022,2025-03-13,294.36,IDR,po
PH000112,ITM0020,VEN027,2024-10-11,26667.92,IDR,po
PH000113,ITM0026,VEN002,2024-11-28,129.84,IDR,po
PH000114,ITM0029,VEN019,2025-12-31,93.01,IDR,po
PH000115,ITM0010,VEN030,2025-02-11,26400.37,IDR,po
PH000116,ITM0008,VEN023,2024-11-18,304.55,IDR,po
PH000117,ITM0036,VEN023,2025-04-03,1299.52,IDR,po
PH000118,ITM0024,VEN022,2024-01-08,460.07,IDR,po
PH000119,ITM0033,VEN025,2024-05-08,742.33,IDR,po
PH000120,ITM0034,VEN011,2024-03-10,18321.13,IDR,po
PH000121,ITM0023,VEN018,2025-11-06,40.82,IDR,po
PH000122,ITM0011,VEN014,2024-08-14,14532.89,IDR,po
PH000123,ITM0032,VEN002,2025-06-27,10218.16,IDR,po
PH000124,ITM0015,VEN014,2024-11-24,8.30,IDR,po
PH000125,ITM0022,VEN027,2025-03-27,48.99,IDR,po
PH000126,ITM0022,VEN030,2025-05-18,62.43,IDR,po
PH000127,ITM0014,VEN009,2025-09-28,15801.43,IDR,po
PH000128,ITM0018,VEN023,2024-08-07,91.85,IDR,po
PH000129,ITM0018,VEN021,2025-12-13,128.41,IDR,po
PH000130,ITM0033,VEN005,2024-07-16,940.79,IDR,po
PH000131,ITM0018,VEN005,2025-12-31,138.11,IDR,po
PH000132,ITM0037,VEN013,2025-09-22,36142.49,IDR,po
PH000133,ITM0004,VEN003,2024-05-13,10463.87,IDR,po
PH000134,ITM0023,VEN016,2025-03-09,30.47,IDR,po
PH000135,ITM0037,VEN017,2024-07-13,47855.34,IDR,po
PH000136,ITM0019,VEN025,2025-04-10,8952.72,IDR,po
PH000137,ITM0012,VEN009,2025-04-07,26747.32,IDR,po
PH000138,ITM0031,VEN030,2025-01-01,370.47,IDR,po
PH000139,ITM0009,VEN013,2025-01-19,26477.28,IDR,po
PH000140,ITM0027,VEN014,2025-08-17,105.45,IDR,po
PH000141,ITM0011,VEN014,2024-12-05,14420.66,IDR,po
PH000142,ITM0014,VEN009,2024-09-05,15613.98,IDR,po
PH000143,ITM0025,VEN028,2024-12-17,50.07,IDR,po
PH000144,ITM0016,VEN008,2024-07-06,71.18,IDR,po
PH000145,ITM0030,VEN001,2025-10-12,224.22,IDR,po
PH000146,ITM0031,VEN004,2024-11-23,274.42,IDR,po
PH000147,ITM0022,VEN009,2024-03-31,60.67,IDR,po
PH000148,ITM0003,VEN017,2025-09-01,3280.17,IDR,po
PH000149,ITM0002,VEN001,2025-09-30,35064.12,IDR,po
PH000150,ITM0025,VEN001,2025-04-25,40.29,IDR,po
PH000151,ITM0026,VEN028,2025-01-24,139.86,IDR,po
PH000152,ITM0002,VEN016,2024-04-22,28986.99,IDR,po
PH000153,ITM0033,VEN005,2024-08-18,950.52,IDR,po
PH000154,ITM0031,VEN016,2024-12-26,283.29,IDR,po
PH000155,ITM0008,VEN024,2024-05-23,459.60,IDR,po
PH000156,ITM0027,VEN022,2025-11-16,158.25,IDR,po
PH000157,ITM0014,VEN019,2025-11-16,13498.53,IDR,po
PH000158,ITM0006,VEN011,2025-09-20,7068.87,IDR,po
PH000159,ITM0035,VEN019,2025-12-31,163734.27,IDR,po
PH000160,ITM0032,VEN024,2024-01-31,11907.07,IDR,po
PH000161,ITM0002,VEN026,2024-12-30,45061.71,IDR,po
PH000162,ITM0016,VEN027,2024-10-09,59.58,IDR,po
PH000163,ITM0020,VEN013,2024-02-28,19522.75,IDR,po
PH000164,ITM0017,VEN029,2025-10-05,100.33,IDR,po
PH000165,ITM0024,VEN015,2024-10-04,554.31,IDR,po
PH000166,ITM0001,VEN013,2024-04-16,10440.69,IDR,po
PH000167,ITM0030,VEN014,2024-12-03,279.49,IDR,po
PH000168,ITM0036,VEN029,2024-08-22,1352.13,IDR,po
PH000169,ITM0021,VEN019,2025-01-06,16907.88,IDR,po
PH000170,ITM0005,VEN006,2024-03-28,1363.34,IDR,po
PH000171,ITM0037,VEN001,2025-10-31,40516.31,IDR,po
PH000172,ITM0038,VEN028,2024-10-21,3322.99,IDR,po
PH000173,ITM0004,VEN020,2024-12-18,11133.43,IDR,po
PH000174,ITM0024,VEN001,2025-11-08,528.00,IDR,po
PH000175,ITM0022,VEN021,2024-11-11,58.76,IDR,po
PH000176,ITM0040,VEN019,2025-01-28,2945.18,IDR,po
PH000177,ITM0019,VEN001,2024-10-24,7861.76,IDR,po
PH000178,ITM0005,VEN030,2025-12-31,1349.90,IDR,po
PH000179,ITM0026,VEN001,2025-01-31,127.67,IDR,po
PH000180,ITM0003,VEN013,2024-08-27,2380.30,IDR,po
PH000181,ITM0002,VEN020,2024-04-19,71414.95,IDR,po
PH000182,ITM0010,VEN007,2025-06-05,24486.81,IDR,po
PH000183,ITM0023,VEN014,2025-08-06,39.06,IDR,po
PH000184,ITM0033,VEN018,2025-03-05,853.40,IDR,po
PH000185,ITM0005,VEN003,2024-07-09,1387.09,IDR,po
PH000186,ITM0006,VEN003,2025-05-31,7329.69,IDR,po
PH000187,ITM0010,VEN027,2025-01-04,20891.76,IDR,po
PH000188,ITM0023,VEN016,2024-09-26,28.94,IDR,po
PH000189,ITM0013,VEN023,2025-05-06,626.85,IDR,po
PH000190,ITM0032,VEN025,2025-10-05,10074.47,IDR,po
PH000191,ITM0015,VEN011,2024-10-22,7.58,IDR,po
PH000192,ITM0024,VEN008,2025-10-25,610.84,IDR,po
PH000193,ITM0022,VEN020,2024-04-01,62.20,IDR,po
PH000194,ITM0006,VEN014,2024-09-05,7824.94,IDR,po
PH000195,ITM0025,VEN001,2025-09-07,40.60,IDR,po
PH000196,ITM0005,VEN025,2025-09-09,1156.19,IDR,po
PH000197,ITM0032,VEN022,2024-11-20,9511.60,IDR,po
PH000198,ITM0017,VEN016,2024-08-20,77.14,IDR,po
PH000199,ITM0034,VEN019,2025-02-10,18111.23,IDR,po
PH000200,ITM0031,VEN026,2024-03-09,345.26,IDR,po
PH000201,ITM0036,VEN008,2024-04-19,1744.01,IDR,po
PH000202,ITM0039,VEN011,2024-07-17,17028.12,IDR,po
PH000203,ITM0034,VEN003,2025-09-29,23455.50,IDR,po
PH000204,ITM0028,VEN002,2024-10-01,714.94,IDR,po
PH000205,ITM0027,VEN006,2024-10-26,217.77,IDR,po
PH000206,ITM0035,VEN007,2025-01-15,201872.77,IDR,po
PH000207,ITM0020,VEN014,2024-04-16,26899.69,IDR,po
PH000208,ITM0007,VEN019,2024-03-24,1671.09,IDR,po
PH000209,ITM0009,VEN013,2025-07-24,28317.81,IDR,po
PH000210,ITM0024,VEN011,2025-10-25,574.98,IDR,po
PH000211,ITM0036,VEN028,2024-09-15,1690.40,IDR,po
PH000212,ITM0009,VEN008,2024-04-15,35532.39,IDR,po
PH000213,ITM0038,VEN008,2024-05-12,3351.20,IDR,po
PH000214,ITM0014,VEN003,2024-03-27,15744.67,IDR,po
PH000215,ITM0035,VEN028,2024-08-23,191545.84,IDR,po
PH000216,ITM0022,VEN001,2024-10-09,22.46,IDR,po
PH000217,ITM0020,VEN027,2025-12-08,23471.60,IDR,po
PH000218,ITM0019,VEN024,2025-02-13,9438.19,IDR,po
PH000219,ITM0031,VEN013,2024-01-24,255.09,IDR,po
PH000220,ITM0034,VEN015,2025-12-29,19981.65,IDR,po
PH000221,ITM0034,VEN030,2024-05-10,20894.63,IDR,po
PH000222,ITM0022,VEN012,2024-09-10,48.16,IDR,po
PH000223,ITM0037,VEN019,2024-03-19,43264.08,IDR,po
PH000224,ITM0010,VEN025,2024-09-15,24137.44,IDR,po
PH000225,ITM0018,VEN013,2024-09-14,99.46,IDR,po
PH000226,ITM0034,VEN007,2024-06-30,23580.74,IDR,po
PH000227,ITM0006,VEN015,2024-05-21,6020.33,IDR,po
PH000228,ITM0015,VEN028,2025-03-12,8.61,IDR,po
PH000229,ITM0011,VEN014,2025-11-05,13779.15,IDR,po
PH000230,ITM0020,VEN029,2024-10-25,25222.29,IDR,po
PH000231,ITM0037,VEN007,2024-06-11,48601.39,IDR,po
PH000232,ITM0006,VEN022,2025-03-20,5670.28,IDR,po
PH000233,ITM0008,VEN030,2024-03-17,443.56,IDR,po
PH000234,ITM0025,VEN020,2025-01-27,47.45,IDR,po
PH000235,ITM0040,VEN003,2024-06-10,3555.13,IDR,po
PH000236,ITM0029,VEN024,2025-04-08,118.38,IDR,po
PH000237,ITM0030,VEN006,2025-06-15,282.38,IDR,po
PH000238,ITM0028,VEN026,2024-06-24,754.68,IDR,po
PH000239,ITM0038,VEN015,2025-09-10,2502.69,IDR,po
PH000240,ITM0037,VEN011,2025-08-09,39204.79,IDR,po
PH000241,ITM0009,VEN002,2025-04-22,29027.93,IDR,po
PH000242,ITM0036,VEN022,2024-05-02,1175.22,IDR,po
PH000243,ITM0002,VEN009,2024-06-12,45278.14,IDR,po
PH000244,ITM0024,VEN030,2024-06-06,655.28,IDR,po
PH000245,ITM0028,VEN017,2024-05-02,287.76,IDR,po
PH000246,ITM0039,VEN009,2025-03-12,19483.63,IDR,po
PH000247,ITM0016,VEN018,2025-12-01,71.94,IDR,po
PH000248,ITM0012,VEN013,2024-10-29,18476.14,IDR,po
PH000249,ITM0023,VEN017,2024-06-02,41.00,IDR,po
PH000250,ITM0023,VEN008,2024-10-30,42.14,IDR,po
PH000251,ITM0029,VEN017,2025-04-14,108.48,IDR,po
PH000252,ITM0039,VEN021,2025-11-08,20350.50,IDR,po
PH000253,ITM0005,VEN016,2025-09-02,1086.86,IDR,po
PH000254,ITM0020,VEN023,2025-07-02,22354.85,IDR,po
PH000255,ITM0037,VEN015,2025-07-04,43772.92,IDR,po
PH000256,ITM0021,VEN020,2025-03-16,6861.43,IDR,po
PH000257,ITM0004,VEN007,2024-04-23,10793.10,IDR,po
PH000258,ITM0011,VEN014,2025-12-11,13071.36,IDR,po
PH000259,ITM0005,VEN027,2024-11-19,1221.03,IDR,po
PH000260,ITM0009,VEN027,2024-12-18,30856.29,IDR,po
PH000261,ITM0008,VEN001,2024-06-28,363.13,IDR,po
PH000262,ITM0007,VEN002,2025-09-24,1670.99,IDR,po
PH000263,ITM0036,VEN025,2024-02-15,1360.94,IDR,po
PH000264,ITM0002,VEN003,2025-09-30,40464.71,IDR,po
PH000265,ITM0015,VEN030,2024-03-05,8.47,IDR,po
PH000266,ITM0040,VEN019,2025-01-15,2914.08,IDR,po
PH000267,ITM0017,VEN009,2025-01-17,116.07,IDR,po
PH000268,ITM0033,VEN007,2024-11-02,917.66,IDR,po
PH000269,ITM0033,VEN013,2024-05-12,605.70,IDR,po
PH000270,ITM0022,VEN002,2025-10-10,51.41,IDR,po
PH000271,ITM0040,VEN008,2025-08-08,3639.77,IDR,po
PH000272,ITM0020,VEN019,2025-08-06,25597.44,IDR,po
PH000273,ITM0035,VEN018,2025-10-14,214157.84,IDR,po
PH000274,ITM0030,VEN029,2024-10-18,215.62,IDR,po
PH000275,ITM0030,VEN023,2024-11-16,213.65,IDR,po
PH000276,ITM0006,VEN009,2024-07-08,7365.06,IDR,po
PH000277,ITM0001,VEN022,2024-10-16,12633.73,IDR,po
PH000278,ITM0006,VEN026,2024-07-15,7990.59,IDR,po
PH000279,ITM0027,VEN022,2024-06-29,138.16,IDR,po
PH000280,ITM0039,VEN025,2024-11-03,16781.53,IDR,po
PH000281,ITM0019,VEN002,2025-02-28,9199.15,IDR,po
PH000282,ITM0033,VEN026,2024-07-29,906.66,IDR,po
PH000283,ITM0034,VEN022,2025-02-10,11469.47,IDR,po
PH000284,ITM0031,VEN023,2024-11-20,274.87,IDR,po
PH000285,ITM0028,VEN030,2025-05-19,795.74,IDR,po
PH000286,ITM0031,VEN028,2025-10-12,382.83,IDR,po
PH000287,ITM0018,VEN026,2025-03-01,136.41,IDR,po
PH000288,ITM0032,VEN004,2025-09-29,8426.72,IDR,po
PH000289,ITM0004,VEN001,2025-06-05,8710.39,IDR,po
PH000290,ITM0023,VEN005,2025-10-12,41.32,IDR,po
PH000291,ITM0005,VEN026,2025-12-31,1516.03,IDR,po
PH000292,ITM0027,VEN012,2025-01-21,172.64,IDR,po
PH000293,ITM0005,VEN009,2025-08-10,1477.77,IDR,po
PH000294,ITM0010,VEN029,2025-08-19,23539.47,IDR,po
PH000295,ITM0037,VEN004,2024-06-16,33137.20,IDR,po
PH000296,ITM0005,VEN026,2025-08-06,1452.85,IDR,po
PH000297,ITM0015,VEN018,2025-01-03,8.66,IDR,po
PH000298,ITM0008,VEN016,2024-07-01,295.92,IDR,po
PH000299,ITM0011,VEN014,2025-05-20,13741.74,IDR,po
PH000300,ITM0011,VEN014,2025-11-30,13569.30,IDR,po
PH000301,ITM0015,VEN023,2025-07-01,6.35,IDR,po
PH000302,ITM0025,VEN021,2025-07-17,46.61,IDR,po
PH000303,ITM0011,VEN014,2025-12-31,13400.14,IDR,po
PH000304,ITM0004,VEN002,2025-08-01,9176.62,IDR,po
PH000305,ITM0033,VEN024,2025-12-20,971.56,IDR,po
PH000306,ITM0010,VEN023,2025-12-22,18396.34,IDR,po
PH000307,ITM0002,VEN018,2025-10-25,39697.87,IDR,po
PH000308,ITM0021,VEN006,2025-02-07,17457.88,IDR,po
PH000309,ITM0023,VEN020,2024-05-29,41.48,IDR,po
PH000310,ITM0006,VEN030,2024-05-10,7990.89,IDR,po
PH000311,ITM0031,VEN008,2025-05-10,381.08,IDR,po
PH000312,ITM0012,VEN013,2025-08-23,55510.43,IDR,po
PH000313,ITM0022,VEN002,2024-09-25,52.85,IDR,po
PH000314,ITM0011,VEN014,2024-08-29,13774.98,IDR,po
PH000315,ITM0021,VEN024,2025-02-16,18451.90,IDR,po
PH000316,ITM0034,VEN016,2024-12-17,15240.77,IDR,po
PH000317,ITM0022,VEN018,2025-10-11,63.48,IDR,po
PH000318,ITM0018,VEN020,2025-07-01,137.04,IDR,po
PH000319,ITM0033,VEN008,2025-10-29,941.21,IDR,po
PH000320,ITM0016,VEN027,2024-11-03,60.16,IDR,po
PH000321,ITM0010,VEN018,2024-03-22,25702.45,IDR,po
PH000322,ITM0005,VEN021,2025-07-05,1414.43,IDR,po
PH000323,ITM0029,VEN026,2024-11-04,116.72,IDR,po
PH000324,ITM0033,VEN024,2025-05-12,877.41,IDR,po
PH000325,ITM0002,VEN018,2024-02-02,42763.65,IDR,po
PH000326,ITM0013,VEN023,2024-06-02,666.65,IDR,po
PH000327,ITM0005,VEN016,2025-07-27,987.94,IDR,po
PH000328,ITM0039,VEN006,2024-03-03,18729.86,IDR,po
PH000329,ITM0007,VEN024,2024-06-16,2164.81,IDR,po
PH000330,ITM0014,VEN010,2024-11-16,10896.68,IDR,po
PH000331,ITM0018,VEN019,2024-04-06,123.53,IDR,po
PH000332,ITM0039,VEN015,2025-12-31,16912.01,IDR,po
PH000333,ITM0039,VEN025,2024-05-20,15566.86,IDR,po
PH000334,ITM0019,VEN007,2024-06-22,10304.40,IDR,po
PH000335,ITM0014,VEN007,2025-05-06,16230.00,IDR,po
PH000336,ITM0021,VEN024,2024-09-09,19121.73,IDR,po
PH000337,ITM0033,VEN015,2025-05-16,736.43,IDR,po
PH000338,ITM0025,VEN022,2025-04-01,32.14,IDR,po
PH000339,ITM0039,VEN025,2024-01-27,15807.74,IDR,po
PH000340,ITM0012,VEN005,2024-03-02,25880.45,IDR,po
PH000341,ITM0008,VEN028,2025-01-20,463.86,IDR,po
PH000342,ITM0029,VEN013,2025-03-16,82.57,IDR,po
PH000343,ITM0003,VEN019,2024-10-22,2563.25,IDR,po
PH000344,ITM0001,VEN026,2025-09-28,16105.79,IDR,po
PH000345,ITM0033,VEN021,2024-06-03,964.81,IDR,po
PH000346,ITM0009,VEN012,2024-10-24,31926.08,IDR,po
PH000347,ITM0033,VEN026,2025-07-16,947.84,IDR,po
PH000348,ITM0036,VEN014,2024-12-03,1591.74,IDR,po
PH000349,ITM0013,VEN023,2024-09-11,590.23,IDR,po
PH000350,ITM0014,VEN028,2024-08-16,17435.21,IDR,po
PH000351,ITM0013,VEN023,2025-09-26,653.54,IDR,po
PH000352,ITM0018,VEN008,2024-05-03,133.46,IDR,po
PH000353,ITM0034,VEN024,2025-07-15,8341.44,IDR,po
PH000354,ITM0008,VEN018,2025-03-20,471.60,IDR,po
PH000355,ITM0004,VEN009,2024-04-30,10971.82,IDR,po
PH000356,ITM0020,VEN020,2024-02-06,27863.51,IDR,po
PH000357,ITM0004,VEN023,2025-11-05,7220.02,IDR,po
PH000358,ITM0014,VEN001,2025-04-01,14265.96,IDR,po
PH000359,ITM0026,VEN013,2024-06-24,99.19,IDR,po
PH000360,ITM0010,VEN008,2024-01-20,25917.69,IDR,po
PH000361,ITM0030,VEN020,2025-02-24,281.95,IDR,po
PH000362,ITM0026,VEN018,2025-05-03,148.43,IDR,po
PH000363,ITM0022,VEN027,2025-07-15,49.67,IDR,po
PH000364,ITM0011,VEN014,2025-06-16,14893.60,IDR,po
PH000365,ITM0031,VEN021,2025-10-14,343.62,IDR,po
PH000366,ITM0001,VEN019,2024-02-02,13218.28,IDR,po
PH000367,ITM0022,VEN003,2024-12-25,64.32,IDR,po
PH000368,ITM0022,VEN018,2025-08-03,56.54,IDR,po
PH000369,ITM0009,VEN012,2025-07-31,30890.53,IDR,po
PH000370,ITM0036,VEN020,2024-03-15,1613.30,IDR,po
PH000371,ITM0010,VEN025,2024-11-29,22145.89,IDR,po
PH000372,ITM0006,VEN018,2025-04-30,7350.86,IDR,po
PH000373,ITM0016,VEN020,2024-07-18,73.54,IDR,po
PH000374,ITM0037,VEN023,2025-04-28,35810.23,IDR,po
PH000375,ITM0022,VEN020,2025-01-22,58.78,IDR,po
PH000376,ITM0039,VEN026,2025-12-31,18344.49,IDR,po
PH000377,ITM0029,VEN014,2025-12-31,115.14,IDR,po
PH000378,ITM0020,VEN015,2025-11-18,25793.29,IDR,po
PH000379,ITM0034,VEN013,2025-05-26,15606.22,IDR,po
PH000380,ITM0035,VEN014,2025-07-25,188828.64,IDR,po
PH000381,ITM0037,VEN029,2025-05-02,41767.00,IDR,po
PH000382,ITM0002,VEN015,2024-10-14,34861.66,IDR,po
PH000383,ITM0025,VEN013,2024-07-16,31.97,IDR,po
PH000384,ITM0018,VEN026,2025-11-18,136.22,IDR,po
PH000385,ITM0006,VEN005,2025-12-31,7321.63,IDR,po
PH000386,ITM0016,VEN023,2025-04-10,48.22,IDR,po
PH000387,ITM0015,VEN008,2025-11-18,7.86,IDR,po
PH000388,ITM0020,VEN027,2024-08-21,23886.68,IDR,po
PH000389,ITM0025,VEN014,2025-05-15,46.69,IDR,po
PH000390,ITM0032,VEN025,2025-08-15,10167.79,IDR,po
PH000391,ITM0001,VEN010,2025-08-01,11481.16,IDR,po
PH000392,ITM0014,VEN019,2024-10-06,13275.93,IDR,po
PH000393,ITM0013,VEN023,2024-03-05,685.42,IDR,po
PH000394,ITM0017,VEN018,2024-04-26,106.18,IDR,po
PH000395,ITM0025,VEN013,2024-12-08,33.22,IDR,po
PH000396,ITM0025,VEN016,2024-07-26,36.86,IDR,po
PH000397,ITM0002,VEN016,2024-04-30,32571.58,IDR,po
PH000398,ITM0006,VEN022,2025-09-08,5065.10,IDR,po
PH000399,ITM0019,VEN002,2025-06-30,8961.49,IDR,po
PH000400,ITM0022,VEN010,2024-08-23,43.96,IDR,po
PH000401,ITM0030,VEN028,2024-05-15,276.51,IDR,po
PH000402,ITM0007,VEN019,2024-03-30,1961.77,IDR,po
PH000403,ITM0001,VEN021,2024-04-15,17096.32,IDR,po
PH000404,ITM0016,VEN012,2024-04-14,61.29,IDR,po
PH000405,ITM0030,VEN010,2025-04-25,204.56,IDR,po
PH000406,ITM0002,VEN018,2025-09-07,44195.30,IDR,po
PH000407,ITM0033,VEN009,2024-08-13,872.80,IDR,po
PH000408,ITM0015,VEN002,2024-06-21,6.83,IDR,po
PH000409,ITM0038,VEN006,2024-05-04,3163.72,IDR,po
PH000410,ITM0023,VEN024,2024-01-31,42.66,IDR,po
PH000411,ITM0037,VEN006,2024-04-08,49007.73,IDR,po
PH000412,ITM0010,VEN020,2024-04-25,9699.92,IDR,po
PH000413,ITM0002,VEN027,2024-10-08,36031.83,IDR,po
PH000414,ITM0029,VEN029,2025-03-07,94.57,IDR,po
PH000415,ITM0034,VEN005,2024-08-23,21146.40,IDR,po
