inventory_id,item_id,warehouse_id,stock_on_hand,stock_reserved,reorder_point,safety_stock,avg_consumption,lead_time_days,snapshot_date
INVST000067,ITM0038,WH03,388,25,919.18,97.66,63.83,24,2025-03-01
INVST000068,ITM0033,WH01,493,6,1365.16,70.01,55.49,41,2025-03-01
INVST000069,ITM0016,WH03,433,10,2822.4,218.33,114.73,41,2025-03-01
INVST000070,ITM0011,WH03,411,41,744.31,40.26,37.59,33,2025-03-01
INVST000071,ITM0017,WH01,288,13,546.8,111.2,75.94,12,2025-03-01
INVST000072,ITM0023,WH03,224,9,260.33,203.6,108.47,4,2025-03-01
INVST000073,ITM0024,WH03,372,24,1507.45,180.55,96.63,26,2025-03-01
INVST000074,ITM0012,WH02,97,28,948.24,76.83,41.59,38,2025-03-01
INVST000075,ITM0037,WH03,28,15,395.78,49.08,47.12,14,2025-03-01
INVST000076,ITM0040,WH02,192,19,355.4,14.05,13.78,43,2025-03-01
INVST000077,ITM0021,WH02,413,10,279.96,84.08,51.85,9,2025-03-01
INVST000078,ITM0008,WH03,363,3,1887.43,90.11,69.9,45,2025-03-01
INVST000079,ITM0014,WH01,108,24,747.23,82.88,54.15,23,2025-03-01
INVST000080,ITM0009,WH03,290,49,966.7,109.34,94.77,17,2025-03-01
INVST000081,ITM0031,WH01,395,5,2115.74,111.62,88.16,40,2025-03-01
INVST000082,ITM0028,WH01,233,45,125.33,26.24,13.93,15,2025-03-01
INVST000083,ITM0018,WH02,248,26,157.73,9.05,8.22,32,2025-03-01
INVST000084,ITM0015,WH02,426,44,207.97,89.65,57.77,6,2025-03-01
INVST000085,ITM0026,WH02,119,36,1540.7,66.02,59.72,43,2025-03-01
INVST000086,ITM0013,WH02,406,19,322.0,34.55,21.47,25,2025-03-01
INVST000087,ITM0010,WH02,211,40,535.42,116.36,111.54,8,2025-03-01
INVST000088,ITM0029,WH01,311,0,2043.99,161.61,109.89,31,2025-03-01
INVST000089,ITM0022,WH01,304,8,303.26,89.55,84.24,6,2025-03-01
INVST000090,ITM0032,WH01,189,34,1300.62,106.94,77.42,28,2025-03-01
INVST000091,ITM0001,WH03,472,4,487.81,204.58,116.15,7,2025-04-01
INVST000092,ITM0025,WH03,375,37,437.06,86.91,48.56,15,2025-04-01
INVST000093,ITM0007,WH02,57,39,90.67,10.72,5.6,27,2025-04-01
INVST000094,ITM0040,WH01,265,18,456.18,112.92,108.61,7,2025-04-01
INVST000095,ITM0034,WH02,314,14,192.31,71.78,40.07,8,2025-04-01
INVST000096,ITM0022,WH02,428,7,184.6,44.71,25.64,12,2025-04-01
INVST000097,ITM0016,WH03,290,21,322.28,93.37,48.83,11,2025-04-01
INVST000098,ITM0030,WH01,259,6,465.47,111.14,77.58,10,2025-04-01
INVST000099,ITM0003,WH01,32,20,2209.28,110.44,108.3,34,2025-04-01
INVST000100,ITM0037,WH02,129,2,2538.4,143.48,103.19,41,2025-04-01
INVST000101,ITM0036,WH01,497,45,276.73,44.36,23.06,20,2025-04-01
INVST000102,ITM0002,WH01,42,20,2757.14,200.6,102.12,45,2025-04-01
INVST000103,ITM0027,WH02,426,44,2501.11,147.82,96.94,43,2025-04-01
INVST000104,ITM0031,WH02,238,0,2871.94,209.37,113.97,42,2025-04-01
INVST000105,ITM0004,WH03,450,49,177.28,48.47,24.62,12,2025-04-01
INVST000106,ITM0028,WH01,70,14,574.31,104.48,53.18,18,2025-04-01
INVST000107,ITM0005,WH03,59,28,2085.63,106.73,80.84,43,2025-04-01
INVST000108,ITM0024,WH01,254,1,1021.03,130.88,113.45,15,2025-04-01
INVST000109,ITM0023,WH03,205,8,147.47,24.82,15.36,16,2025-04-01
INVST000110,ITM0026,WH02,7,46,692.0,45.34,32.04,36,2025-04-01
INVST000111,ITM0006,WH01,402,11,1186.96,129.3,98.91,20,2025-04-01
INVST000112,ITM0013,WH01,261,39,2068.86,91.73,90.74,38,2025-04-01
INVST000113,ITM0018,WH01,31,2,132.64,16.2,10.05,22,2025-04-01
INVST000114,ITM0038,WH02,357,48,1158.95,101.4,71.54,27,2025-04-01
INVST000115,ITM0029,WH03,428,10,1292.95,76.16,55.25,39,2025-04-01
INVST000116,ITM0020,WH03,485,19,2363.67,177.66,96.08,41,2025-04-01
INVST000117,ITM0033,WH03,432,2,315.6,143.29,75.14,7,2025-04-01
INVST000118,ITM0012,WH02,131,19,1960.05,107.9,96.08,34,2025-04-01
INVST000119,ITM0039,WH02,420,40,1652.32,223.29,119.73,23,2025-04-01
INVST000120,ITM0014,WH02,257,29,1354.33,195.89,102.6,22,2025-04-01
INVST000121,ITM0030,WH02,148,27,260.44,34.89,19.73,22,2025-05-01
INVST000122,ITM0008,WH01,352,12,1034.99,51.15,40.12,43,2025-05-01
INVST000123,ITM0016,WH01,456,19,213.35,102.7,88.9,4,2025-05-01
INVST000124,ITM0029,WH03,119,18,679.59,86.52,49.25,23,2025-05-01
INVST000125,ITM0039,WH03,183,11,975.59,168.47,108.4,15,2025-05-01
INVST000126,ITM0023,WH02,500,46,321.13,38.82,29.73,18,2025-05-01
INVST000127,ITM0013,WH01,125,8,487.81,42.68,30.11,27,2025-05-01
INVST000128,ITM0017,WH02,396,23,2276.92,181.72,92.56,41,2025-05-01
INVST000129,ITM0011,WH03,394,9,946.79,79.1,60.69,26,2025-05-01
INVST000130,ITM0015,WH03,340,35,57.21,10.33,5.61,17,2025-05-01
INVST000131,ITM0033,WH02,0,40,183.6,32.57,18.0,17,2025-05-01
INVST000132,ITM0024,WH02,203,43,338.21,14.47,13.42,42,2025-05-01
INVST000133,ITM0019,WH02,233,5,108.74,66.41,60.41,3,2025-05-01
INVST000134,ITM0007,WH03,58,6,1671.25,194.83,111.42,25,2025-05-01
INVST000135,ITM0021,WH02,325,15,351.01,59.08,48.75,12,2025-05-01
INVST000136,ITM0006,WH02,312,34,830.66,39.1,36.43,38,2025-05-01
INVST000137,ITM0040,WH03,236,49,1775.09,141.36,105.66,28,2025-05-01
INVST000138,ITM0031,WH03,32,23,1187.76,69.94,48.28,41,2025-05-01
INVST000139,ITM0027,WH03,11,48,882.56,86.37,47.45,31,2025-05-01
INVST000140,ITM0005,WH02,402,4,554.2,172.89,92.37,10,2025-05-01
INVST000141,ITM0025,WH01,19,3,1977.51,125.13,80.39,41,2025-05-01
INVST000142,ITM0035,WH01,15,2,901.89,102.44,79.11,19,2025-05-01
INVST000143,ITM0034,WH01,71,43,589.91,65.83,57.83,17,2025-05-01
INVST000144,ITM0014,WH02,192,41,1020.9,56.24,43.63,39,2025-05-01
INVST000145,ITM0032,WH03,211,33,1761.95,77.94,77.28,38,2025-05-01
INVST000146,ITM0026,WH02,88,28,441.04,94.79,49.0,15,2025-05-01
INVST000147,ITM0018,WH02,213,15,2368.28,98.72,89.71,44,2025-05-01
INVST000148,ITM0012,WH03,40,32,1744.5,121.72,90.86,32,2025-05-01
INVST000149,ITM0009,WH02,442,6,2041.82,205.47,103.12,33,2025-05-01
INVST000150,ITM0038,WH02,136,8,863.61,147.21,102.81,14,2025-05-01
INVST000151,ITM0038,WH02,132,8,799.31,43.06,33.3,40,2025-06-01
INVST000152,ITM0015,WH01,407,41,1522.91,94.19,63.45,40,2025-06-01
INVST000153,ITM0002,WH03,156,35,1067.12,63.26,43.38,41,2025-06-01
INVST000154,ITM0025,WH02,482,21,611.56,86.43,72.8,14,2025-06-01
INVST000155,ITM0017,WH02,176,9,202.97,146.15,84.57,4,2025-06-01
INVST000156,ITM0037,WH03,62,39,44.72,9.69,7.45,10,2025-06-01
INVST000157,ITM0008,WH02,204,17,368.72,26.92,18.62,33,2025-06-01
INVST000158,ITM0019,WH02,190,28,765.74,29.91,29.01,44,2025-06-01
INVST000159,ITM0013,WH01,360,47,1235.96,105.62,76.29,27,2025-06-01
INVST000160,ITM0036,WH02,220,15,704.39,90.76,73.37,16,2025-06-01
INVST000161,ITM0024,WH03,474,40,201.4,115.53,111.89,3,2025-06-01
INVST000162,ITM0007,WH01,458,38,295.54,34.25,19.7,25,2025-06-01
INVST000163,ITM0027,WH02,171,25,873.39,194.05,103.98,14,2025-06-01
INVST000164,ITM0030,WH01,354,6,585.62,47.89,28.71,34,2025-06-01
INVST000165,ITM0031,WH03,89,46,771.97,129.8,98.97,13,2025-06-01
INVST000166,ITM0028,WH01,430,47,183.88,68.83,61.29,5,2025-06-01
INVST000167,ITM0003,WH02,416,15,343.2,24.93,18.45,31,2025-06-01
INVST000168,ITM0014,WH01,341,18,654.76,34.35,28.72,38,2025-06-01
INVST000169,ITM0016,WH01,426,21,585.97,78.43,69.76,14,2025-06-01
INVST000170,ITM0010,WH02,219,35,945.14,87.37,71.6,22,2025-06-01
INVST000171,ITM0005,WH03,243,38,54.77,16.05,13.04,7,2025-06-01
INVST000172,ITM0018,WH03,110,5,1217.22,68.23,45.08,45,2025-06-01
INVST000173,ITM0011,WH02,467,34,172.3,20.49,11.49,25,2025-06-01
INVST000174,ITM0021,WH01,459,46,787.05,124.69,93.7,14,2025-06-01
INVST000175,ITM0040,WH02,465,12,1528.37,86.4,60.65,42,2025-06-01
INVST000176,ITM0006,WH01,344,0,567.33,135.26,94.56,10,2025-06-01
INVST000177,ITM0009,WH02,329,42,532.36,142.95,73.94,12,2025-06-01
INVST000178,ITM0020,WH01,273,42,1604.58,126.29,81.04,33,2025-06-01
INVST000179,ITM0033,WH01,355,25,853.82,65.39,59.29,24,2025-06-01
INVST000180,ITM0034,WH03,336,28,366.76,58.19,55.57,11,2025-06-01
INVST000181,ITM0023,WH03,50,50,1084.58,110.82,64.56,28,2025-07-01
INVST000182,ITM0003,WH01,5,43,1519.25,109.13,87.31,29,2025-07-01
INVST000183,ITM0025,WH01,189,9,2053.5,119.37,90.07,38,2025-07-01
INVST000184,ITM0038,WH02,304,5,1454.49,147.0,80.81,30,2025-07-01
INVST000185,ITM0007,WH03,102,15,305.83,156.02,84.95,6,2025-07-01
INVST000186,ITM0009,WH03,409,18,1419.44,82.31,76.31,31,2025-07-01
INVST000187,ITM0021,WH02,261,12,527.85,74.71,38.25,23,2025-07-01
INVST000188,ITM0026,WH02,15,43,144.07,7.05,5.46,44,2025-07-01
INVST000189,ITM0022,WH02,390,18,2012.59,188.07,108.2,31,2025-07-01
INVST000190,ITM0019,WH03,62,50,1002.32,151.04,79.55,21,2025-07-01
INVST000191,ITM0028,WH02,177,15,2200.78,126.8,104.8,35,2025-07-01
INVST000192,ITM0035,WH01,102,45,1437.44,112.57,92.14,26,2025-07-01
INVST000193,ITM0010,WH02,221,29,397.99,40.26,27.64,24,2025-07-01
INVST000194,ITM0039,WH01,352,29,1023.02,88.65,63.15,27,2025-07-01
INVST000195,ITM0014,WH03,29,24,381.41,27.1,26.49,24,2025-07-01
INVST000196,ITM0030,WH03,218,22,876.05,85.2,54.08,27,2025-07-01
INVST000197,ITM0031,WH02,9,5,1003.0,110.06,64.29,26,2025-07-01
INVST000198,ITM0008,WH02,485,22,219.12,16.86,10.43,35,2025-07-01
INVST000199,ITM0036,WH02,440,31,983.51,116.38,102.45,16,2025-07-01
INVST000200,ITM0004,WH01,138,11,2760.1,178.69,104.55,44,2025-07-01
INVST000201,ITM0027,WH02,344,33,413.62,43.38,36.28,19,2025-07-01
INVST000202,ITM0020,WH02,145,3,616.34,84.64,64.2,16,2025-07-01
INVST000203,ITM0011,WH03,3,9,23.58,8.72,5.61,7,2025-07-01
INVST000204,ITM0013,WH03,3,13,2217.33,120.18,108.69,34,2025-07-01
INVST000205,ITM0018,WH03,271,43,642.3,170.47,107.05,10,2025-07-01
INVST000206,ITM0005,WH03,297,6,558.8,114.61,77.61,12,2025-07-01
INVST000207,ITM0001,WH01,259,39,745.9,114.01,73.13,17,2025-07-01
INVST000208,ITM0024,WH02,273,21,1474.91,67.66,59.96,41,2025-07-01
INVST000209,ITM0032,WH02,1,47,349.76,31.66,16.19,36,2025-07-01
INVST000210,ITM0017,WH01,185,33,103.52,63.41,57.51,3,2025-07-01
INVST000211,ITM0028,WH02,461,8,413.74,42.74,38.31,18,2025-08-01
INVST000212,ITM0029,WH02,365,11,2380.93,195.65,116.71,34,2025-08-01
INVST000213,ITM0021,WH02,401,27,1399.3,157.12,97.17,24,2025-08-01
INVST000214,ITM0009,WH01,337,20,228.18,88.49,47.54,8,2025-08-01
INVST000215,ITM0037,WH02,223,7,1649.65,149.02,91.65,30,2025-08-01
INVST000216,ITM0027,WH02,196,6,178.0,43.19,29.67,10,2025-08-01
INVST000217,ITM0036,WH02,392,11,952.77,72.67,42.92,37,2025-08-01
INVST000218,ITM0020,WH01,273,50,141.26,20.2,15.7,15,2025-08-01
INVST000219,ITM0006,WH01,170,45,69.31,9.88,7.7,15,2025-08-01
INVST000220,ITM0011,WH03,242,32,978.82,57.74,40.78,40,2025-08-01
INVST000221,ITM0005,WH02,225,27,560.51,69.88,42.46,22,2025-08-01
INVST000222,ITM0022,WH01,358,32,470.36,63.49,41.26,19,2025-08-01
INVST000223,ITM0017,WH03,433,42,2187.25,130.56,107.22,34,2025-08-01
INVST000224,ITM0033,WH02,90,32,113.25,32.5,17.16,11,2025-08-01
INVST000225,ITM0008,WH01,278,49,2238.09,144.63,113.03,33,2025-08-01
INVST000226,ITM0032,WH01,179,19,49.05,15.66,11.68,7,2025-08-01
INVST000227,ITM0040,WH03,391,42,1271.62,85.91,81.51,26,2025-08-01
INVST000228,ITM0004,WH02,212,44,733.76,68.3,42.17,29,2025-08-01
INVST000229,ITM0013,WH02,381,30,616.11,54.04,30.2,34,2025-08-01
INVST000230,ITM0014,WH01,452,21,628.07,80.54,61.58,17,2025-08-01
INVST000231,ITM0031,WH03,381,15,700.07,59.5,32.41,36,2025-08-01
INVST000232,ITM0003,WH02,134,49,500.88,107.01,104.35,8,2025-08-01
INVST000233,ITM0016,WH03,234,39,660.7,161.26,100.11,11,2025-08-01
INVST000234,ITM0018,WH01,483,45,911.03,76.86,56.24,27,2025-08-01
INVST000235,ITM0007,WH03,395,3,172.29,18.0,9.9,29,2025-08-01
INVST000236,ITM0002,WH02,443,28,791.52,39.68,32.18,41,2025-08-01
INVST000237,ITM0023,WH01,437,2,1597.66,104.51,83.21,32,2025-08-01
INVST000238,ITM0015,WH03,441,30,2042.11,112.13,89.57,38,2025-08-01
INVST000239,ITM0010,WH03,461,3,114.18,28.92,19.03,10,2025-08-01
INVST000240,ITM0026,WH02,461,2,173.01,12.28,6.41,45,2025-08-01
INVST000241,ITM0040,WH03,404,35,1674.93,102.92,63.44,44,2025-09-01
INVST000242,ITM0016,WH03,262,45,1779.38,219.88,118.63,25,2025-09-01
INVST000243,ITM0022,WH03,371,30,923.01,90.16,61.53,25,2025-09-01
INVST000244,ITM0033,WH03,43,18,402.94,17.8,16.38,41,2025-09-01
INVST000245,ITM0012,WH02,213,37,320.27,13.4,12.71,42,2025-09-01
INVST000246,ITM0031,WH03,362,45,919.03,196.93,109.41,14,2025-09-01
INVST000247,ITM0008,WH03,292,46,525.68,99.37,97.35,9,2025-09-01
INVST000248,ITM0032,WH02,399,42,860.43,174.62,89.63,16,2025-09-01
INVST000249,ITM0013,WH02,264,34,1942.89,175.81,115.65,28,2025-09-01
INVST000250,ITM0038,WH02,497,9,1990.93,127.17,80.93,41,2025-09-01
INVST000251,ITM0024,WH02,9,3,62.17,14.37,7.4,14,2025-09-01
INVST000252,ITM0005,WH01,328,16,112.52,58.71,31.26,6,2025-09-01
INVST000253,ITM0027,WH02,48,26,125.69,16.75,16.11,13,2025-09-01
INVST000254,ITM0002,WH01,191,36,1040.9,124.09,102.05,17,2025-09-01
INVST000255,ITM0007,WH01,144,45,1465.63,106.39,74.02,33,2025-09-01
INVST000256,ITM0003,WH01,322,1,1594.02,170.66,91.61,29,2025-09-01
INVST000257,ITM0035,WH01,276,48,931.5,60.65,36.1,43,2025-09-01
INVST000258,ITM0001,WH02,367,13,262.5,94.87,72.92,6,2025-09-01
INVST000259,ITM0014,WH01,267,9,2554.0,166.15,115.04,37,2025-09-01
INVST000260,ITM0037,WH02,355,9,1699.5,128.94,91.37,31,2025-09-01
INVST000261,ITM0021,WH03,58,20,1028.08,152.53,114.23,15,2025-09-01
INVST000262,ITM0010,WH01,206,22,1095.85,157.19,91.32,20,2025-09-01
INVST000263,ITM0030,WH03,379,12,747.86,53.07,27.7,45,2025-09-01
INVST000264,ITM0036,WH03,350,36,2419.78,193.49,106.13,38,2025-09-01
INVST000265,ITM0004,WH01,444,11,1129.36,90.13,72.4,26,2025-09-01
INVST000266,ITM0018,WH02,445,36,425.7,122.02,118.25,6,2025-09-01
INVST000267,ITM0009,WH01,472,11,35.61,19.51,9.89,6,2025-09-01
INVST000268,ITM0029,WH02,143,45,315.46,17.5,16.96,31,2025-09-01
INVST000269,ITM0034,WH03,128,15,281.69,46.9,26.08,18,2025-09-01
INVST000270,ITM0015,WH01,111,19,183.83,25.31,13.93,22,2025-09-01
INVST000271,ITM0005,WH02,392,49,292.88,38.51,20.34,24,2025-10-01
INVST000272,ITM0019,WH02,172,15,2411.78,199.07,118.22,34,2025-10-01
INVST000273,ITM0029,WH03,41,46,370.38,52.08,30.86,20,2025-10-01
INVST000274,ITM0008,WH03,478,26,592.28,66.41,36.56,27,2025-10-01
INVST000275,ITM0033,WH03,357,25,2039.37,104.26,79.05,43,2025-10-01
INVST000276,ITM0031,WH02,200,3,118.78,31.58,24.75,8,2025-10-01
INVST000277,ITM0026,WH02,217,49,918.8,78.71,41.39,37,2025-10-01
INVST000278,ITM0011,WH02,259,44,529.21,79.47,55.13,16,2025-10-01
INVST000279,ITM0040,WH02,384,7,305.55,94.84,56.58,9,2025-10-01
INVST000280,ITM0025,WH01,91,44,301.7,19.75,12.57,40,2025-10-01
INVST000281,ITM0016,WH03,335,47,505.21,157.11,105.25,8,2025-10-01
INVST000282,ITM0034,WH01,244,8,104.44,8.38,5.12,34,2025-10-01
INVST000283,ITM0030,WH01,87,47,1857.23,147.77,79.37,39,2025-10-01
INVST000284,ITM0020,WH02,141,12,337.68,57.99,40.2,14,2025-10-01
INVST000285,ITM0022,WH03,0,31,153.77,104.18,85.43,3,2025-10-01
INVST000286,ITM0024,WH02,256,27,234.81,111.15,78.27,5,2025-10-01
INVST000287,ITM0035,WH03,459,5,2677.41,149.6,114.42,39,2025-10-01
INVST000288,ITM0010,WH03,337,46,2058.42,131.17,92.72,37,2025-10-01
INVST000289,ITM0032,WH02,421,44,2477.08,166.26,100.69,41,2025-10-01
INVST000290,ITM0021,WH01,139,13,668.3,126.14,74.26,15,2025-10-01
INVST000291,ITM0027,WH02,369,32,560.43,99.02,71.85,13,2025-10-01
INVST000292,ITM0006,WH02,241,47,76.3,11.69,7.95,16,2025-10-01
INVST000293,ITM0004,WH02,405,20,959.07,109.81,61.48,26,2025-10-01
INVST000294,ITM0002,WH01,247,0,1394.74,162.45,86.09,27,2025-10-01
INVST000295,ITM0018,WH01,296,32,373.77,27.66,21.48,29,2025-10-01
INVST000296,ITM0037,WH02,57,23,220.23,35.89,30.59,12,2025-10-01
INVST000297,ITM0003,WH02,9,19,229.34,40.43,34.75,11,2025-10-01
INVST000298,ITM0015,WH01,385,36,505.92,56.14,32.43,26,2025-10-01
INVST000299,ITM0038,WH03,143,41,1399.38,138.91,101.4,23,2025-10-01
INVST000300,ITM0009,WH03,329,9,302.43,72.05,56.01,9,2025-10-01
INVST000301,ITM0028,WH03,300,30,799.95,59.77,32.52,41,2025-11-01
INVST000302,ITM0040,WH03,308,49,854.76,40.55,33.13,43,2025-11-01
INVST000303,ITM0012,WH03,103,28,299.37,57.36,33.26,15,2025-11-01
INVST000304,ITM0010,WH03,419,50,1142.42,65.84,54.4,35,2025-11-01
INVST000305,ITM0017,WH03,204,7,1404.66,74.76,65.03,36,2025-11-01
INVST000306,ITM0032,WH02,491,34,1287.11,105.6,56.45,38,2025-11-01
INVST000307,ITM0029,WH03,52,9,1778.29,148.04,109.77,27,2025-11-01
INVST000308,ITM0039,WH03,127,38,882.33,78.21,43.25,34,2025-11-01
INVST000309,ITM0001,WH03,426,31,2186.02,107.19,86.75,42,2025-11-01
INVST000310,ITM0007,WH03,119,38,1392.56,101.15,89.27,26,2025-11-01
INVST000311,ITM0018,WH03,267,25,170.26,9.9,7.88,36,2025-11-01
INVST000312,ITM0005,WH01,15,38,784.25,157.6,81.69,16,2025-11-01
INVST000313,ITM0026,WH01,465,34,2553.72,174.78,101.34,42,2025-11-01
INVST000314,ITM0022,WH03,202,27,419.94,82.14,58.33,12,2025-11-01
INVST000315,ITM0036,WH02,94,29,239.33,96.36,66.48,6,2025-11-01
INVST000316,ITM0002,WH02,379,42,2615.32,218.34,117.81,37,2025-11-01
INVST000317,ITM0016,WH03,364,4,770.62,46.43,31.33,41,2025-11-01
INVST000318,ITM0003,WH02,311,27,269.86,16.11,10.22,44,2025-11-01
INVST000319,ITM0025,WH01,256,13,2672.43,216.39,114.21,39,2025-11-01
INVST000320,ITM0027,WH03,16,27,950.2,59.65,46.58,34,2025-11-01
INVST000321,ITM0034,WH01,80,45,772.7,162.49,117.08,11,2025-11-01
INVST000322,ITM0009,WH03,120,30,393.43,65.04,32.79,20,2025-11-01
INVST000323,ITM0011,WH03,255,17,398.96,29.49,26.6,25,2025-11-01
INVST000324,ITM0033,WH02,399,48,1881.18,114.7,74.65,42,2025-11-01
INVST000325,ITM0014,WH01,201,25,103.12,22.63,14.32,12,2025-11-01
INVST000326,ITM0020,WH02,121,25,2249.43,134.34,113.61,33,2025-11-01
INVST000327,ITM0021,WH01,434,25,648.61,38.35,28.45,38,2025-11-01
INVST000328,ITM0030,WH02,338,8,1179.31,88.41,85.46,23,2025-11-01
INVST000329,ITM0008,WH03,283,41,1475.84,206.11,111.81,22,2025-11-01
INVST000330,ITM0013,WH01,364,1,1833.29,150.63,84.87,36,2025-11-01
INVST000331,ITM0038,WH01,195,45,2562.86,159.2,101.7,42,2025-12-01
INVST000332,ITM0040,WH02,31,29,1428.38,97.98,61.04,39,2025-12-01
INVST000333,ITM0033,WH02,72,24,159.79,37.67,22.19,12,2025-12-01
INVST000334,ITM0028,WH01,373,2,1140.17,159.82,82.62,23,2025-12-01
INVST000335,ITM0037,WH02,5,47,39.59,24.98,21.99,3,2025-12-01
