invoice_id,invoice_number,invoice_date,po_id,gr_id,vendor_id,invoice_amount,tax_amount,due_date,payment_date,payment_status,variance_amount
INV00026,INV/2025/00026,2025-05-23,PO00028,GR00026,VEN028,25242.65,2776.69,2025-05-23,2025-05-30,paid,454.87
INV00027,INV/2025/00027,2025-05-12,PO00029,GR00027,VEN002,594458.94,65390.48,2025-06-26,,overdue,14866.80
INV00028,INV/2024/00028,2024-10-07,PO00030,GR00028,VEN021,148198.12,16301.79,2024-10-22,2024-11-20,paid,-3106.38
INV00029,INV/2025/00029,2025-05-18,PO00031,GR00029,VEN009,151537.56,16669.13,2025-07-02,2025-07-21,paid,1961.69
INV00030,INV/2026/00030,2026-01-12,PO00033,GR00030,VEN023,37475.68,4122.32,2026-01-12,,unpaid,466.88
INV00031,INV/2024/00031,2024-07-24,PO00034,GR00031,VEN025,2147994.87,236279.44,2024-08-23,2024-09-26,paid,33849.28
INV00032,INV/2024/00032,2024-08-05,PO00035,GR00032,VEN025,2168246.04,238507.06,2024-09-04,2024-09-17,paid,-5993.66
INV00033,INV/2024/00033,2024-07-30,PO00036,GR00033,VEN025,2052638.80,225790.27,2024-07-30,,overdue,-40436.87
INV00034,INV/2024/00034,2024-09-23,PO00037,GR00034,VEN010,119989.19,13198.81,2024-09-23,,overdue,3022.43
INV00035,INV/2025/00035,2025-06-10,PO00038,GR00035,VEN010,136063.71,14967.01,2025-07-10,2025-06-21,paid,2467.53
INV00036,INV/2025/00036,2025-05-12,PO00039,GR00036,VEN013,303529.66,33388.26,2025-05-12,2025-05-25,paid,8219.09
INV00037,INV/2025/00037,2025-01-28,PO00040,GR00037,VEN014,1835126.14,201863.88,2025-01-28,,overdue,45290.25
INV00038,INV/2024/00038,2024-11-01,PO00041,GR00038,VEN014,26508.43,2915.93,2024-12-16,,overdue,-260.62
INV00039,INV/2024/00039,2024-10-04,PO00042,GR00039,VEN026,13322.64,1465.49,2024-11-18,2024-10-05,paid,272.94
INV00040,INV/2024/00040,2024-11-29,PO00043,GR00040,VEN009,42536.81,4679.05,2025-01-13,2024-12-01,paid,932.47
INV00041,INV/2024/00041,2024-06-18,PO00044,GR00041,VEN021,114857.79,12634.36,2024-07-03,,overdue,-1679.84
INV00042,INV/2025/00042,2025-11-10,PO00045,GR00042,VEN010,198501.11,21835.12,2026-02-08,2026-03-18,paid,-1165.01
INV00043,INV/2025/00043,2025-06-07,PO00046,GR00043,VEN012,697692.56,76746.18,2025-08-06,,overdue,11582.20
INV00044,INV/2025/00044,2025-07-13,PO00047,GR00044,VEN019,63302.56,6963.28,2025-08-12,2025-09-17,paid,-1150.25
INV00045,INV/2024/00045,2024-12-14,PO00048,GR00045,VEN018,29095.78,3200.54,2025-01-28,2025-03-05,paid,-401.21
INV00046,INV/2024/00046,2024-03-20,PO00049,GR00046,VEN019,3511867.36,386305.41,2024-04-04,2024-05-13,paid,54447.16
INV00047,INV/2025/00047,2025-01-18,PO00050,GR00047,VEN027,2258.69,248.46,2025-03-19,2025-01-27,paid,21.46
INV00048,INV/2024/00048,2024-06-27,PO00051,GR00048,VEN028,1031935.43,113512.90,2024-07-12,2024-07-25,paid,18704.62
INV00049,INV/2024/00049,2024-07-28,PO00052,GR00049,VEN021,340903.59,37499.39,2024-08-27,2024-09-19,paid,1207.78
INV00050,INV/2025/00050,2025-03-07,PO00053,GR00050,VEN029,185431.91,20397.51,2025-04-21,2025-04-14,paid,3015.30
INV00051,INV/2025/00051,2025-03-08,PO00054,GR00051,VEN023,595942.46,65553.67,2025-06-06,2025-06-09,paid,-7583.56
INV00052,INV/2024/00052,2024-05-30,PO00055,GR00052,VEN023,68913.91,7580.53,2024-06-14,2024-07-01,paid,-744.69
INV00053,INV/2025/00053,2025-03-02,PO00056,GR00053,VEN021,6269.70,689.67,2025-03-02,2025-03-25,paid,-184.04
INV00054,INV/2025/00054,2025-07-19,PO00057,GR00054,VEN026,16029.93,1763.29,2025-09-17,2025-08-18,paid,-26.97
INV00055,INV/2024/00055,2024-10-19,PO00058,GR00055,VEN025,3070.89,337.80,2024-12-18,2024-12-09,paid,12.51
INV00056,INV/2024/00056,2024-04-15,PO00059,GR00056,VEN023,133444.31,14678.87,2024-04-15,2024-04-29,paid,291.23
INV00057,INV/2025/00057,2025-04-09,PO00060,GR00057,VEN013,816388.03,89802.68,2025-07-08,2025-07-21,paid,344252.46
INV00058,INV/2024/00058,2024-08-04,PO00061,GR00058,VEN020,2155119.31,237063.12,2024-11-02,2024-09-23,paid,-54164.60
INV00059,INV/2024/00059,2024-05-08,PO00062,GR00059,VEN014,1431319.06,157445.10,2024-06-22,,overdue,24583.53
INV00060,INV/2024/00060,2024-04-21,PO00063,GR00060,VEN022,8083.08,889.14,2024-06-05,2024-06-03,paid,200.26
INV00061,INV/2025/00061,2025-11-05,PO00064,GR00061,VEN017,168576.35,18543.40,2025-12-20,2025-12-01,paid,-2577.90
INV00062,INV/2025/00062,2025-02-20,PO00065,GR00062,VEN014,76831.91,8451.51,2025-05-21,2025-05-27,paid,-39.42
INV00063,INV/2025/00063,2025-10-28,PO00066,GR00063,VEN014,1691.82,186.10,2025-12-27,2025-11-08,paid,14.53
INV00064,INV/2024/00064,2024-06-28,PO00067,GR00064,VEN023,84293.60,9272.30,2024-09-26,2024-07-27,paid,1019.51
INV00065,INV/2024/00065,2024-10-18,PO00068,GR00065,VEN013,4894903.53,538439.39,2024-11-17,2024-11-18,paid,30462.55
INV00066,INV/2025/00066,2025-04-28,PO00069,GR00066,VEN017,78682.60,8655.09,2025-05-28,,overdue,1538.35
INV00067,INV/2024/00067,2024-08-24,PO00070,GR00067,VEN029,895355.49,98489.10,2024-09-23,2024-10-04,paid,717008.57
INV00068,INV/2025/00068,2025-11-27,PO00071,GR00068,VEN004,1262.30,138.85,2025-11-27,2025-12-01,paid,25.82
INV00069,INV/2024/00069,2024-12-05,PO00072,GR00069,VEN018,145822.78,16040.51,2025-01-19,2025-01-29,paid,-3567.92
INV00070,INV/2024/00070,2024-06-15,PO00073,GR00070,VEN006,407691.89,44846.11,2024-06-30,2024-07-30,paid,-6841.42
INV00071,INV/2024/00071,2024-08-19,PO00074,GR00071,VEN010,608849.02,66973.39,2024-10-03,,overdue,224.52
INV00072,INV/2025/00072,2025-12-17,PO00075,GR00072,VEN002,969401.05,106634.12,2025-12-17,2025-12-22,paid,-1961254.75
INV00073,INV/2025/00073,2025-02-01,PO00076,GR00073,VEN020,2428324.85,267115.73,2025-03-18,2025-02-14,paid,28859.17
INV00074,INV/2025/00074,2025-03-29,PO00077,GR00074,VEN018,1156248.37,127187.32,2025-05-28,2025-06-19,paid,30230.52
INV00075,INV/2025/00075,2025-01-09,PO00079,GR00075,VEN007,22362.85,2459.91,2025-04-09,2025-03-19,paid,-169.93
INV00076,INV/2024/00076,2024-06-23,PO00081,GR00076,VEN001,888609.66,97747.06,2024-08-22,2024-07-18,paid,-14666.45
INV00077,INV/2025/00077,2025-11-05,PO00082,GR00077,VEN013,86858.48,9554.43,2026-01-04,2026-02-08,paid,871.64
INV00078,INV/2025/00078,2025-03-03,PO00083,GR00078,VEN007,989312.39,108824.36,2025-03-18,2025-03-14,paid,837152.65
INV00079,INV/2025/00079,2025-03-12,PO00084,GR00079,VEN013,37540.28,4129.43,2025-04-11,2025-03-20,paid,-539.12
INV00080,INV/2024/00080,2024-08-26,PO00085,GR00080,VEN006,54060.23,5946.63,2024-11-24,2024-10-14,paid,-1115.93
INV00081,INV/2025/00081,2025-06-16,PO00086,GR00081,VEN004,5877.75,646.55,2025-07-16,2025-08-25,paid,-7.45
INV00082,INV/2024/00082,2024-06-04,PO00087,GR00082,VEN017,2486.75,273.54,2024-08-03,2024-07-19,paid,57.30
INV00083,INV/2026/00083,2026-01-18,PO00088,GR00083,VEN026,12078.61,1328.65,2026-03-04,2026-03-28,paid,-85.26
INV00084,INV/2024/00084,2024-10-18,PO00089,GR00084,VEN004,881603.33,96976.37,2024-10-18,2024-11-17,paid,727854.61
INV00085,INV/2025/00085,2025-07-07,PO00090,GR00085,VEN014,4514.20,496.56,2025-07-22,2025-08-17,paid,-136.46
INV00086,INV/2025/00086,2025-07-11,PO00091,GR00086,VEN024,157910.48,17370.15,2025-08-25,,overdue,-1334.64
INV00087,INV/2026/00087,2026-01-19,PO00092,GR00087,VEN008,25128.28,2764.11,2026-03-20,2026-03-12,paid,691.58
INV00088,INV/2025/00088,2025-01-14,PO00093,GR00088,VEN013,2034389.34,223782.83,2025-03-15,2025-01-19,paid,-42907.68
INV00089,INV/2025/00089,2025-01-24,PO00094,GR00089,VEN007,375681.02,41324.91,2025-03-10,2025-01-26,paid,10209.59
INV00090,INV/2026/00090,2026-01-02,PO00095,GR00090,VEN024,1170565.07,128762.16,2026-03-03,,unpaid,22604.66
INV00091,INV/2025/00091,2025-12-24,PO00096,GR00091,VEN004,39590.40,4354.94,2026-02-07,2026-03-11,paid,-840.87
INV00092,INV/2025/00092,2025-08-22,PO00097,GR00092,VEN018,19300.74,2123.08,2025-09-06,2025-08-28,paid,-410.33
INV00093,INV/2024/00093,2024-05-24,PO00098,GR00093,VEN006,41092.14,4520.14,2024-06-23,2024-07-21,paid,-726.91
INV00094,INV/2024/00094,2024-01-24,PO00099,GR00094,VEN021,22947493.57,2524224.29,2024-03-09,2024-02-19,paid,17412.94
INV00095,INV/2024/00095,2024-01-31,PO00100,GR00095,VEN021,22212747.64,2443402.24,2024-03-31,2024-02-05,paid,-197774.42
INV00096,INV/2025/00096,2025-04-08,PO00101,GR00096,VEN012,5430675.89,597374.35,2025-06-07,2025-06-30,paid,141621.12
INV00097,INV/2024/00097,2024-12-27,PO00102,GR00097,VEN026,23090.12,2539.91,2024-12-27,2025-01-26,paid,374.28
INV00098,INV/2025/00098,2025-11-02,PO00103,GR00098,VEN002,4016.26,441.79,2026-01-31,2026-03-08,paid,40.14
INV00099,INV/2024/00099,2024-10-03,PO00104,GR00099,VEN023,370028.68,40703.15,2024-11-02,,overdue,9759.57
INV00100,INV/2024/00100,2024-09-29,PO00105,GR00100,VEN014,49065.59,5397.21,2024-09-29,2024-10-10,paid,679.13
INV00101,INV/2026/00101,2026-01-02,PO00106,GR00101,VEN004,230190.45,25320.95,2026-04-02,2026-04-02,paid,-2730.74
INV00102,INV/2024/00102,2024-11-29,PO00107,GR00102,VEN027,3899287.26,428921.60,2025-02-27,2025-02-08,paid,88709.09
INV00103,INV/2025/00103,2025-10-06,PO00109,GR00103,VEN026,20280.12,2230.81,2025-12-05,2025-12-18,paid,97.27
INV00104,INV/2025/00104,2025-10-19,PO00110,GR00104,VEN019,9157.57,1007.33,2025-11-18,2025-12-28,paid,-8.95
INV00105,INV/2024/00105,2024-07-23,PO00111,GR00105,VEN006,88071.37,9687.85,2024-08-22,2024-09-26,paid,-1194.90
INV00106,INV/2025/00106,2025-03-31,PO00112,GR00106,VEN013,38592.78,4245.21,2025-04-30,2025-05-24,paid,-935.80
INV00107,INV/2024/00107,2024-10-17,PO00113,GR00107,VEN015,884961.26,97345.74,2024-10-17,2024-11-17,paid,814982.24
INV00108,INV/2025/00108,2025-10-28,PO00114,GR00108,VEN026,191077.23,21018.49,2025-11-27,2025-12-01,paid,2237.95
INV00109,INV/2025/00109,2025-01-30,PO00115,GR00109,VEN023,144826.15,15930.88,2025-03-16,2025-03-21,paid,1563.92
INV00110,INV/2026/00110,2026-02-01,PO00116,GR00110,VEN004,5460183.65,600620.20,2026-02-16,,unpaid,50379.01
INV00111,INV/2025/00111,2025-03-25,PO00117,GR00111,VEN022,325653.54,35821.89,2025-05-24,2025-03-28,paid,9077.68
INV00112,INV/2024/00112,2024-10-20,PO00118,GR00112,VEN027,7321007.72,805310.85,2024-12-19,2024-12-28,paid,132581.90
INV00113,INV/2025/00113,2025-01-23,PO00119,GR00113,VEN002,141044.64,15514.91,2025-02-22,2025-02-22,paid,1094.45
INV00114,INV/2026/00114,2026-02-08,PO00120,GR00114,VEN019,40552.00,4460.72,2026-04-09,,unpaid,-71.45
INV00115,INV/2025/00115,2025-02-25,PO00121,GR00115,VEN030,111292.04,12242.12,2025-03-12,2025-04-18,paid,-2074.45
INV00116,INV/2024/00116,2024-12-26,PO00122,GR00116,VEN023,66926.72,7361.94,2024-12-26,,overdue,1568.11
INV00117,INV/2025/00117,2025-04-20,PO00123,GR00117,VEN023,1416.75,155.84,2025-05-05,,overdue,18.76
INV00118,INV/2024/00118,2024-01-30,PO00124,GR00118,VEN022,1033677.33,113704.51,2024-01-30,2024-02-14,paid,26540.37
INV00119,INV/2024/00119,2024-05-21,PO00125,GR00119,VEN025,789573.50,86853.08,2024-07-20,2024-07-26,paid,-16604.34
INV00120,INV/2024/00120,2024-03-29,PO00126,GR00120,VEN011,1002051.69,110225.69,2024-04-28,2024-04-28,paid,8211.98
INV00121,INV/2025/00121,2025-11-26,PO00127,GR00121,VEN018,45882.11,5047.03,2026-01-25,2025-12-02,paid,1107.81
INV00122,INV/2024/00122,2024-10-07,PO00128,GR00122,VEN014,3219896.04,354188.56,2024-10-07,2024-10-10,paid,-16818.89
INV00123,INV/2025/00123,2025-07-16,PO00129,GR00123,VEN002,22872.73,2516.00,2025-07-31,2025-08-02,paid,329.34
INV00124,INV/2024/00124,2024-12-28,PO00130,GR00124,VEN014,8773.67,965.10,2025-01-27,2025-01-27,paid,-224.66
INV00125,INV/2025/00125,2025-04-14,PO00131,GR00125,VEN027,25593.80,2815.32,2025-05-29,2025-05-22,paid,-565.25
INV00126,INV/2025/00126,2025-06-16,PO00132,GR00126,VEN030,34103.02,3751.33,2025-08-15,2025-09-07,paid,-273.76
INV00127,INV/2025/00127,2025-10-06,PO00133,GR00127,VEN009,84713.04,9318.43,2026-01-04,2025-12-27,paid,-628.23
INV00128,INV/2024/00128,2024-08-19,PO00134,GR00128,VEN023,20200.13,2222.01,2024-10-03,,overdue,176.87
INV00129,INV/2025/00129,2025-12-24,PO00135,GR00129,VEN021,358939.06,39483.30,2026-03-24,2026-04-07,paid,4721.06
INV00130,INV/2024/00130,2024-07-22,PO00136,GR00130,VEN005,204562.78,22501.91,2024-08-21,2024-08-08,paid,-2386.76
INV00131,INV/2026/00131,2026-01-09,PO00137,GR00131,VEN005,28954.78,3185.03,2026-04-09,2026-02-26,paid,-426.24
INV00132,INV/2025/00132,2025-10-26,PO00138,GR00132,VEN013,81107.21,8921.79,2026-01-24,,unpaid,-796.70
INV00133,INV/2024/00133,2024-06-03,PO00139,GR00133,VEN003,2791358.35,307049.42,2024-09-01,2024-08-26,paid,-18957.17
INV00134,INV/2025/00134,2025-04-07,PO00140,GR00134,VEN016,33770.41,3714.74,2025-06-06,2025-07-10,paid,663.92
INV00135,INV/2024/00135,2024-07-29,PO00141,GR00135,VEN017,1289333.09,141826.64,2024-08-13,2024-08-02,paid,-17110.71
INV00136,INV/2025/00136,2025-06-05,PO00142,GR00136,VEN025,18938.06,2083.19,2025-08-04,2025-09-06,paid,-539.58
INV00137,INV/2025/00137,2025-04-24,PO00143,GR00137,VEN009,141671.24,15583.84,2025-06-08,2025-07-11,paid,-4218.49
INV00138,INV/2025/00138,2025-02-02,PO00144,GR00138,VEN030,199394.92,21933.44,2025-02-02,2025-02-04,paid,1475.67
INV00139,INV/2025/00139,2025-02-14,PO00145,GR00139,VEN013,28516.68,3136.83,2025-03-01,2025-03-28,paid,-366.69
INV00140,INV/2025/00140,2025-08-25,PO00146,GR00140,VEN014,111183.51,12230.19,2025-10-09,2025-10-29,paid,-377.17
INV00141,INV/2025/00141,2025-01-04,PO00147,GR00141,VEN014,1622736.61,178501.03,2025-02-03,,overdue,21330.18
INV00142,INV/2024/00142,2024-09-22,PO00148,GR00142,VEN009,84066.10,9247.27,2024-11-21,2024-10-22,paid,-1821.54
INV00143,INV/2025/00143,2025-01-01,PO00149,GR00143,VEN028,27501.06,3025.12,2025-01-31,2025-03-09,paid,601.39
INV00144,INV/2024/00144,2024-07-10,PO00150,GR00144,VEN008,152484.34,16773.28,2024-09-08,2024-09-05,paid,631.67
INV00145,INV/2025/00145,2025-10-27,PO00151,GR00145,VEN001,48474.16,5332.16,2025-10-27,2025-11-10,paid,920.33
INV00146,INV/2025/00146,2025-01-10,PO00152,GR00146,VEN004,61676.06,6784.37,2025-01-25,2025-03-01,paid,1686.94
INV00147,INV/2024/00147,2024-04-10,PO00154,GR00147,VEN009,31949.29,3514.42,2024-04-25,2024-05-24,paid,-346.34
INV00148,INV/2025/00148,2025-09-16,PO00155,GR00148,VEN017,69920.20,7691.22,2025-10-31,2025-11-07,paid,-678.55
INV00149,INV/2025/00149,2025-10-11,PO00156,GR00149,VEN001,79299.68,8722.96,2025-11-25,,overdue,2022.96
INV00150,INV/2025/00150,2025-05-26,PO00157,GR00150,VEN001,21488.43,2363.73,2025-06-25,,overdue,-28.43
INV00151,INV/2025/00151,2025-03-03,PO00158,GR00151,VEN028,37887.06,4167.58,2025-04-17,2025-03-23,paid,720.84
INV00152,INV/2024/00152,2024-06-22,PO00159,GR00152,VEN016,321770.86,35394.79,2024-09-20,2024-07-17,paid,-7341.87
INV00153,INV/2024/00153,2024-09-10,PO00160,GR00153,VEN005,264148.99,29056.39,2024-12-09,,overdue,2116.65
INV00154,INV/2025/00154,2025-01-27,PO00161,GR00154,VEN016,1469995.22,161699.47,2025-01-27,2025-02-04,paid,-33722.85
INV00155,INV/2024/00155,2024-06-21,PO00164,GR00155,VEN024,252358.27,27759.41,2024-07-06,2024-07-06,paid,-1126.83
INV00156,INV/2025/00156,2025-11-28,PO00165,GR00156,VEN022,42228.81,4645.17,2025-12-13,2026-01-01,paid,-390.47
INV00157,INV/2025/00157,2025-12-14,PO00166,GR00157,VEN019,956217.38,105183.91,2025-12-14,2025-12-27,paid,895860.50
INV00158,INV/2025/00158,2025-10-14,PO00168,GR00158,VEN011,7718.72,849.06,2026-01-12,2026-01-14,paid,-31.94
INV00159,INV/2026/00159,2026-01-19,PO00169,GR00159,VEN019,18559870.27,2041585.73,2026-02-18,2026-01-23,paid,492939.14
INV00160,INV/2024/00160,2024-02-12,PO00171,GR00160,VEN024,6476548.33,712420.32,2024-03-13,,overdue,-131427.44
INV00161,INV/2025/00161,2025-01-10,PO00172,GR00161,VEN026,2597537.95,285729.17,2025-02-09,2025-01-25,paid,65124.53
INV00162,INV/2024/00162,2024-11-25,PO00173,GR00162,VEN027,848920.03,93381.20,2024-12-25,2025-01-05,paid,832454.02
INV00163,INV/2024/00163,2024-03-08,PO00174,GR00163,VEN013,107023.90,11772.63,2024-03-23,,overdue,-829.71
INV00164,INV/2025/00164,2025-10-30,PO00175,GR00164,VEN029,21739.49,2391.34,2025-11-14,2025-12-18,paid,-284.36
INV00165,INV/2024/00165,2024-10-29,PO00176,GR00165,VEN015,589887.68,64887.65,2024-11-28,2024-12-10,paid,-3205.40
INV00166,INV/2024/00166,2024-05-01,PO00177,GR00166,VEN013,58287.02,6411.57,2024-05-16,2024-05-25,paid,1575.58
INV00167,INV/2025/00167,2025-01-19,PO00178,GR00167,VEN014,150799.37,16587.93,2025-03-05,2025-03-18,paid,-2637.45
INV00168,INV/2024/00168,2024-08-30,PO00179,GR00168,VEN029,14953.21,1644.85,2024-08-30,2024-09-09,paid,309.80
INV00169,INV/2025/00169,2025-01-31,PO00180,GR00169,VEN019,37782.09,4156.03,2025-02-15,2025-02-02,paid,952.29
INV00170,INV/2024/00170,2024-04-09,PO00181,GR00170,VEN006,7254.80,798.03,2024-04-09,2024-05-01,paid,-205.71
INV00171,INV/2025/00171,2025-11-04,PO00182,GR00171,VEN001,1138182.90,125200.12,2025-11-19,2025-12-22,paid,18731.34
INV00172,INV/2024/00172,2024-11-10,PO00183,GR00172,VEN028,35323.44,3885.58,2024-11-10,,overdue,-469.35
INV00173,INV/2025/00173,2025-01-08,PO00184,GR00173,VEN020,1155832.70,127141.60,2025-01-08,2025-01-10,paid,-24598.91
INV00174,INV/2025/00174,2025-11-27,PO00185,GR00174,VEN001,58426.91,6426.96,2025-11-27,2025-12-11,paid,375.54
INV00175,INV/2024/00175,2024-12-25,PO00186,GR00175,VEN021,61268.60,6739.55,2025-02-23,2024-12-28,paid,-982.25
INV00176,INV/2025/00176,2025-02-16,PO00187,GR00176,VEN019,329111.51,36202.27,2025-04-17,2025-04-06,paid,4585.45
INV00177,INV/2024/00177,2024-11-14,PO00188,GR00177,VEN001,85116.45,9362.81,2025-01-13,,overdue,333.79
INV00178,INV/2026/00178,2026-01-05,PO00189,GR00178,VEN030,14400.91,1584.10,2026-02-04,2026-01-23,paid,-246.96
INV00179,INV/2025/00179,2025-02-13,PO00190,GR00179,VEN001,69211.00,7613.21,2025-02-28,2025-03-27,paid,-1618.45
INV00180,INV/2024/00180,2024-09-13,PO00191,GR00180,VEN013,131671.24,14483.84,2024-11-12,,overdue,759.86
INV00181,INV/2024/00181,2024-05-06,PO00192,GR00181,VEN020,16091999.38,1770119.93,2024-06-20,2024-06-10,paid,214168.78
INV00182,INV/2025/00182,2025-07-16,PO00193,GR00182,VEN007,130057.70,14306.35,2025-07-16,2025-08-09,paid,760.65
INV00183,INV/2025/00183,2025-09-10,PO00194,GR00183,VEN014,17694.25,1946.37,2025-10-10,,overdue,492.55
INV00184,INV/2025/00184,2025-03-12,PO00195,GR00184,VEN018,800162.18,88017.84,2025-04-26,,overdue,-104710.24
INV00185,INV/2024/00185,2024-09-11,PO00196,GR00185,VEN003,15047.69,1655.25,2024-09-26,2024-10-06,paid,107.78
INV00186,INV/2025/00186,2025-07-10,PO00197,GR00186,VEN003,81386.81,8952.55,2025-08-09,2025-07-31,paid,956.56
INV00187,INV/2025/00187,2025-02-08,PO00198,GR00187,VEN027,987019.78,108572.18,2025-02-08,,overdue,752095.08
INV00188,INV/2024/00188,2024-10-17,PO00199,GR00188,VEN016,3119.61,343.16,2024-11-16,2024-11-25,paid,-74.21
INV00189,INV/2025/00189,2025-05-25,PO00200,GR00189,VEN023,680464.66,74851.11,2025-08-23,2025-09-07,paid,13461.69
INV00190,INV/2025/00190,2025-12-21,PO00201,GR00190,VEN025,56072.74,6168.00,2026-01-05,2026-01-07,paid,1554.51
INV00191,INV/2024/00191,2024-11-12,PO00202,GR00191,VEN011,1633.73,179.71,2024-11-27,,overdue,9.56
INV00192,INV/2025/00192,2025-11-28,PO00203,GR00192,VEN008,885351.69,97388.69,2026-02-26,2026-03-17,paid,216324.08
INV00193,INV/2024/00193,2024-04-22,PO00204,GR00193,VEN020,13478.80,1482.67,2024-05-22,2024-06-01,paid,329.49
INV00194,INV/2024/00194,2024-09-27,PO00205,GR00194,VEN014,870493.29,95754.26,2024-12-26,2024-10-14,paid,23412.72
INV00195,INV/2025/00195,2025-09-30,PO00206,GR00195,VEN001,11125.78,1223.84,2025-10-30,2025-10-24,paid,-31.40
INV00196,INV/2025/00196,2025-10-03,PO00207,GR00196,VEN025,1289.68,141.86,2025-11-17,2025-10-12,paid,16.31
INV00197,INV/2024/00197,2024-12-14,PO00208,GR00197,VEN022,1054249.49,115967.44,2024-12-14,,overdue,9345.91
INV00198,INV/2024/00198,2024-08-31,PO00209,GR00198,VEN016,883712.29,97208.35,2024-11-29,2024-12-27,paid,840988.55
INV00199,INV/2025/00199,2025-02-17,PO00210,GR00199,VEN019,102591.95,11285.11,2025-03-19,,overdue,2932.54
INV00200,INV/2024/00200,2024-04-27,PO00211,GR00200,VEN026,181722.05,19989.43,2024-04-27,2024-05-23,paid,-1893.22
INV00201,INV/2024/00201,2024-05-22,PO00212,GR00201,VEN008,946801.49,104148.16,2024-06-21,2024-06-22,paid,23696.23
INV00202,INV/2024/00202,2024-07-30,PO00213,GR00202,VEN011,18745.84,2062.04,2024-08-14,2024-09-21,paid,354.69
INV00203,INV/2025/00203,2025-10-11,PO00214,GR00203,VEN003,50427.26,5547.00,2026-01-09,,unpaid,-1089.01
INV00204,INV/2024/00204,2024-10-28,PO00217,GR00204,VEN002,3778825.70,415670.83,2024-11-12,,overdue,-111891.37
INV00205,INV/2024/00205,2024-12-06,PO00218,GR00205,VEN006,24197.15,2661.69,2024-12-06,2024-12-12,paid,629.18
INV00206,INV/2025/00206,2025-02-19,PO00219,GR00206,VEN007,2225140.72,244765.48,2025-04-05,2025-04-14,paid,-68290.81
