po_id,po_number,po_date,pr_id,vendor_id,item_id,quantity,unit_price,total_amount,discount,tax_amount,freight_cost,currency,exchange_rate,payment_terms,delivery_date_promised,delivery_date_actual,incoterms,contract_id,status,is_split_po,parent_po_id
PO00012,PO202500012,2025-09-15,PR00014,VEN005,ITM0038,5.00,3346.32,17928.41,579.88,1776.69,0.00,IDR,1.0,Net 90,2025-10-05,2025-09-24,FOB,CTR009,cancelled,false,
PO00013,PO202500013,2025-05-06,PR00015,VEN014,ITM0011,5.00,14685.85,79975.93,2764.20,7773.15,1537.73,IDR,1.0,COD,2025-06-16,2025-05-19,EXW,CTR011,closed,false,
PO00014,PO202400014,2024-03-26,PR00017,VEN015,ITM0023,2000.00,35.14,74589.57,3074.38,7391.76,0.00,IDR,1.0,COD,2024-04-03,2024-04-03,DDP,CTR013,closed,false,
PO00015,PO202500015,2025-04-30,PR00018,VEN005,ITM0037,20.00,51346.02,1153606.47,14646.28,111350.16,29982.16,IDR,1.0,Net 15,2025-05-16,2025-05-03,CIF,,closed,false,
PO00016,PO202400016,2024-05-04,PR00019,VEN030,ITM0026,200.00,148.11,32651.69,206.50,3235.75,0.00,IDR,1.0,COD,2024-05-18,2024-05-10,EXW,CTR013,closed,false,
PO00017,PO202500017,2025-07-05,PR00020,VEN017,ITM0006,10.00,7487.72,82380.61,1555.99,8065.34,994.01,IDR,1.0,Net 45,2025-08-08,2025-07-31,FOB,,closed,false,
PO00018,PO202400018,2024-07-09,PR00021,VEN018,ITM0019,4.00,9879.51,42745.57,1315.78,4202.25,341.07,IDR,1.0,Net 45,2024-08-16,2024-07-24,DDP,,open,false,
PO00019,PO202500019,2025-06-08,PR00022,VEN028,ITM0002,5.00,41219.54,221134.56,7898.10,21801.96,1133.01,IDR,1.0,Net 30,2025-07-23,2025-07-12,EXW,CTR008,closed,false,
PO00020,PO202400020,2024-07-15,PR00023,VEN017,ITM0010,50.00,25054.09,1397296.66,19083.97,135698.28,27977.66,IDR,1.0,Net 30,2024-08-05,2024-07-19,CIF,CTR001,closed,false,
PO00021,PO202500021,2025-12-17,PR00025,VEN005,ITM0006,200.00,7966.44,1702080.46,60068.37,168654.13,206.92,IDR,1.0,Net 15,2025-12-30,2025-12-25,CIF,CTR008,closed,false,
PO00022,PO202400022,2024-12-17,PR00026,VEN017,ITM0008,1000.00,422.13,447606.08,18885.32,44357.36,0.00,IDR,1.0,Net 90,2025-01-16,2025-01-07,DDP,CTR001,closed,false,
PO00023,PO202500023,2025-01-11,PR00027,VEN004,ITM0026,2000.00,101.27,222216.11,2337.44,22021.42,0.00,IDR,1.0,Net 45,2025-01-19,2025-01-11,FOB,CTR013,closed,false,
PO00024,PO202500024,2025-06-16,PR00028,VEN011,ITM0035,1.00,182966.09,203789.54,1501.64,19961.09,2364.00,IDR,1.0,Net 60,2025-07-17,2025-06-23,DDP,CTR002,closed,false,
PO00025,PO202400025,2024-12-24,PR00029,VEN002,ITM0038,50.00,2558.10,135511.92,5822.16,13429.11,0.00,IDR,1.0,Net 30,2025-01-19,2024-12-29,DDP,,closed,false,
PO00026,PO202400026,2024-04-12,PR00030,VEN011,ITM0014,20.00,14227.99,318635.87,3213.90,30948.05,6341.88,IDR,1.0,Net 30,2024-05-26,2024-05-03,DDP,CTR011,closed,false,
PO00027,PO202500027,2025-11-14,PR00032,VEN030,ITM0040,10.00,3375.12,36983.43,432.77,3665.02,0.00,IDR,1.0,COD,2025-12-06,2025-11-17,EXW,,closed,false,
PO00028,PO202500028,2025-05-12,PR00033,VEN028,ITM0004,2.00,11344.71,24787.78,940.46,2392.39,646.43,IDR,1.0,COD,2025-06-04,2025-05-14,EXW,CTR008,closed,false,
PO00029,PO202500029,2025-04-25,PR00034,VEN002,ITM0038,200.00,2717.97,579592.14,21439.44,57437.06,0.00,IDR,1.0,Net 45,2025-05-18,2025-05-04,FOB,CTR009,open,false,
PO00030,PO202400030,2024-09-28,PR00035,VEN021,ITM0011,10.00,13630.48,151304.50,186.40,14973.03,213.04,IDR,1.0,Net 15,2024-10-16,2024-10-02,EXW,,closed,false,
PO00031,PO202500031,2025-05-04,PR00036,VEN009,ITM0009,4.00,34341.24,149575.87,6228.43,14425.02,4014.33,IDR,1.0,Net 45,2025-05-27,2025-05-09,EXW,,closed,false,
PO00032,PO202400032,2024-07-14,PR00037,VEN010,ITM0018,100.00,103.38,11082.53,353.70,1098.27,0.00,IDR,1.0,Net 90,2024-07-26,2024-07-16,DDP,CTR004,cancelled,false,
PO00033,PO202500033,2025-12-31,PR00038,VEN023,ITM0025,1000.00,33.56,37008.80,221.92,3667.54,0.00,IDR,1.0,COD,2026-01-09,2026-01-04,EXW,,closed,false,
PO00034,PO202400034,2024-07-19,PR00040,VEN025,ITM0032,166.67,11609.75,2114145.59,54261.50,206876.62,26572.38,IDR,1.0,Net 30,2024-08-04,2024-07-21,CIF,CTR003,closed,true,
PO00035,PO202400035,2024-07-17,PR00040,VEN025,ITM0032,166.67,11609.75,2174239.70,27503.62,209819.99,56965.23,IDR,1.0,Net 30,2024-08-18,2024-07-23,FOB,CTR003,closed,true,PO00034
PO00036,PO202400036,2024-07-19,PR00040,VEN025,ITM0032,166.67,11609.75,2093075.66,96730.60,202205.02,52643.15,IDR,1.0,COD,2024-08-03,2024-07-20,FOB,CTR003,closed,true,PO00034
PO00037,PO202400037,2024-08-31,PR00041,VEN010,ITM0026,1000.00,109.83,116966.76,4453.53,11591.30,0.00,IDR,1.0,COD,2024-09-18,2024-09-13,DDP,,closed,false,
PO00038,PO202500038,2025-05-24,PR00042,VEN010,ITM0031,500.00,246.93,133596.19,3107.88,13239.26,0.00,IDR,1.0,Net 30,2025-06-29,2025-06-04,DDP,CTR016,closed,false,
PO00039,PO202500039,2025-04-19,PR00043,VEN013,ITM0001,25.00,10693.89,295310.57,5825.34,28767.41,5021.26,IDR,1.0,COD,2025-05-08,2025-05-03,FOB,,closed,false,
PO00040,PO202500040,2025-01-06,PR00044,VEN014,ITM0028,2000.00,810.97,1789835.89,9483.59,177371.12,0.00,IDR,1.0,COD,2025-02-04,2025-01-19,CIF,,closed,false,
PO00041,PO202400041,2024-10-27,PR00045,VEN014,ITM0025,500.00,49.45,26769.05,610.41,2652.79,0.00,IDR,1.0,Net 45,2024-11-16,2024-10-27,CIF,CTR013,closed,false,
PO00042,PO202400042,2024-09-16,PR00046,VEN026,ITM0022,200.00,59.13,13049.70,69.81,1293.21,0.00,IDR,1.0,Net 45,2024-10-16,2024-09-25,DDP,CTR013,open,false,
PO00043,PO202400043,2024-11-19,PR00047,VEN009,ITM0006,5.00,7464.41,41604.34,158.20,4088.02,352.47,IDR,1.0,Net 45,2024-12-23,2024-11-21,FOB,CTR008,closed,false,
PO00044,PO202400044,2024-05-30,PR00048,VEN021,ITM0029,1000.00,106.81,116537.64,1819.53,11548.77,0.00,IDR,1.0,Net 15,2024-06-16,2024-06-16,EXW,CTR016,closed,false,
PO00045,PO202500045,2025-10-28,PR00049,VEN010,ITM0029,1000.00,186.52,199666.12,6636.62,19786.73,0.00,IDR,1.0,Net 90,2025-11-09,2025-11-03,DDP,CTR016,closed,false,
PO00046,PO202500046,2025-05-11,PR00051,VEN012,ITM0011,50.00,12858.61,686110.36,30115.52,67409.62,5885.97,IDR,1.0,Net 60,2025-05-31,2025-05-26,FOB,,closed,false,
PO00047,PO202500047,2025-06-30,PR00055,VEN019,ITM0026,500.00,118.05,64452.81,960.02,6387.22,0.00,IDR,1.0,Net 30,2025-07-10,2025-07-01,EXW,CTR013,closed,false,
PO00048,PO202400048,2024-11-01,PR00056,VEN018,ITM0030,100.00,267.99,29496.99,225.37,2923.13,0.00,IDR,1.0,Net 45,2024-12-12,2024-12-06,DDP,CTR016,closed,false,
PO00049,PO202400049,2024-03-17,PR00057,VEN019,ITM0035,20.00,162072.20,3457420.20,155426.05,339461.97,31940.27,IDR,1.0,Net 15,2024-04-01,2024-03-17,FOB,CTR002,closed,false,
PO00050,PO202400050,2024-12-27,PR00058,VEN027,ITM0025,50.00,41.33,2237.24,51.02,221.71,0.00,IDR,1.0,Net 60,2025-01-05,2025-01-05,DDP,CTR013,closed,false,
PO00051,PO202400051,2024-06-09,PR00059,VEN028,ITM0037,20.00,46796.34,1013230.81,24205.73,100289.32,1220.39,IDR,1.0,Net 15,2024-06-30,2024-06-22,DDP,CTR002,closed,false,
PO00052,PO202400052,2024-07-17,PR00060,VEN021,ITM0005,100.00,3073.47,339695.81,1314.44,33663.55,0.00,IDR,1.0,Net 30,2024-07-26,2024-07-18,DDP,CTR008,closed,false,
PO00053,PO202500053,2025-02-27,PR00061,VEN029,ITM0028,250.00,678.42,182416.61,5264.95,18077.32,0.00,IDR,1.0,Net 45,2025-03-21,2025-02-28,DDP,,closed,false,
PO00054,PO202500054,2025-01-14,PR00063,VEN023,ITM0031,2000.00,274.79,603526.02,5856.77,59808.89,0.00,IDR,1.0,Net 90,2025-02-11,2025-02-26,FOB,CTR016,closed,false,
PO00055,PO202400055,2024-05-13,PR00066,VEN023,ITM0013,100.00,653.18,69658.60,2562.64,6903.10,0.00,IDR,1.0,Net 15,2024-05-24,2024-05-19,EXW,CTR011,closed,false,
PO00056,PO202500056,2025-02-14,PR00067,VEN021,ITM0038,2.00,2959.11,6453.74,104.03,639.56,0.00,IDR,1.0,COD,2025-02-23,2025-02-23,DDP,CTR009,closed,false,
PO00057,PO202500057,2025-07-09,PR00068,VEN026,ITM0006,2.00,7362.60,16056.90,553.95,1558.84,326.82,IDR,1.0,Net 60,2025-07-16,2025-07-13,DDP,CTR008,open,false,
PO00058,PO202400058,2024-09-26,PR00069,VEN025,ITM0036,2.00,1424.58,3058.38,93.86,303.08,0.00,IDR,1.0,Net 60,2024-10-24,2024-10-09,EXW,CTR002,closed,false,
PO00059,PO202400059,2024-04-05,PR00070,VEN023,ITM0013,200.00,608.65,133153.08,1771.81,13195.35,0.00,IDR,1.0,COD,2024-04-16,2024-04-10,DDP,CTR011,closed,false,
PO00060,PO202500060,2025-02-04,PR00073,VEN013,ITM0012,25.00,17544.60,472135.57,15842.98,46504.91,2858.74,IDR,1.0,Net 90,2025-03-09,2025-03-29,FOB,,closed,false,
PO00061,PO202400061,2024-07-14,PR00075,VEN020,ITM0002,50.00,40273.16,2209283.91,72130.28,213568.05,54188.13,IDR,1.0,Net 90,2024-08-09,2024-08-02,CIF,,open,false,
PO00062,PO202400062,2024-04-08,PR00076,VEN014,ITM0011,100.00,13097.33,1406735.53,42827.79,139359.57,470.77,IDR,1.0,Net 45,2024-05-14,2024-04-25,FOB,CTR011,closed,false,
PO00063,PO202400063,2024-04-07,PR00077,VEN022,ITM0025,200.00,36.87,7882.82,272.06,781.18,0.00,IDR,1.0,Net 45,2024-04-19,2024-04-12,DDP,CTR013,closed,false,
PO00064,PO202500064,2025-10-21,PR00078,VEN017,ITM0003,50.00,3244.80,171154.24,8047.22,16961.23,0.00,IDR,1.0,Net 45,2025-11-05,2025-10-27,DDP,CTR008,closed,false,
PO00065,PO202500065,2025-02-02,PR00079,VEN014,ITM0011,5.00,13836.41,76871.33,979.71,7502.26,1166.70,IDR,1.0,Net 90,2025-02-13,2025-02-13,CIF,CTR011,closed,false,
PO00066,PO202500066,2025-10-18,PR00080,VEN014,ITM0005,1.00,1513.68,1677.29,2.61,166.22,0.00,IDR,1.0,Net 60,2025-10-26,2025-10-20,CIF,CTR008,closed,false,
PO00067,PO202400067,2024-06-18,PR00081,VEN023,ITM0017,1000.00,75.66,83274.09,637.04,8252.39,0.00,IDR,1.0,Net 90,2024-06-25,2024-06-24,DDP,CTR004,closed,false,
PO00068,PO202400068,2024-08-23,PR00082,VEN013,ITM0012,250.00,17589.15,4864440.97,22164.34,481263.53,8054.48,IDR,1.0,Net 30,2024-10-06,2024-10-10,FOB,,closed,false,
PO00069,PO202500069,2025-04-07,PR00084,VEN017,ITM0031,200.00,363.06,77144.25,3111.75,7644.93,0.00,IDR,1.0,Net 30,2025-05-08,2025-04-19,FOB,CTR016,partial,false,
PO00070,PO202400070,2024-08-13,PR00086,VEN029,ITM0031,500.00,324.98,178346.92,1816.23,17674.02,0.00,IDR,1.0,Net 30,2024-09-07,2024-08-15,CIF,CTR016,closed,false,
PO00071,PO202500071,2025-11-10,PR00087,VEN004,ITM0015,200.00,5.82,1236.47,49.30,122.53,0.00,IDR,1.0,COD,2025-12-17,2025-11-23,DDP,CTR004,open,false,
PO00072,PO202400072,2024-11-02,PR00088,VEN018,ITM0011,10.00,13777.06,149390.70,4888.01,14617.08,1891.04,IDR,1.0,Net 45,2024-12-15,2024-12-02,CIF,CTR011,closed,false,
PO00073,PO202400073,2024-05-08,PR00089,VEN006,ITM0031,1000.00,390.33,414533.31,16879.88,41079.88,0.00,IDR,1.0,Net 15,2024-06-08,2024-06-05,FOB,CTR016,closed,false,
PO00074,PO202400074,2024-08-03,PR00090,VEN010,ITM0028,1000.00,565.24,608624.50,16931.91,60314.14,0.00,IDR,1.0,Net 45,2024-08-10,2024-08-08,CIF,,closed,false,
PO00075,PO202500075,2025-12-04,PR00091,VEN002,ITM0020,100.00,26592.00,2930655.80,28614.71,289364.34,10706.58,IDR,1.0,COD,2025-12-24,2025-12-12,FOB,,closed,false,
PO00076,PO202500076,2025-01-16,PR00092,VEN020,ITM0033,2500.00,868.93,2399465.68,10638.59,237784.89,0.00,IDR,1.0,Net 45,2025-02-16,2025-01-23,EXW,,open,false,
PO00077,PO202500077,2025-03-04,PR00093,VEN018,ITM0035,5.00,205147.97,1126017.85,23478.50,110248.75,13507.76,IDR,1.0,Net 60,2025-04-09,2025-03-21,CIF,CTR002,closed,false,
PO00078,PO202400078,2024-05-05,PR00094,VEN003,ITM0004,5.00,11115.07,60771.43,1952.34,5898.53,1249.89,IDR,1.0,Net 45,2024-06-14,2024-05-07,CIF,CTR008,cancelled,false,
PO00079,PO202400079,2024-12-02,PR00096,VEN007,ITM0017,200.00,101.54,22532.78,9.00,2232.98,0.00,IDR,1.0,Net 90,2025-01-09,2025-01-04,FOB,CTR023,closed,false,
PO00080,PO202400080,2024-07-14,PR00097,VEN001,ITM0028,200.00,650.26,139200.81,4644.91,13794.68,0.00,IDR,1.0,Net 60,2024-08-15,2024-08-07,FOB,,cancelled,false,
PO00081,PO202400081,2024-06-08,PR00098,VEN001,ITM0033,1000.00,818.47,903276.10,4707.02,89513.85,0.00,IDR,1.0,Net 60,2024-06-30,2024-06-21,FOB,CTR003,open,false,
PO00082,PO202500082,2025-10-23,PR00099,VEN013,ITM0004,10.00,7610.92,85986.84,2.04,8371.78,1507.94,IDR,1.0,Net 60,2025-11-12,2025-10-31,CIF,CTR008,closed,false,
PO00083,PO202500083,2025-02-14,PR00100,VEN007,ITM0018,1000.00,138.48,152159.74,1398.64,15078.89,0.00,IDR,1.0,Net 15,2025-03-02,2025-02-20,EXW,CTR023,open,false,
PO00084,PO202500084,2025-01-28,PR00102,VEN013,ITM0025,1000.00,34.78,38079.40,470.23,3773.63,0.00,IDR,1.0,Net 30,2025-02-19,2025-02-28,EXW,CTR013,closed,false,
PO00085,PO202400085,2024-08-12,PR00103,VEN006,ITM0018,1000.00,50.93,55176.17,1219.74,5467.91,0.00,IDR,1.0,Net 90,2024-08-30,2024-08-17,CIF,CTR004,closed,false,
PO00086,PO202500086,2025-04-11,PR00104,VEN004,ITM0026,50.00,111.42,5885.20,269.19,583.22,0.00,IDR,1.0,Net 30,2025-05-22,2025-06-04,CIF,CTR013,closed,false,
PO00087,PO202400087,2024-05-15,PR00105,VEN017,ITM0007,1.00,2225.83,2429.45,37.14,240.76,0.00,IDR,1.0,Net 60,2024-05-27,2024-05-24,EXW,,closed,false,
PO00088,PO202500088,2025-12-08,PR00106,VEN026,ITM0017,100.00,115.32,12163.86,573.59,1205.43,0.00,IDR,1.0,Net 45,2026-01-08,2026-01-08,DDP,CTR004,closed,false,
PO00089,PO202400089,2024-09-16,PR00109,VEN004,ITM0009,5.00,28259.22,153748.72,3318.80,15177.50,593.92,IDR,1.0,COD,2024-10-12,2024-10-09,FOB,CTR001,open,false,
PO00090,PO202500090,2025-06-27,PR00110,VEN014,ITM0015,500.00,8.73,4650.66,175.33,460.88,0.00,IDR,1.0,Net 15,2025-07-31,2025-07-03,EXW,,closed,false,
PO00091,PO202500091,2025-06-26,PR00112,VEN024,ITM0026,1000.00,145.14,159245.11,1680.56,15781.05,0.00,IDR,1.0,Net 45,2025-07-12,2025-07-01,EXW,CTR013,closed,false,
PO00092,PO202500092,2025-12-30,PR00113,VEN008,ITM0025,500.00,45.34,24436.70,653.43,2421.66,0.00,IDR,1.0,Net 60,2026-01-11,2026-01-10,DDP,CTR013,closed,false,
PO00093,PO202400093,2024-11-23,PR00115,VEN013,ITM0037,50.00,37469.59,2077297.02,18685.24,204027.35,18475.54,IDR,1.0,Net 60,2024-12-21,2025-01-08,FOB,CTR002,open,false,
PO00094,PO202500094,2025-01-05,PR00116,VEN007,ITM0031,1000.00,344.64,365471.43,15389.58,36217.89,0.00,IDR,1.0,Net 45,2025-01-15,2025-01-11,CIF,CTR016,open,false,
PO00095,PO202500095,2025-12-21,PR00118,VEN024,ITM0034,50.00,20865.09,1147960.40,19313.58,112633.51,11385.91,IDR,1.0,Net 60,2026-01-16,2025-12-24,DDP,CTR003,closed,false,
PO00096,PO202500096,2025-11-26,PR00120,VEN004,ITM0027,250.00,148.48,40431.27,695.34,4006.70,0.00,IDR,1.0,Net 45,2026-01-04,2025-12-12,DDP,CTR016,partial,false,
PO00097,PO202500097,2025-08-08,PR00121,VEN018,ITM0016,250.00,73.93,19711.07,724.77,1953.35,0.00,IDR,1.0,Net 15,2025-08-31,2025-08-13,FOB,CTR018,closed,false,
PO00098,PO202400098,2024-05-13,PR00122,VEN006,ITM0023,1000.00,39.44,41819.05,1764.11,4144.23,0.00,IDR,1.0,Net 30,2024-05-24,2024-05-18,FOB,CTR013,closed,false,
PO00099,PO202400099,2024-01-11,PR00123,VEN021,ITM0037,250.00,81448.31,22930080.63,84953.40,2230483.60,422473.43,IDR,1.0,Net 45,2024-02-04,2024-01-17,EXW,CTR002,closed,true,
PO00100,PO202400100,2024-01-11,PR00123,VEN021,ITM0037,250.00,81448.31,22410522.06,594214.54,2174464.87,468194.73,IDR,1.0,Net 60,2024-01-28,2024-01-26,EXW,CTR002,closed,true,PO00099
PO00101,PO202500101,2025-03-25,PR00124,VEN012,ITM0034,250.00,18971.47,5289054.76,50694.72,516139.01,80742.94,IDR,1.0,Net 60,2025-04-15,2025-04-06,CIF,CTR003,closed,false,
PO00102,PO202400102,2024-12-23,PR00125,VEN026,ITM0004,2.00,10740.86,22715.84,1038.48,2248.76,23.85,IDR,1.0,COD,2025-02-01,2024-12-24,DDP,,closed,false,
PO00103,PO202500103,2025-10-24,PR00126,VEN002,ITM0015,500.00,7.46,3976.13,147.63,394.03,0.00,IDR,1.0,Net 90,2025-11-17,2025-10-28,EXW,CTR004,closed,false,
PO00104,PO202400104,2024-09-18,PR00127,VEN023,ITM0019,50.00,6555.92,360269.11,10740.05,34876.13,8337.23,IDR,1.0,Net 30,2024-10-03,2024-09-29,CIF,CTR025,closed,false,
PO00105,PO202400105,2024-09-04,PR00129,VEN014,ITM0033,50.00,912.67,48386.46,2042.24,4795.05,0.00,IDR,1.0,COD,2024-09-28,2024-09-21,DDP,,closed,false,
PO00106,PO202500106,2025-12-23,PR00130,VEN004,ITM0001,20.00,10846.81,232921.18,10516.43,22706.17,3795.25,IDR,1.0,Net 90,2026-01-14,2025-12-24,EXW,CTR008,closed,false,
PO00107,PO202400107,2024-10-16,PR00131,VEN027,ITM0001,250.00,13457.04,3810578.16,15017.04,368416.68,92918.89,IDR,1.0,Net 90,2024-10-29,2024-11-21,DDP,CTR008,partial,false,
PO00108,PO202500108,2025-06-19,PR00133,VEN019,ITM0040,2.00,2770.90,5997.00,139.10,594.30,0.00,IDR,1.0,COD,2025-07-05,2025-07-30,CIF,CTR009,cancelled,false,
PO00109,PO202500109,2025-08-30,PR00135,VEN026,ITM0021,1.00,18641.22,20182.85,638.61,1980.29,199.96,IDR,1.0,Net 60,2025-10-03,2025-09-25,FOB,CTR025,partial,false,
PO00110,PO202500110,2025-09-30,PR00137,VEN019,ITM0019,1.00,8486.57,9166.52,256.21,905.34,30.82,IDR,1.0,Net 30,2025-10-22,2025-10-15,DDP,,closed,false,
PO00111,PO202400111,2024-06-05,PR00138,VEN006,ITM0002,2.00,40518.18,89266.27,1852.01,8710.28,1371.64,IDR,1.0,Net 30,2024-07-19,2024-07-16,DDP,CTR008,closed,false,
PO00112,PO202500112,2025-03-05,PR00139,VEN013,ITM0012,2.00,18168.32,39528.58,1121.85,3873.63,440.15,IDR,1.0,Net 30,2025-03-13,2025-03-21,DDP,CTR011,closed,false,
PO00113,PO202400113,2024-10-13,PR00140,VEN015,ITM0005,50.00,1288.86,69979.02,1398.61,6934.86,0.00,IDR,1.0,COD,2024-11-01,2024-10-13,CIF,CTR008,closed,false,
PO00114,PO202500114,2025-09-25,PR00141,VEN026,ITM0009,5.00,33807.43,188839.28,2124.64,18360.38,3566.38,IDR,1.0,Net 30,2025-10-12,2025-10-17,EXW,CTR001,closed,false,
PO00115,PO202500115,2025-01-11,PR00142,VEN023,ITM0013,200.00,661.76,143262.23,3286.26,14197.16,0.00,IDR,1.0,Net 45,2025-02-09,2025-01-20,CIF,CTR011,partial,false,
PO00116,PO202500116,2025-12-31,PR00143,VEN004,ITM0009,200.00,25627.96,5409804.65,253957.35,535879.74,2290.92,IDR,1.0,Net 15,2026-01-22,2026-01-27,EXW,,closed,false,
PO00117,PO202500117,2025-03-13,PR00144,VEN022,ITM0008,1000.00,294.36,316575.86,9152.59,31372.38,0.00,IDR,1.0,Net 60,2025-03-25,2025-03-15,EXW,CTR005,closed,false,
PO00118,PO202400118,2024-10-11,PR00145,VEN027,ITM0020,250.00,26667.92,7188425.82,251504.55,705702.42,67246.83,IDR,1.0,Net 60,2024-11-24,2024-10-12,DDP,CTR025,partial,false,
PO00119,PO202400119,2024-11-28,PR00147,VEN002,ITM0026,1000.00,129.84,139950.19,3762.68,13868.94,0.00,IDR,1.0,Net 30,2024-12-22,2025-01-11,CIF,CTR013,closed,false,
PO00120,PO202500120,2025-12-31,PR00148,VEN019,ITM0029,400.00,93.01,40623.45,606.03,4025.75,0.00,IDR,1.0,Net 60,2026-02-02,2026-01-27,EXW,CTR016,closed,false,
PO00121,PO202500121,2025-02-11,PR00149,VEN030,ITM0010,4.00,26400.37,113366.48,5268.53,11036.63,1996.90,IDR,1.0,Net 15,2025-03-16,2025-02-18,FOB,CTR001,closed,false,
PO00122,PO202400122,2024-11-18,PR00150,VEN023,ITM0008,200.00,304.55,65358.61,2027.99,6476.98,0.00,IDR,1.0,COD,2024-12-11,2024-12-24,DDP,CTR001,closed,false,
PO00123,PO202500123,2025-04-03,PR00151,VEN023,ITM0036,1.00,1299.52,1397.99,40.07,138.54,0.00,IDR,1.0,Net 15,2025-04-12,2025-04-08,DDP,CTR002,partial,false,
PO00124,PO202400124,2024-01-08,PR00152,VEN022,ITM0024,2000.00,460.07,1007136.96,12801.63,99806.37,0.00,IDR,1.0,COD,2024-02-04,2024-01-17,DDP,,closed,false,
PO00125,PO202400125,2024-05-08,PR00153,VEN025,ITM0033,1000.00,742.33,806177.83,16044.21,79891.50,0.00,IDR,1.0,Net 60,2024-05-20,2024-05-12,EXW,CTR003,closed,false,
PO00126,PO202400126,2024-03-10,PR00154,VEN011,ITM0034,50.00,18321.13,993839.71,39260.19,96447.57,20596.04,IDR,1.0,Net 30,2024-04-13,2024-03-23,EXW,CTR003,closed,false,
PO00127,PO202500127,2025-11-06,PR00155,VEN018,ITM0023,1000.00,40.82,44774.30,479.31,4437.09,0.00,IDR,1.0,Net 60,2025-11-30,2025-11-19,EXW,,open,false,
PO00128,PO202400128,2024-08-14,PR00156,VEN014,ITM0011,200.00,14532.89,3236714.93,7152.39,318936.88,18351.85,IDR,1.0,COD,2024-09-02,2024-10-01,CIF,CTR011,partial,false,
PO00129,PO202500129,2025-06-27,PR00157,VEN002,ITM0032,2.00,10218.16,22543.39,515.52,2191.29,431.30,IDR,1.0,Net 15,2025-07-30,2025-07-06,DDP,,closed,false,
PO00130,PO202400130,2024-11-24,PR00158,VEN014,ITM0015,1000.00,8.30,8998.33,197.98,891.73,0.00,IDR,1.0,Net 30,2024-12-20,2024-12-19,CIF,CTR004,closed,false,
PO00131,PO202500131,2025-03-27,PR00159,VEN027,ITM0022,500.00,48.99,26159.04,926.95,2592.34,0.00,IDR,1.0,Net 45,2025-05-06,2025-04-06,FOB,CTR013,partial,false,
PO00132,PO202500132,2025-05-18,PR00161,VEN030,ITM0022,500.00,62.43,34376.78,244.18,3406.71,0.00,IDR,1.0,Net 60,2025-06-29,2025-06-09,EXW,CTR013,partial,false,
PO00133,PO202500133,2025-09-28,PR00162,VEN009,ITM0014,5.00,15801.43,85341.28,2429.17,8423.58,339.73,IDR,1.0,Net 90,2025-10-05,2025-09-28,DDP,,partial,false,
PO00134,PO202400134,2024-08-07,PR00163,VEN023,ITM0018,200.00,91.85,20023.27,331.58,1984.29,0.00,IDR,1.0,Net 45,2024-08-14,2024-08-12,EXW,,closed,false,
