budget_id,cost_center_id,category_id,period,budget_amount,committed_amount,actual_amount,currency
BUD00113,CC005,CAT004,2024-03,522826000.00,192886817.36,131369297.03,IDR
BUD00114,CC005,CAT002,2024-03,242235000.00,135038126.91,116757705.91,IDR
BUD00115,CC005,CAT006,2024-03,702318000.00,472684091.77,443725035.81,IDR
BUD00116,CC005,CAT007,2024-03,523229000.00,348154980.40,322945182.09,IDR
BUD00117,CC006,CAT005,2024-03,647294000.00,314190561.10,226495585.28,IDR
BUD00118,CC006,CAT001,2024-03,55190000.00,45361633.66,39378829.36,IDR
BUD00119,CC006,CAT003,2024-03,390667000.00,150455547.31,137149530.76,IDR
BUD00120,CC006,CAT008,2024-03,76059000.00,56866808.70,36385452.57,IDR
BUD00121,CC007,CAT007,2024-03,364545000.00,267196021.24,268516812.04,IDR
BUD00122,CC007,CAT008,2024-03,532455000.00,186877980.43,99829420.52,IDR
BUD00123,CC007,CAT006,2024-03,183798000.00,123273853.30,115640694.62,IDR
BUD00124,CC007,CAT002,2024-03,281287000.00,196102949.45,159957275.02,IDR
BUD00125,CC008,CAT008,2024-03,691702000.00,254747278.80,198561202.75,IDR
BUD00126,CC008,CAT007,2024-03,290759000.00,205593290.97,167828124.50,IDR
BUD00127,CC008,CAT005,2024-03,617063000.00,201934124.41,152848221.28,IDR
BUD00128,CC008,CAT002,2024-03,559426000.00,170408013.43,118590785.26,IDR
BUD00129,CC009,CAT004,2024-03,328904000.00,100196638.31,98749716.72,IDR
BUD00130,CC009,CAT003,2024-03,199341000.00,105276859.46,100790625.19,IDR
BUD00131,CC009,CAT005,2024-03,475223000.00,380184350.48,389320226.53,IDR
BUD00132,CC009,CAT009,2024-03,111264000.00,90909209.99,47954287.36,IDR
BUD00133,CC010,CAT001,2024-03,316102000.00,176249172.88,134456065.72,IDR
BUD00134,CC010,CAT008,2024-03,594120000.00,281440064.37,214815039.25,IDR
BUD00135,CC010,CAT002,2024-03,871270000.00,351229767.63,391954613.69,IDR
BUD00136,CC010,CAT007,2024-03,441082000.00,314829345.68,231463872.75,IDR
BUD00137,CC011,CAT007,2024-03,550541000.00,338240017.43,256131696.10,IDR
BUD00138,CC011,CAT002,2024-03,313733000.00,158029812.14,113227507.77,IDR
BUD00139,CC011,CAT004,2024-03,192913000.00,116961217.12,67149460.04,IDR
BUD00140,CC011,CAT008,2024-03,483459000.00,407823598.73,296526060.11,IDR
BUD00141,CC012,CAT003,2024-03,267573000.00,108126092.36,64807034.58,IDR
BUD00142,CC012,CAT004,2024-03,695280000.00,240018974.43,268422793.80,IDR
BUD00143,CC012,CAT002,2024-03,583756000.00,337628032.48,292530402.58,IDR
BUD00144,CC012,CAT008,2024-03,542548000.00,384492963.84,412688333.40,IDR
BUD00145,CC001,CAT010,2024-04,423798000.00,246376090.41,224300873.53,IDR
BUD00146,CC001,CAT006,2024-04,726880000.00,475998715.71,346889987.73,IDR
BUD00147,CC001,CAT009,2024-04,113062000.00,65241917.40,34215778.43,IDR
BUD00148,CC001,CAT002,2024-04,363427000.00,171627026.84,157730936.58,IDR
BUD00149,CC002,CAT002,2024-04,543280000.00,474032926.00,464693851.43,IDR
BUD00150,CC002,CAT009,2024-04,84869000.00,71750796.46,62536332.89,IDR
BUD00151,CC002,CAT007,2024-04,210004000.00,139233387.11,114991287.51,IDR
BUD00152,CC002,CAT004,2024-04,864064000.00,492787679.80,506156234.58,IDR
BUD00153,CC003,CAT006,2024-04,260582000.00,146617755.98,115186452.07,IDR
BUD00154,CC003,CAT002,2024-04,494336000.00,195385179.28,145044928.03,IDR
BUD00155,CC003,CAT003,2024-04,290460000.00,158376695.47,114021503.61,IDR
BUD00156,CC003,CAT001,2024-04,558203000.00,431790204.53,397570175.37,IDR
BUD00157,CC004,CAT002,2024-04,626622000.00,294818247.04,286099550.39,IDR
BUD00158,CC004,CAT006,2024-04,608079000.00,513100476.57,547802375.29,IDR
BUD00159,CC004,CAT010,2024-04,333358000.00,216563927.46,128190349.34,IDR
BUD00160,CC004,CAT005,2024-04,347348000.00,305880867.93,291814011.18,IDR
BUD00161,CC005,CAT007,2024-04,525084000.00,360258010.02,257047606.36,IDR
BUD00162,CC005,CAT003,2024-04,158625000.00,114479428.26,127715609.11,IDR
BUD00163,CC005,CAT002,2024-04,897589000.00,760678664.89,426546322.30,IDR
BUD00164,CC005,CAT009,2024-04,619888000.00,375089946.52,191989732.70,IDR
BUD00165,CC006,CAT005,2024-04,855518000.00,506263515.41,327680569.14,IDR
BUD00166,CC006,CAT003,2024-04,166931000.00,57808046.81,60633614.69,IDR
BUD00167,CC006,CAT004,2024-04,135970000.00,103680501.44,108120918.27,IDR
BUD00168,CC006,CAT009,2024-04,801130000.00,258483389.13,185822892.10,IDR
BUD00169,CC007,CAT010,2024-04,187910000.00,150103829.76,150285992.61,IDR
BUD00170,CC007,CAT003,2024-04,737687000.00,294575754.34,231091059.92,IDR
BUD00171,CC007,CAT007,2024-04,399230000.00,281783621.66,184397689.10,IDR
BUD00172,CC007,CAT002,2024-04,427569000.00,201366510.72,198657876.78,IDR
BUD00173,CC008,CAT008,2024-04,870757000.00,671024626.03,729795190.44,IDR
BUD00174,CC008,CAT004,2024-04,214914000.00,151940779.80,132305868.74,IDR
BUD00175,CC008,CAT009,2024-04,424508000.00,323332092.49,325201153.82,IDR
BUD00176,CC008,CAT003,2024-04,477471000.00,263180342.16,159313012.64,IDR
BUD00177,CC009,CAT004,2024-04,595002000.00,490561398.32,422104283.44,IDR
BUD00178,CC009,CAT003,2024-04,137201000.00,110794659.76,116695354.13,IDR
BUD00179,CC009,CAT005,2024-04,292304000.00,221528461.18,150044404.52,IDR
BUD00180,CC009,CAT001,2024-04,819510000.00,318305218.24,249664978.31,IDR
BUD00181,CC010,CAT004,2024-04,402662000.00,216580767.99,160935747.02,IDR
BUD00182,CC010,CAT008,2024-04,378241000.00,131992213.31,85260395.67,IDR
BUD00183,CC010,CAT006,2024-04,320882000.00,115340994.67,111253053.43,IDR
BUD00184,CC010,CAT001,2024-04,334997000.00,129854747.78,68160377.19,IDR
BUD00185,CC011,CAT008,2024-04,573046000.00,483372606.42,247657175.51,IDR
BUD00186,CC011,CAT003,2024-04,233307000.00,90922484.25,101028233.52,IDR
BUD00187,CC011,CAT010,2024-04,567548000.00,314394835.16,315813451.06,IDR
BUD00188,CC011,CAT004,2024-04,251994000.00,94021231.13,61582559.75,IDR
BUD00189,CC012,CAT010,2024-04,761185000.00,456633003.92,387423404.32,IDR
BUD00190,CC012,CAT008,2024-04,587162000.00,378736209.16,366258295.21,IDR
BUD00191,CC012,CAT002,2024-04,297581000.00,89553609.99,65314172.50,IDR
BUD00192,CC012,CAT001,2024-04,535064000.00,220654158.54,206165937.40,IDR
BUD00193,CC001,CAT009,2024-05,512470000.00,395548637.85,328287444.23,IDR
BUD00194,CC001,CAT006,2024-05,67284000.00,55441939.51,29289831.18,IDR
BUD00195,CC001,CAT002,2024-05,378849000.00,198509841.63,195682224.67,IDR
BUD00196,CC001,CAT005,2024-05,353530000.00,120389598.27,79063683.69,IDR
BUD00197,CC002,CAT002,2024-05,349454000.00,175820216.14,161370809.78,IDR
BUD00198,CC002,CAT006,2024-05,755826000.00,537248331.26,611137421.67,IDR
BUD00199,CC002,CAT003,2024-05,456751000.00,186978694.83,109878811.17,IDR
BUD00200,CC002,CAT001,2024-05,658638000.00,570487925.55,298958186.51,IDR
BUD00201,CC003,CAT004,2024-05,318256000.00,154686906.12,117383483.69,IDR
BUD00202,CC003,CAT001,2024-05,743095000.00,433997100.22,227329200.73,IDR
BUD00203,CC003,CAT010,2024-05,599865000.00,282936247.42,300022780.07,IDR
BUD00204,CC003,CAT009,2024-05,90633000.00,62848440.62,42585524.78,IDR
BUD00205,CC004,CAT006,2024-05,423776000.00,370332435.07,266777786.65,IDR
BUD00206,CC004,CAT007,2024-05,208795000.00,149338764.36,110327820.69,IDR
BUD00207,CC004,CAT009,2024-05,727697000.00,334764210.10,185358099.30,IDR
BUD00208,CC004,CAT010,2024-05,410825000.00,229390009.93,263067630.61,IDR
BUD00209,CC005,CAT003,2024-05,137208000.00,68158340.62,47176883.75,IDR
BUD00210,CC005,CAT009,2024-05,429028000.00,313446890.11,190675730.67,IDR
BUD00211,CC005,CAT005,2024-05,427322000.00,242837604.26,236142415.42,IDR
BUD00212,CC005,CAT010,2024-05,824866000.00,551761849.63,431870249.88,IDR
BUD00213,CC006,CAT001,2024-05,486123000.00,364562494.68,220192601.45,IDR
BUD00214,CC006,CAT002,2024-05,76470000.00,61879645.28,58213756.90,IDR
BUD00215,CC006,CAT007,2024-05,422447000.00,158729397.05,103713311.41,IDR
BUD00216,CC006,CAT003,2024-05,598388000.00,309540337.67,345804109.61,IDR
BUD00217,CC007,CAT001,2024-05,366211000.00,277533256.50,242300175.33,IDR
BUD00218,CC007,CAT003,2024-05,500041000.00,269432305.42,248474373.13,IDR
BUD00219,CC007,CAT008,2024-05,262170000.00,96496693.66,94391971.33,IDR
BUD00220,CC007,CAT009,2024-05,474187000.00,252358730.87,218312323.53,IDR
BUD00221,CC008,CAT005,2024-05,896910000.00,422755054.43,463217486.55,IDR
BUD00222,CC008,CAT010,2024-05,467520000.00,174657268.49,184147635.99,IDR
BUD00223,CC008,CAT008,2024-05,434236000.00,364414072.57,287640144.90,IDR
BUD00224,CC008,CAT002,2024-05,124622000.00,88376632.96,92759123.46,IDR
BUD00225,CC009,CAT006,2024-05,510846000.00,426453734.76,449220109.40,IDR
BUD00226,CC009,CAT010,2024-05,655038000.00,560971054.49,513010842.41,IDR
BUD00227,CC009,CAT002,2024-05,724642000.00,438592068.42,253894630.84,IDR
BUD00228,CC009,CAT005,2024-05,220833000.00,84651057.77,85814374.04,IDR
BUD00229,CC010,CAT001,2024-05,733112000.00,462584992.21,415293279.67,IDR
BUD00230,CC010,CAT006,2024-05,123283000.00,59863072.52,68826776.15,IDR
BUD00231,CC010,CAT009,2024-05,661039000.00,406814897.98,406797387.75,IDR
BUD00232,CC010,CAT004,2024-05,749838000.00,258132052.24,292217570.29,IDR
BUD00233,CC011,CAT002,2024-05,489756000.00,184638387.37,191818036.90,IDR
BUD00234,CC011,CAT008,2024-05,518608000.00,338480710.15,338161883.08,IDR
BUD00235,CC011,CAT009,2024-05,159678000.00,96081170.22,102262798.06,IDR
BUD00236,CC011,CAT006,2024-05,756682000.00,462227734.89,322487486.50,IDR
BUD00237,CC012,CAT003,2024-05,855361000.00,522915261.28,358004208.28,IDR
BUD00238,CC012,CAT006,2024-05,117031000.00,48893345.96,54840173.11,IDR
BUD00239,CC012,CAT004,2024-05,283283000.00,191219825.77,171978977.30,IDR
BUD00240,CC012,CAT010,2024-05,129414000.00,88595848.15,78378575.33,IDR
BUD00241,CC001,CAT010,2024-06,580807000.00,488575159.84,351506733.19,IDR
BUD00242,CC001,CAT003,2024-06,835340000.00,271248749.70,287919094.21,IDR
BUD00243,CC001,CAT009,2024-06,119039000.00,103460141.37,103580624.81,IDR
BUD00244,CC001,CAT006,2024-06,274958000.00,117265470.28,102242494.91,IDR
BUD00245,CC002,CAT010,2024-06,513741000.00,351986755.63,245109910.18,IDR
BUD00246,CC002,CAT001,2024-06,258146000.00,202492197.67,154695968.17,IDR
BUD00247,CC002,CAT008,2024-06,435513000.00,310593997.46,187211243.41,IDR
BUD00248,CC002,CAT006,2024-06,403278000.00,233362982.70,168283920.44,IDR
BUD00249,CC003,CAT003,2024-06,889820000.00,451336579.39,342639292.96,IDR
BUD00250,CC003,CAT006,2024-06,696565000.00,424199782.26,241377972.11,IDR
BUD00251,CC003,CAT009,2024-06,255477000.00,95424017.86,75598476.55,IDR
BUD00252,CC003,CAT008,2024-06,169746000.00,56077827.52,62498748.88,IDR
BUD00253,CC004,CAT010,2024-06,816964000.00,643838469.20,712689588.00,IDR
BUD00254,CC004,CAT007,2024-06,662959000.00,274399035.55,165619730.47,IDR
BUD00255,CC004,CAT004,2024-06,896574000.00,520092778.42,557226977.02,IDR
BUD00256,CC004,CAT009,2024-06,472765000.00,167372736.25,126468081.36,IDR
BUD00257,CC005,CAT008,2024-06,349961000.00,115600602.33,94986845.37,IDR
BUD00258,CC005,CAT004,2024-06,799989000.00,554037199.59,446488304.36,IDR
BUD00259,CC005,CAT009,2024-06,506187000.00,409152682.87,319181255.86,IDR
BUD00260,CC005,CAT005,2024-06,800087000.00,589267946.33,587209572.53,IDR
BUD00261,CC006,CAT006,2024-06,534739000.00,222875568.89,191582702.86,IDR
BUD00262,CC006,CAT001,2024-06,112502000.00,67788453.32,67575778.88,IDR
BUD00263,CC006,CAT007,2024-06,287763000.00,257103124.37,242257762.71,IDR
BUD00264,CC006,CAT009,2024-06,150989000.00,133632767.53,101031371.89,IDR
BUD00265,CC007,CAT006,2024-06,172627000.00,114188923.12,86886534.85,IDR
BUD00266,CC007,CAT009,2024-06,84217000.00,27231430.50,26246597.65,IDR
BUD00267,CC007,CAT010,2024-06,733371000.00,448529429.47,267687491.08,IDR
BUD00268,CC007,CAT007,2024-06,809162000.00,310611877.21,343347162.96,IDR
BUD00269,CC008,CAT006,2024-06,678421000.00,325330417.14,233796343.64,IDR
BUD00270,CC008,CAT003,2024-06,754046000.00,467059031.62,448694678.79,IDR
BUD00271,CC008,CAT007,2024-06,304822000.00,240641514.51,177938175.06,IDR
BUD00272,CC008,CAT005,2024-06,622735000.00,552950580.27,486268274.86,IDR
BUD00273,CC009,CAT001,2024-06,715468000.00,547831855.10,479606167.27,IDR
BUD00274,CC009,CAT008,2024-06,663190000.00,431149081.26,263360017.83,IDR
BUD00275,CC009,CAT005,2024-06,584671000.00,392806231.88,411173313.62,IDR
BUD00276,CC009,CAT006,2024-06,175609000.00,124407761.59,64756831.78,IDR
BUD00277,CC010,CAT002,2024-06,316639000.00,123761125.28,117427670.69,IDR
BUD00278,CC010,CAT004,2024-06,398821000.00,305091437.03,335093707.14,IDR
BUD00279,CC010,CAT001,2024-06,791895000.00,587192013.56,317367204.71,IDR
BUD00280,CC010,CAT009,2024-06,167370000.00,71032668.70,50524272.68,IDR
BUD00281,CC011,CAT008,2024-06,863183000.00,497019147.94,420742907.56,IDR
BUD00282,CC011,CAT009,2024-06,514332000.00,362872102.03,386086976.21,IDR
BUD00283,CC011,CAT007,2024-06,628634000.00,491712182.77,330349660.41,IDR
BUD00284,CC011,CAT003,2024-06,461553000.00,403583068.34,274983001.45,IDR
BUD00285,CC012,CAT005,2024-06,295654000.00,125465705.50,120226554.84,IDR
BUD00286,CC012,CAT004,2024-06,319485000.00,162707929.27,180102260.08,IDR
BUD00287,CC012,CAT010,2024-06,726095000.00,336962190.09,195174622.67,IDR
BUD00288,CC012,CAT007,2024-06,625129000.00,329953407.85,375191455.11,IDR
BUD00289,CC001,CAT006,2024-07,294486000.00,214528566.71,155562447.71,IDR
BUD00290,CC001,CAT003,2024-07,426020000.00,193356157.46,156889480.25,IDR
BUD00291,CC001,CAT005,2024-07,221758000.00,138187777.92,152900016.67,IDR
BUD00292,CC001,CAT001,2024-07,641746000.00,245380421.79,220889019.65,IDR
BUD00293,CC002,CAT010,2024-07,619359000.00,383150895.62,350454320.34,IDR
BUD00294,CC002,CAT004,2024-07,94617000.00,51848301.21,50100118.38,IDR
BUD00295,CC002,CAT009,2024-07,135463000.00,103285069.52,51990392.69,IDR
BUD00296,CC002,CAT001,2024-07,517800000.00,443992688.64,339427901.05,IDR
BUD00297,CC003,CAT008,2024-07,869327000.00,428317952.99,393981264.61,IDR
BUD00298,CC003,CAT010,2024-07,821746000.00,290632193.54,253776160.05,IDR
BUD00299,CC003,CAT004,2024-07,504879000.00,370515858.16,410840987.47,IDR
BUD00300,CC003,CAT007,2024-07,826245000.00,334661337.25,359245302.25,IDR
BUD00301,CC004,CAT003,2024-07,471076000.00,406051140.63,456964024.13,IDR
BUD00302,CC004,CAT001,2024-07,837134000.00,691511109.08,349920982.01,IDR
BUD00303,CC004,CAT007,2024-07,532768000.00,194130224.65,221103848.18,IDR
BUD00304,CC004,CAT008,2024-07,291877000.00,260780331.62,222483517.99,IDR
BUD00305,CC005,CAT008,2024-07,213890000.00,78623409.43,47616009.12,IDR
BUD00306,CC005,CAT003,2024-07,440077000.00,199952914.02,124176637.21,IDR
BUD00307,CC005,CAT010,2024-07,676125000.00,523632172.27,455066620.80,IDR
BUD00308,CC005,CAT009,2024-07,693690000.00,281150440.07,297034098.22,IDR
BUD00309,CC006,CAT007,2024-07,390708000.00,139573034.35,158847424.88,IDR
BUD00310,CC006,CAT010,2024-07,455836000.00,392700540.67,198093695.15,IDR
BUD00311,CC006,CAT006,2024-07,376038000.00,213605119.29,143872940.43,IDR
BUD00312,CC006,CAT001,2024-07,330182000.00,214445433.52,187075822.01,IDR
BUD00313,CC007,CAT005,2024-07,617618000.00,357747194.11,216013457.00,IDR
BUD00314,CC007,CAT006,2024-07,633163000.00,540634843.87,582302068.18,IDR
BUD00315,CC007,CAT004,2024-07,704365000.00,503039329.01,460362660.21,IDR
BUD00316,CC007,CAT001,2024-07,849540000.00,442207948.46,284583812.29,IDR
BUD00317,CC008,CAT003,2024-07,685575000.00,454840187.60,350363237.33,IDR
BUD00318,CC008,CAT008,2024-07,516849000.00,301062912.42,255718772.56,IDR
BUD00319,CC008,CAT010,2024-07,614480000.00,264869744.33,175039840.41,IDR
BUD00320,CC008,CAT004,2024-07,691529000.00,569737628.32,315187800.41,IDR
BUD00321,CC009,CAT008,2024-07,829658000.00,304754352.94,316549301.83,IDR
BUD00322,CC009,CAT009,2024-07,817455000.00,344388941.85,292327356.55,IDR
BUD00323,CC009,CAT006,2024-07,189857000.00,154295189.94,121460611.77,IDR
BUD00324,CC009,CAT001,2024-07,628251000.00,458717957.50,375111186.99,IDR
BUD00325,CC010,CAT009,2024-07,162153000.00,89063304.55,77177118.13,IDR
BUD00326,CC010,CAT008,2024-07,524978000.00,369406348.82,258699040.16,IDR
BUD00327,CC010,CAT001,2024-07,68505000.00,31010455.08,15566009.78,IDR
BUD00328,CC010,CAT004,2024-07,235216000.00,80871427.78,62707971.99,IDR
BUD00329,CC011,CAT002,2024-07,888217000.00,518046099.48,355695093.33,IDR
BUD00330,CC011,CAT009,2024-07,202984000.00,77389135.82,70965160.40,IDR
BUD00331,CC011,CAT001,2024-07,669896000.00,588349251.88,437378597.57,IDR
