pr_id,pr_number,pr_date,requester_id,cost_center_id,department_id,item_id,description,quantity,estimated_unit_price,estimated_total,priority,currency,required_date,status,budget_id,attachment_url
PR00019,PR202400019,2024-05-01,EMP035,CC009,DEP03,ITM0026,Request ITM0026,200,148.11,29622.44,IDR,2024-05-31,high,approved,BUD00971,https://docs.internal/pr/PR202400019.pdf
PR00020,PR202500020,2025-06-21,EMP026,CC003,DEP03,ITM0006,Request ITM0006,10,7487.72,74877.25,IDR,2025-07-23,high,approved,BUD00791,https://docs.internal/pr/PR202500020.pdf
PR00021,PR202400021,2024-06-21,EMP036,CC012,DEP06,ITM0019,Request ITM0019,4,9879.51,39518.04,IDR,2024-07-14,low,approved,BUD00316,https://docs.internal/pr/PR202400021.pdf
PR00022,PR202500022,2025-06-01,EMP023,CC003,DEP03,ITM0002,Request ITM0002,5,41219.54,206097.70,IDR,2025-06-24,urgent,approved,BUD00730,https://docs.internal/pr/PR202500022.pdf
PR00023,PR202400023,2024-06-29,EMP030,CC002,DEP02,ITM0010,Request ITM0010,50,25054.09,1252704.69,IDR,2024-07-24,low,approved,BUD00983,https://docs.internal/pr/PR202400023.pdf
PR00024,PR202400024,2024-05-17,EMP007,CC002,DEP02,ITM0033,Request ITM0033,100,728.39,72839.01,IDR,2024-05-31,normal,pending,BUD00379,https://docs.internal/pr/PR202400024.pdf
PR00025,PR202500025,2025-12-03,EMP011,CC009,DEP03,ITM0006,Request ITM0006,200,7966.44,1593287.78,IDR,2026-01-10,normal,approved,BUD01035,https://docs.internal/pr/PR202500025.pdf
PR00026,PR202400026,2024-12-12,EMP021,CC008,DEP02,ITM0008,Request ITM0008,1000,422.13,422134.04,IDR,2024-12-31,urgent,approved,BUD00639,https://docs.internal/pr/PR202400026.pdf
PR00027,PR202500027,2024-12-27,EMP023,CC008,DEP02,ITM0026,Request ITM0026,2000,101.27,202532.13,IDR,2025-01-28,urgent,approved,BUD01048,https://docs.internal/pr/PR202500027.pdf
PR00028,PR202500028,2025-05-31,EMP008,CC007,DEP01,ITM0035,Request ITM0035,1,182966.09,182966.09,IDR,2025-07-03,urgent,approved,BUD00942,https://docs.internal/pr/PR202500028.pdf
PR00029,PR202400029,2024-12-11,EMP025,CC002,DEP02,ITM0038,Request ITM0038,50,2558.10,127904.98,IDR,2025-01-09,urgent,approved,BUD00720,https://docs.internal/pr/PR202400029.pdf
PR00030,PR202400030,2024-03-31,EMP024,CC007,DEP01,ITM0014,Request ITM0014,20,14227.99,284559.84,IDR,2024-05-07,low,approved,BUD01098,https://docs.internal/pr/PR202400030.pdf
PR00031,PR202500031,2025-02-27,EMP014,CC011,DEP05,ITM0033,Request ITM0033,1000,806.28,806279.51,IDR,2025-04-14,urgent,draft,BUD00549,https://docs.internal/pr/PR202500031.pdf
PR00032,PR202500032,2025-10-31,EMP030,CC003,DEP03,ITM0040,Request ITM0040,10,3375.12,33751.18,IDR,2025-12-12,high,approved,BUD00892,https://docs.internal/pr/PR202500032.pdf
PR00033,PR202500033,2025-04-26,EMP024,CC011,DEP05,ITM0004,Request ITM0004,2,11344.71,22689.43,IDR,2025-05-19,urgent,approved,BUD00288,https://docs.internal/pr/PR202500033.pdf
PR00034,PR202500034,2025-04-05,EMP028,CC008,DEP02,ITM0038,Request ITM0038,200,2717.97,543594.52,IDR,2025-05-08,normal,approved,BUD00744,https://docs.internal/pr/PR202500034.pdf
PR00035,PR202400035,2024-09-17,EMP006,CC008,DEP02,ITM0011,Request ITM0011,10,13630.48,136304.83,IDR,2024-10-16,high,approved,BUD00866,https://docs.internal/pr/PR202400035.pdf
PR00036,PR202500036,2025-04-25,EMP006,CC007,DEP01,ITM0009,Request ITM0009,4,34341.24,137364.95,IDR,2025-05-21,urgent,approved,BUD00460,https://docs.internal/pr/PR202500036.pdf
PR00037,PR202400037,2024-07-02,EMP013,CC007,DEP01,ITM0018,Request ITM0018,100,103.38,10337.96,IDR,2024-08-13,normal,approved,BUD00059,https://docs.internal/pr/PR202400037.pdf
PR00038,PR202500038,2025-12-27,EMP022,CC004,DEP04,ITM0025,Request ITM0025,1000,33.56,33563.18,IDR,2026-01-16,low,approved,BUD00011,https://docs.internal/pr/PR202500038.pdf
PR00039,PR202400039,2024-02-03,EMP017,CC010,DEP04,ITM0032,Request ITM0032,25,13405.28,335131.90,IDR,2024-02-28,high,rejected,BUD00893,https://docs.internal/pr/PR202400039.pdf
PR00040,PR202400040,2024-07-13,EMP013,CC003,DEP03,ITM0032,Request ITM0032,500,11609.75,5804874.26,IDR,2024-07-27,low,approved,BUD00964,https://docs.internal/pr/PR202400040.pdf
PR00041,PR202400041,2024-08-15,EMP020,CC011,DEP05,ITM0026,Request ITM0026,1000,109.83,109828.99,IDR,2024-09-16,low,approved,BUD00753,https://docs.internal/pr/PR202400041.pdf
PR00042,PR202500042,2025-05-12,EMP037,CC001,DEP01,ITM0031,Request ITM0031,500,246.93,123464.81,IDR,2025-05-30,low,approved,BUD01046,https://docs.internal/pr/PR202500042.pdf
PR00043,PR202500043,2025-04-01,EMP020,CC010,DEP04,ITM0001,Request ITM0001,25,10693.89,267347.25,IDR,2025-05-13,high,approved,BUD00809,https://docs.internal/pr/PR202500043.pdf
PR00044,PR202500044,2025-01-02,EMP032,CC007,DEP01,ITM0028,Request ITM0028,2000,810.97,1621948.36,IDR,2025-01-29,urgent,approved,BUD00475,https://docs.internal/pr/PR202500044.pdf
PR00045,PR202400045,2024-10-18,EMP019,CC012,DEP06,ITM0025,Request ITM0025,500,49.45,24726.67,IDR,2024-11-22,urgent,approved,BUD00265,https://docs.internal/pr/PR202400045.pdf
PR00046,PR202400046,2024-08-28,EMP039,CC011,DEP05,ITM0022,Request ITM0022,200,59.13,11826.30,IDR,2024-09-22,urgent,approved,BUD00937,https://docs.internal/pr/PR202400046.pdf
PR00047,PR202400047,2024-11-12,EMP034,CC007,DEP01,ITM0006,Request ITM0006,5,7464.41,37322.05,IDR,2024-11-28,urgent,approved,BUD00847,https://docs.internal/pr/PR202400047.pdf
PR00048,PR202400048,2024-05-15,EMP013,CC005,DEP05,ITM0029,Request ITM0029,1000,106.81,106808.39,IDR,2024-06-21,high,approved,BUD00799,https://docs.internal/pr/PR202400048.pdf
PR00049,PR202500049,2025-10-14,EMP020,CC005,DEP05,ITM0029,Request ITM0029,1000,186.52,186516.00,IDR,2025-11-24,normal,approved,BUD00774,https://docs.internal/pr/PR202500049.pdf
PR00050,PR202500050,2025-11-18,EMP030,CC003,DEP03,ITM0032,Request ITM0032,1,13405.10,13405.10,IDR,2025-12-27,low,draft,BUD00436,https://docs.internal/pr/PR202500050.pdf
PR00051,PR202500051,2025-05-05,EMP024,CC010,DEP04,ITM0011,Request ITM0011,50,12858.61,642930.28,IDR,2025-06-01,normal,approved,BUD00242,https://docs.internal/pr/PR202500051.pdf
PR00052,PR202400052,2024-06-04,EMP025,CC004,DEP04,ITM0030,Request ITM0030,200,231.73,46346.06,IDR,2024-07-05,low,pending,BUD00908,https://docs.internal/pr/PR202400052.pdf
PR00053,PR202400053,2024-09-21,EMP006,CC004,DEP04,ITM0011,Request ITM0011,20,14127.80,282556.01,IDR,2024-11-02,low,pending,BUD01069,https://docs.internal/pr/PR202400053.pdf
PR00054,PR202400054,2024-07-03,EMP016,CC012,DEP06,ITM0033,Request ITM0033,100,723.23,72322.52,IDR,2024-08-04,urgent,rejected,BUD00174,https://docs.internal/pr/PR202400054.pdf
PR00055,PR202500055,2025-06-14,EMP002,CC009,DEP03,ITM0026,Request ITM0026,500,118.05,59025.62,IDR,2025-07-13,low,approved,BUD00235,https://docs.internal/pr/PR202500055.pdf
PR00056,PR202400056,2024-10-21,EMP036,CC010,DEP04,ITM0030,Request ITM0030,100,267.99,26799.23,IDR,2024-11-13,normal,approved,BUD00624,https://docs.internal/pr/PR202400056.pdf
PR00057,PR202400057,2024-02-26,EMP018,CC007,DEP01,ITM0035,Request ITM0035,20,162072.20,3241444.01,IDR,2024-04-07,high,approved,BUD00702,https://docs.internal/pr/PR202400057.pdf
PR00058,PR202400058,2024-12-10,EMP024,CC004,DEP04,ITM0025,Request ITM0025,50,41.33,2066.55,IDR,2025-01-08,low,approved,BUD00576,https://docs.internal/pr/PR202400058.pdf
PR00059,PR202400059,2024-06-06,EMP035,CC010,DEP04,ITM0037,Request ITM0037,20,46796.34,935926.83,IDR,2024-07-01,urgent,approved,BUD00005,https://docs.internal/pr/PR202400059.pdf
PR00060,PR202400060,2024-07-06,EMP016,CC002,DEP02,ITM0005,Request ITM0005,100,3073.47,307346.70,IDR,2024-08-01,low,approved,BUD00684,https://docs.internal/pr/PR202400060.pdf
PR00061,PR202500061,2025-02-08,EMP022,CC010,DEP04,ITM0028,Request ITM0028,250,678.42,169604.23,IDR,2025-03-07,low,approved,BUD00139,https://docs.internal/pr/PR202500061.pdf
PR00062,PR202500062,2025-08-07,EMP023,CC004,DEP04,ITM0010,Request ITM0010,10,21475.82,214758.19,IDR,2025-09-17,normal,draft,BUD00141,https://docs.internal/pr/PR202500062.pdf
PR00063,PR202500063,2025-01-02,EMP027,CC006,DEP06,ITM0031,Request ITM0031,2000,274.79,549573.91,IDR,2025-02-02,low,approved,BUD01016,https://docs.internal/pr/PR202500063.pdf
PR00064,PR202400064,2024-08-11,EMP002,CC003,DEP03,ITM0015,Request ITM0015,100,6.81,681.20,IDR,2024-08-28,low,rejected,BUD00282,https://docs.internal/pr/PR202400064.pdf
PR00065,PR202500065,2025-01-04,EMP040,CC007,DEP01,ITM0008,Request ITM0008,200,409.74,81947.11,IDR,2025-01-30,low,rejected,BUD00296,https://docs.internal/pr/PR202500065.pdf
PR00066,PR202400066,2024-05-04,EMP035,CC005,DEP05,ITM0013,Request ITM0013,100,653.18,65318.14,IDR,2024-05-28,normal,approved,BUD00110,https://docs.internal/pr/PR202400066.pdf
PR00067,PR202500067,2025-01-30,EMP014,CC005,DEP05,ITM0038,Request ITM0038,2,2959.11,5918.22,IDR,2025-03-03,normal,approved,BUD00767,https://docs.internal/pr/PR202500067.pdf
PR00068,PR202500068,2025-07-05,EMP035,CC004,DEP04,ITM0006,Request ITM0006,2,7362.60,14725.19,IDR,2025-08-04,high,approved,BUD00513,https://docs.internal/pr/PR202500068.pdf
PR00069,PR202400069,2024-09-13,EMP013,CC007,DEP01,ITM0036,Request ITM0036,2,1424.58,2849.15,IDR,2024-10-23,urgent,approved,BUD00430,https://docs.internal/pr/PR202400069.pdf
PR00070,PR202400070,2024-03-28,EMP007,CC011,DEP05,ITM0013,Request ITM0013,200,608.65,121729.54,IDR,2024-04-11,urgent,approved,BUD00055,https://docs.internal/pr/PR202400070.pdf
PR00071,PR202500071,2025-03-07,EMP013,CC001,DEP01,ITM0031,Request ITM0031,5000,372.83,1864142.61,IDR,2025-04-06,low,draft,BUD00818,https://docs.internal/pr/PR202500071.pdf
PR00072,PR202500072,2025-09-06,EMP019,CC011,DEP05,ITM0034,Request ITM0034,5,20573.01,102865.06,IDR,2025-09-30,high,pending,BUD00610,https://docs.internal/pr/PR202500072.pdf
PR00073,PR202500073,2025-01-27,EMP037,CC002,DEP02,ITM0012,Request ITM0012,25,17544.60,438614.90,IDR,2025-02-10,normal,approved,BUD00324,https://docs.internal/pr/PR202500073.pdf
PR00074,PR202400074,2024-01-21,EMP016,CC012,DEP06,ITM0009,Request ITM0009,5,31814.99,159074.93,IDR,2024-02-19,urgent,pending,BUD00572,https://docs.internal/pr/PR202400074.pdf
PR00075,PR202400075,2024-07-06,EMP005,CC011,DEP05,ITM0002,Request ITM0002,50,40273.16,2013658.01,IDR,2024-08-09,high,approved,BUD00315,https://docs.internal/pr/PR202400075.pdf
PR00076,PR202400076,2024-03-19,EMP013,CC010,DEP04,ITM0011,Request ITM0011,100,13097.33,1309732.99,IDR,2024-04-30,urgent,approved,BUD00877,https://docs.internal/pr/PR202400076.pdf
PR00077,PR202400077,2024-03-20,EMP005,CC006,DEP06,ITM0025,Request ITM0025,200,36.87,7373.70,IDR,2024-04-30,urgent,approved,BUD00784,https://docs.internal/pr/PR202400077.pdf
PR00078,PR202500078,2025-10-11,EMP022,CC006,DEP06,ITM0003,Request ITM0003,50,3244.80,162240.23,IDR,2025-11-12,low,approved,BUD00509,https://docs.internal/pr/PR202500078.pdf
PR00079,PR202500079,2025-01-15,EMP002,CC007,DEP01,ITM0011,Request ITM0011,5,13836.41,69182.07,IDR,2025-02-09,high,approved,BUD01101,https://docs.internal/pr/PR202500079.pdf
PR00080,PR202500080,2025-10-09,EMP028,CC005,DEP05,ITM0005,Request ITM0005,1,1513.68,1513.68,IDR,2025-11-16,high,approved,BUD01044,https://docs.internal/pr/PR202500080.pdf
PR00081,PR202400081,2024-06-02,EMP006,CC002,DEP02,ITM0017,Request ITM0017,1000,75.66,75658.75,IDR,2024-07-17,high,approved,BUD00293,https://docs.internal/pr/PR202400081.pdf
PR00082,PR202400082,2024-08-17,EMP011,CC002,DEP02,ITM0012,Request ITM0012,250,17589.15,4397287.30,IDR,2024-09-09,low,approved,BUD00567,https://docs.internal/pr/PR202400082.pdf
PR00083,PR202500083,2025-10-14,EMP039,CC002,DEP02,ITM0023,Request ITM0023,500,39.96,19977.96,IDR,2025-10-30,normal,rejected,BUD00755,https://docs.internal/pr/PR202500083.pdf
PR00084,PR202500084,2025-03-24,EMP003,CC012,DEP06,ITM0031,Request ITM0031,200,363.06,72611.07,IDR,2025-04-26,normal,approved,BUD00993,https://docs.internal/pr/PR202500084.pdf
PR00085,PR202500085,2025-03-16,EMP002,CC003,DEP03,ITM0031,Request ITM0031,50,267.03,13351.74,IDR,2025-04-16,urgent,pending,BUD00575,https://docs.internal/pr/PR202500085.pdf
PR00086,PR202400086,2024-07-31,EMP015,CC010,DEP04,ITM0031,Request ITM0031,500,324.98,162489.13,IDR,2024-09-06,low,approved,BUD00703,https://docs.internal/pr/PR202400086.pdf
PR00087,PR202500087,2025-10-31,EMP032,CC011,DEP05,ITM0015,Request ITM0015,200,5.82,1163.24,IDR,2025-12-04,high,approved,BUD00299,https://docs.internal/pr/PR202500087.pdf
PR00088,PR202400088,2024-10-18,EMP026,CC002,DEP02,ITM0011,Request ITM0011,10,13777.06,137770.59,IDR,2024-11-16,high,approved,BUD00400,https://docs.internal/pr/PR202400088.pdf
PR00089,PR202400089,2024-05-01,EMP026,CC004,DEP04,ITM0031,Request ITM0031,1000,390.33,390333.31,IDR,2024-05-20,urgent,approved,BUD01001,https://docs.internal/pr/PR202400089.pdf
PR00090,PR202400090,2024-07-19,EMP002,CC007,DEP01,ITM0028,Request ITM0028,1000,565.24,565242.27,IDR,2024-08-25,urgent,approved,BUD00131,https://docs.internal/pr/PR202400090.pdf
PR00091,PR202500091,2025-11-27,EMP037,CC008,DEP02,ITM0020,Request ITM0020,100,26592.00,2659199.60,IDR,2025-12-25,high,approved,BUD01103,https://docs.internal/pr/PR202500091.pdf
PR00092,PR202500092,2025-01-13,EMP039,CC004,DEP04,ITM0033,Request ITM0033,2500,868.93,2172319.39,IDR,2025-01-24,low,approved,BUD01124,https://docs.internal/pr/PR202500092.pdf
PR00093,PR202500093,2025-02-21,EMP001,CC011,DEP05,ITM0035,Request ITM0035,5,205147.97,1025739.84,IDR,2025-03-13,normal,approved,BUD00293,https://docs.internal/pr/PR202500093.pdf
PR00094,PR202400094,2024-04-19,EMP033,CC012,DEP06,ITM0004,Request ITM0004,5,11115.07,55575.35,IDR,2024-05-25,low,approved,BUD00831,https://docs.internal/pr/PR202400094.pdf
PR00095,PR202400095,2024-07-14,EMP008,CC006,DEP06,ITM0009,Request ITM0009,5,35243.99,176219.97,IDR,2024-08-09,low,pending,BUD00595,https://docs.internal/pr/PR202400095.pdf
PR00096,PR202400096,2024-11-15,EMP040,CC008,DEP02,ITM0017,Request ITM0017,200,101.54,20308.80,IDR,2024-12-07,urgent,approved,BUD00673,https://docs.internal/pr/PR202400096.pdf
PR00097,PR202400097,2024-07-10,EMP009,CC007,DEP01,ITM0028,Request ITM0028,200,650.26,130051.05,IDR,2024-07-29,low,approved,BUD00329,https://docs.internal/pr/PR202400097.pdf
PR00098,PR202400098,2024-06-05,EMP028,CC008,DEP02,ITM0033,Request ITM0033,1000,818.47,818469.27,IDR,2024-06-28,low,approved,BUD00879,https://docs.internal/pr/PR202400098.pdf
PR00099,PR202500099,2025-10-13,EMP022,CC007,DEP01,ITM0004,Request ITM0004,10,7610.92,76109.15,IDR,2025-11-13,urgent,approved,BUD00106,https://docs.internal/pr/PR202500099.pdf
PR00100,PR202500100,2025-02-10,EMP038,CC011,DEP05,ITM0018,Request ITM0018,1000,138.48,138479.48,IDR,2025-02-25,urgent,approved,BUD00203,https://docs.internal/pr/PR202500100.pdf
PR00101,PR202400101,2024-11-04,EMP035,CC009,DEP03,ITM0037,Request ITM0037,100,43853.51,4385351.37,IDR,2024-12-02,urgent,draft,BUD01044,https://docs.internal/pr/PR202400101.pdf
PR00102,PR202500102,2025-01-25,EMP033,CC008,DEP02,ITM0025,Request ITM0025,1000,34.78,34776.00,IDR,2025-02-25,high,approved,BUD00622,https://docs.internal/pr/PR202500102.pdf
PR00103,PR202400103,2024-07-23,EMP014,CC008,DEP02,ITM0018,Request ITM0018,1000,50.93,50928.00,IDR,2024-08-25,normal,approved,BUD00810,https://docs.internal/pr/PR202400103.pdf
PR00104,PR202500104,2025-03-27,EMP025,CC001,DEP01,ITM0026,Request ITM0026,50,111.42,5571.17,IDR,2025-04-16,low,approved,BUD00271,https://docs.internal/pr/PR202500104.pdf
PR00105,PR202400105,2024-05-12,EMP015,CC007,DEP01,ITM0007,Request ITM0007,1,2225.83,2225.83,IDR,2024-05-31,high,approved,BUD00463,https://docs.internal/pr/PR202400105.pdf
PR00106,PR202500106,2025-11-25,EMP010,CC007,DEP01,ITM0017,Request ITM0017,100,115.32,11532.02,IDR,2026-01-07,urgent,approved,BUD00138,https://docs.internal/pr/PR202500106.pdf
PR00107,PR202400107,2024-03-12,EMP001,CC004,DEP04,ITM0027,Request ITM0027,50,208.34,10416.93,IDR,2024-03-31,high,draft,BUD01144,https://docs.internal/pr/PR202400107.pdf
PR00108,PR202500108,2025-04-13,EMP010,CC009,DEP03,ITM0008,Request ITM0008,200,408.20,81639.91,IDR,2025-05-18,normal,draft,BUD00432,https://docs.internal/pr/PR202500108.pdf
PR00109,PR202400109,2024-08-31,EMP024,CC001,DEP01,ITM0009,Request ITM0009,5,28259.22,141296.09,IDR,2024-10-12,low,approved,BUD00977,https://docs.internal/pr/PR202400109.pdf
PR00110,PR202500110,2025-06-18,EMP026,CC010,DEP04,ITM0015,Request ITM0015,500,8.73,4365.12,IDR,2025-07-14,normal,approved,BUD01146,https://docs.internal/pr/PR202500110.pdf
PR00111,PR202400111,2024-03-23,EMP020,CC001,DEP01,ITM0037,Request ITM0037,2,42288.00,84576.00,IDR,2024-04-26,high,draft,BUD00816,https://docs.internal/pr/PR202400111.pdf
PR00112,PR202500112,2025-06-07,EMP007,CC009,DEP03,ITM0026,Request ITM0026,1000,145.14,145144.62,IDR,2025-07-05,low,approved,BUD00783,https://docs.internal/pr/PR202500112.pdf
PR00113,PR202500113,2025-12-24,EMP001,CC003,DEP03,ITM0025,Request ITM0025,500,45.34,22668.48,IDR,2026-01-13,low,approved,BUD01022,https://docs.internal/pr/PR202500113.pdf
PR00114,PR202500114,2025-02-05,EMP016,CC012,DEP06,ITM0040,Request ITM0040,5,2733.29,13666.47,IDR,2025-02-14,normal,rejected,BUD00216,https://docs.internal/pr/PR202500114.pdf
PR00115,PR202400115,2024-11-09,EMP030,CC008,DEP02,ITM0037,Request ITM0037,50,37469.59,1873479.36,IDR,2024-12-12,low,approved,BUD00176,https://docs.internal/pr/PR202400115.pdf
PR00116,PR202500116,2024-12-25,EMP012,CC002,DEP02,ITM0031,Request ITM0031,1000,344.64,344643.12,IDR,2025-01-18,urgent,approved,BUD00168,https://docs.internal/pr/PR202500116.pdf
PR00117,PR202500117,2025-11-11,EMP010,CC008,DEP02,ITM0010,Request ITM0010,40,23027.84,921113.56,IDR,2025-12-04,high,pending,BUD00233,https://docs.internal/pr/PR202500117.pdf
PR00118,PR202500118,2025-12-04,EMP038,CC002,DEP02,ITM0034,Request ITM0034,50,20865.09,1043254.57,IDR,2026-01-18,normal,approved,BUD00861,https://docs.internal/pr/PR202500118.pdf
PR00119,PR202400119,2024-07-17,EMP040,CC002,DEP02,ITM0024,Request ITM0024,1000,624.79,624786.68,IDR,2024-08-28,low,draft,BUD00184,https://docs.internal/pr/PR202400119.pdf
PR00120,PR202500120,2025-11-07,EMP038,CC001,DEP01,ITM0027,Request ITM0027,250,148.48,37119.90,IDR,2025-12-14,normal,approved,BUD00457,https://docs.internal/pr/PR202500120.pdf
PR00121,PR202500121,2025-08-01,EMP025,CC012,DEP06,ITM0016,Request ITM0016,250,73.93,18482.49,IDR,2025-08-23,normal,approved,BUD00896,https://docs.internal/pr/PR202500121.pdf
PR00122,PR202400122,2024-04-28,EMP017,CC011,DEP05,ITM0023,Request ITM0023,1000,39.44,39438.93,IDR,2024-05-20,normal,approved,BUD00048,https://docs.internal/pr/PR202400122.pdf
PR00123,PR202400123,2023-12-22,EMP001,CC003,DEP03,ITM0037,Request ITM0037,500,81448.31,40724154.00,IDR,2024-01-24,low,approved,BUD00395,https://docs.internal/pr/PR202400123.pdf
PR00124,PR202500124,2025-03-17,EMP023,CC004,DEP04,ITM0034,Request ITM0034,250,18971.47,4742867.52,IDR,2025-04-20,high,approved,BUD00762,https://docs.internal/pr/PR202500124.pdf
PR00125,PR202400125,2024-12-17,EMP029,CC003,DEP03,ITM0004,Request ITM0004,2,10740.86,21481.72,IDR,2025-01-15,urgent,approved,BUD00485,https://docs.internal/pr/PR202400125.pdf
PR00126,PR202500126,2025-10-16,EMP006,CC004,DEP04,ITM0015,Request ITM0015,500,7.46,3729.72,IDR,2025-11-23,high,approved,BUD01101,https://docs.internal/pr/PR202500126.pdf
PR00127,PR202400127,2024-09-13,EMP005,CC008,DEP02,ITM0019,Request ITM0019,50,6555.92,327795.80,IDR,2024-09-23,normal,approved,BUD00959,https://docs.internal/pr/PR202400127.pdf
PR00128,PR202400128,2024-04-05,EMP017,CC002,DEP02,ITM0016,Request ITM0016,5000,63.49,317426.20,IDR,2024-04-26,high,pending,BUD00884,https://docs.internal/pr/PR202400128.pdf
PR00129,PR202400129,2024-08-20,EMP028,CC004,DEP04,ITM0033,Request ITM0033,50,912.67,45633.64,IDR,2024-09-21,normal,approved,BUD00566,https://docs.internal/pr/PR202400129.pdf
PR00130,PR202500130,2025-12-13,EMP011,CC006,DEP06,ITM0001,Request ITM0001,20,10846.81,216936.19,IDR,2026-01-02,normal,approved,BUD00681,https://docs.internal/pr/PR202500130.pdf
PR00131,PR202400131,2024-10-10,EMP018,CC011,DEP05,ITM0001,Request ITM0001,250,13457.04,3364259.63,IDR,2024-11-10,low,approved,BUD00303,https://docs.internal/pr/PR202400131.pdf
PR00132,PR202500132,2025-09-09,EMP001,CC008,DEP02,ITM0022,Request ITM0022,400,52.88,21150.30,IDR,2025-09-24,urgent,pending,BUD00308,https://docs.internal/pr/PR202500132.pdf
PR00133,PR202500133,2025-06-16,EMP030,CC001,DEP01,ITM0040,Request ITM0040,2,2770.90,5541.80,IDR,2025-07-12,low,approved,BUD00109,https://docs.internal/pr/PR202500133.pdf
PR00134,PR202500134,2025-03-02,EMP026,CC002,DEP02,ITM0006,Request ITM0006,25,5180.71,129517.76,IDR,2025-04-01,high,pending,BUD00355,https://docs.internal/pr/PR202500134.pdf
PR00135,PR202500135,2025-08-14,EMP036,CC004,DEP04,ITM0021,Request ITM0021,1,18641.22,18641.22,IDR,2025-09-06,high,approved,BUD00945,https://docs.internal/pr/PR202500135.pdf
PR00136,PR202400136,2024-06-02,EMP004,CC005,DEP05,ITM0001,Request ITM0001,5,14473.93,72369.67,IDR,2024-07-02,low,rejected,BUD00683,https://docs.internal/pr/PR202400136.pdf
