demand_id,item_id,period,quantity_used,source
DH000340,ITM0028,2024-04,747.33,sales
DH000341,ITM0028,2024-05,582.65,production
DH000342,ITM0028,2024-06,672.45,production
DH000343,ITM0028,2024-07,495.5,sales
DH000344,ITM0028,2024-08,530.19,sales
DH000345,ITM0028,2024-09,550.17,sales
DH000346,ITM0028,2024-10,565.35,production
DH000347,ITM0028,2024-11,812.51,production
DH000348,ITM0028,2024-12,599.88,production
DH000349,ITM0028,2025-01,602.81,sales
DH000350,ITM0028,2025-02,721.1,sales
DH000351,ITM0028,2025-03,581.77,sales
DH000352,ITM0028,2025-04,482.73,production
DH000353,ITM0028,2025-05,540.32,production
DH000354,ITM0028,2025-06,608.68,production
DH000355,ITM0028,2025-07,775.72,sales
DH000356,ITM0028,2025-08,827.86,production
DH000357,ITM0028,2025-09,737.16,production
DH000358,ITM0028,2025-10,743.06,production
DH000359,ITM0028,2025-11,597.01,sales
DH000360,ITM0028,2025-12,720.82,sales
DH000361,ITM0030,2024-01,198.72,sales
DH000362,ITM0030,2024-02,267.2,sales
DH000363,ITM0030,2024-03,237.67,sales
DH000364,ITM0030,2024-04,267.46,production
DH000365,ITM0030,2024-05,214.13,sales
DH000366,ITM0030,2024-06,239.0,production
DH000367,ITM0030,2024-07,243.23,production
DH000368,ITM0030,2024-08,172.52,production
DH000369,ITM0030,2024-09,186.06,production
DH000370,ITM0030,2024-10,181.13,sales
DH000371,ITM0030,2024-11,285.92,production
DH000372,ITM0030,2024-12,272.68,production
DH000373,ITM0030,2025-01,242.41,sales
DH000374,ITM0030,2025-02,251.7,sales
DH000375,ITM0030,2025-03,177.18,sales
DH000376,ITM0030,2025-04,228.73,production
DH000377,ITM0030,2025-05,245.55,production
DH000378,ITM0030,2025-06,271.34,sales
DH000379,ITM0030,2025-07,266.06,production
DH000380,ITM0030,2025-08,241.15,production
DH000381,ITM0030,2025-09,212.2,sales
DH000382,ITM0030,2025-10,282.39,sales
DH000383,ITM0030,2025-11,189.56,production
DH000384,ITM0030,2025-12,201.4,sales
DH000385,ITM0025,2024-01,439.51,production
DH000386,ITM0025,2024-02,439.39,production
DH000387,ITM0025,2024-03,398.95,sales
DH000388,ITM0025,2024-04,424.66,sales
DH000389,ITM0025,2024-05,276.02,production
DH000390,ITM0025,2024-06,257.8,production
DH000391,ITM0025,2024-07,373.97,sales
DH000392,ITM0025,2024-08,461.73,production
DH000393,ITM0025,2024-09,272.69,production
DH000394,ITM0025,2024-10,346.11,production
DH000395,ITM0025,2024-11,318.61,sales
DH000396,ITM0025,2024-12,455.33,sales
DH000397,ITM0025,2025-01,486.5,production
DH000398,ITM0025,2025-02,473.93,production
DH000399,ITM0025,2025-03,305.09,production
DH000400,ITM0025,2025-04,281.79,production
DH000401,ITM0025,2025-05,304.62,production
DH000402,ITM0025,2025-06,297.95,sales
DH000403,ITM0025,2025-07,292.95,production
DH000404,ITM0025,2025-08,328.84,sales
DH000405,ITM0025,2025-09,482.19,production
DH000406,ITM0025,2025-10,520.85,sales
DH000407,ITM0025,2025-11,459.42,sales
DH000408,ITM0025,2025-12,454.19,production
DH000409,ITM0001,2024-01,192.57,sales
DH000410,ITM0001,2024-02,175.39,sales
DH000411,ITM0001,2024-03,230.91,sales
DH000412,ITM0001,2024-04,250.43,sales
DH000413,ITM0001,2024-05,241.8,production
DH000414,ITM0001,2024-06,212.58,production
DH000415,ITM0001,2024-07,194.08,production
DH000416,ITM0001,2024-08,259.63,sales
DH000417,ITM0001,2024-09,310.73,production
DH000418,ITM0001,2024-10,306.94,sales
DH000419,ITM0001,2024-11,187.72,production
DH000420,ITM0001,2024-12,196.01,production
DH000421,ITM0001,2025-01,300.65,production
DH000422,ITM0001,2025-02,293.66,sales
DH000423,ITM0001,2025-03,217.16,production
DH000424,ITM0001,2025-04,224.3,sales
DH000425,ITM0001,2025-05,320.42,production
DH000426,ITM0001,2025-06,224.91,production
DH000427,ITM0001,2025-07,290.59,sales
DH000428,ITM0001,2025-08,365.48,production
DH000429,ITM0001,2025-09,269.06,production
DH000430,ITM0001,2025-10,260.75,production
DH000431,ITM0001,2025-11,347.17,production
DH000432,ITM0001,2025-12,240.16,sales
DH000433,ITM0029,2024-01,894.45,production
DH000434,ITM0029,2024-02,724.82,sales
DH000435,ITM0029,2024-03,902.65,sales
DH000436,ITM0029,2024-04,615.39,production
DH000437,ITM0029,2024-05,1023.43,sales
DH000438,ITM0029,2024-06,715.59,sales
DH000439,ITM0029,2024-07,614.7,production
DH000440,ITM0029,2024-08,668.35,sales
DH000441,ITM0029,2024-09,880.75,sales
DH000442,ITM0029,2024-10,619.12,sales
DH000443,ITM0029,2024-11,934.11,production
DH000444,ITM0029,2024-12,929.72,sales
DH000445,ITM0029,2025-01,1002.63,sales
DH000446,ITM0029,2025-02,687.46,production
DH000447,ITM0029,2025-03,1038.13,sales
DH000448,ITM0029,2025-04,693.1,production
DH000449,ITM0029,2025-05,713.15,sales
DH000450,ITM0029,2025-06,1083.86,sales
DH000451,ITM0029,2025-07,850.5,production
DH000452,ITM0029,2025-08,772.3,production
DH000453,ITM0029,2025-09,792.52,production
DH000454,ITM0029,2025-10,1169.79,sales
DH000455,ITM0029,2025-11,1207.75,sales
DH000456,ITM0029,2025-12,1067.16,production
DH000457,ITM0008,2024-01,509.27,production
DH000458,ITM0008,2024-02,343.85,sales
DH000459,ITM0008,2024-03,350.11,sales
DH000460,ITM0008,2024-04,411.43,sales
DH000461,ITM0008,2024-05,539.1,production
DH000462,ITM0008,2024-06,411.22,production
DH000463,ITM0008,2024-07,543.65,production
DH000464,ITM0008,2024-08,564.08,sales
DH000465,ITM0008,2024-09,425.17,sales
DH000466,ITM0008,2024-10,536.88,sales
DH000467,ITM0008,2024-11,378.49,production
DH000468,ITM0008,2024-12,520.41,production
DH000469,ITM0008,2025-01,521.74,sales
DH000470,ITM0008,2025-02,524.72,sales
DH000471,ITM0008,2025-03,426.25,production
DH000472,ITM0008,2025-04,604.62,sales
DH000473,ITM0008,2025-05,696.1,production
DH000474,ITM0008,2025-06,593.39,production
DH000475,ITM0008,2025-07,697.59,sales
DH000476,ITM0008,2025-08,521.71,production
DH000477,ITM0008,2025-09,674.29,production
DH000478,ITM0008,2025-10,627.43,production
DH000479,ITM0008,2025-11,417.15,production
DH000480,ITM0008,2025-12,656.05,production
DH000481,ITM0026,2024-01,241.63,sales
DH000482,ITM0026,2024-02,325.08,sales
DH000483,ITM0026,2024-03,277.92,sales
DH000484,ITM0026,2024-04,359.02,sales
DH000485,ITM0026,2024-05,249.66,sales
DH000486,ITM0026,2024-06,228.46,production
DH000487,ITM0026,2024-07,260.87,sales
DH000488,ITM0026,2024-08,304.69,production
DH000489,ITM0026,2024-09,233.83,production
DH000490,ITM0026,2024-10,235.08,sales
DH000491,ITM0026,2024-11,257.6,production
DH000492,ITM0026,2024-12,342.91,production
DH000493,ITM0026,2025-01,334.8,sales
DH000494,ITM0026,2025-02,254.9,sales
DH000495,ITM0026,2025-03,420.85,sales
DH000496,ITM0026,2025-04,408.39,sales
DH000497,ITM0026,2025-05,316.18,production
DH000498,ITM0026,2025-06,435.43,sales
DH000499,ITM0026,2025-07,269.07,production
DH000500,ITM0026,2025-08,372.62,sales
DH000501,ITM0026,2025-09,399.22,production
DH000502,ITM0026,2025-10,289.62,sales
DH000503,ITM0026,2025-11,314.9,sales
DH000504,ITM0026,2025-12,323.5,sales
DH000505,ITM0014,2024-01,395.97,production
DH000506,ITM0014,2024-02,504.45,production
DH000507,ITM0014,2024-03,567.04,production
DH000508,ITM0014,2024-04,363.72,production
DH000509,ITM0014,2024-05,397.39,sales
DH000510,ITM0014,2024-06,552.96,sales
DH000511,ITM0014,2024-07,357.77,production
DH000512,ITM0014,2024-08,331.49,production
DH000513,ITM0014,2024-09,361.73,sales
DH000514,ITM0014,2024-10,507.15,sales
DH000515,ITM0014,2024-11,396.69,production
DH000516,ITM0014,2024-12,391.25,sales
DH000517,ITM0014,2025-01,578.31,sales
DH000518,ITM0014,2025-02,625.39,production
DH000519,ITM0014,2025-03,481.39,sales
DH000520,ITM0014,2025-04,579.83,production
DH000521,ITM0014,2025-05,473.73,sales
DH000522,ITM0014,2025-06,531.3,sales
DH000523,ITM0014,2025-07,414.56,sales
DH000524,ITM0014,2025-08,493.26,sales
DH000525,ITM0014,2025-09,393.48,production
DH000526,ITM0014,2025-10,436.72,production
DH000527,ITM0014,2025-11,449.85,production
DH000528,ITM0014,2025-12,418.93,production
DH000529,ITM0012,2024-01,686.95,production
DH000530,ITM0012,2024-02,583.15,sales
DH000531,ITM0012,2024-03,709.5,production
DH000532,ITM0012,2024-04,549.27,sales
DH000533,ITM0012,2024-05,459.11,sales
DH000534,ITM0012,2024-06,463.93,production
DH000535,ITM0012,2024-07,468.13,sales
DH000536,ITM0012,2024-08,664.94,sales
DH000537,ITM0012,2024-09,492.39,production
DH000538,ITM0012,2024-10,528.24,production
DH000539,ITM0012,2024-11,683.23,production
DH000540,ITM0012,2024-12,774.11,sales
DH000541,ITM0012,2025-01,745.99,production
DH000542,ITM0012,2025-02,534.43,production
DH000543,ITM0012,2025-03,541.35,production
DH000544,ITM0012,2025-04,792.76,production
DH000545,ITM0012,2025-05,535.32,sales
DH000546,ITM0012,2025-06,484.75,sales
DH000547,ITM0012,2025-07,651.07,sales
DH000548,ITM0012,2025-08,881.45,production
DH000549,ITM0012,2025-09,589.49,production
DH000550,ITM0012,2025-10,679.74,production
DH000551,ITM0012,2025-11,592.91,sales
DH000552,ITM0012,2025-12,838.55,production
DH000553,ITM0039,2024-01,555.53,sales
DH000554,ITM0039,2024-02,628.26,production
DH000555,ITM0039,2024-03,506.87,sales
DH000556,ITM0039,2024-04,672.96,production
DH000557,ITM0039,2024-05,667.62,sales
DH000558,ITM0039,2024-06,536.69,production
DH000559,ITM0039,2024-07,498.98,sales
DH000560,ITM0039,2024-08,427.3,production
DH000561,ITM0039,2024-09,598.43,sales
DH000562,ITM0039,2024-10,439.04,sales
DH000563,ITM0039,2024-11,523.64,sales
DH000564,ITM0039,2024-12,733.92,sales
DH000565,ITM0039,2025-01,722.19,sales
DH000566,ITM0039,2025-02,633.66,sales
DH000567,ITM0039,2025-03,700.57,sales
DH000568,ITM0039,2025-04,707.26,production
DH000569,ITM0039,2025-05,726.47,production
DH000570,ITM0039,2025-06,661.66,sales
DH000571,ITM0039,2025-07,507.86,sales
DH000572,ITM0039,2025-08,470.25,sales
DH000573,ITM0039,2025-09,662.3,production
DH000574,ITM0039,2025-10,606.09,sales
DH000575,ITM0039,2025-11,662.25,production
DH000576,ITM0039,2025-12,786.25,sales
DH000577,ITM0015,2024-01,477.45,production
DH000578,ITM0015,2024-02,291.29,production
DH000579,ITM0015,2024-03,438.94,sales
DH000580,ITM0015,2024-04,310.41,sales
DH000581,ITM0015,2024-05,436.1,production
DH000582,ITM0015,2024-06,294.85,sales
DH000583,ITM0015,2024-07,515.8,sales
DH000584,ITM0015,2024-08,329.9,production
DH000585,ITM0015,2024-09,510.52,production
DH000586,ITM0015,2024-10,375.57,sales
DH000587,ITM0015,2024-11,323.03,sales
DH000588,ITM0015,2024-12,531.19,sales
DH000589,ITM0015,2025-01,463.68,production
DH000590,ITM0015,2025-02,338.64,production
DH000591,ITM0015,2025-03,470.98,production
DH000592,ITM0015,2025-04,351.02,production
DH000593,ITM0015,2025-05,340.22,sales
DH000594,ITM0015,2025-06,437.06,sales
DH000595,ITM0015,2025-07,393.5,production
DH000596,ITM0015,2025-08,397.73,production
DH000597,ITM0015,2025-09,529.69,sales
DH000598,ITM0015,2025-10,544.82,sales
DH000599,ITM0015,2025-11,493.46,production
DH000600,ITM0015,2025-12,396.48,sales
DH000601,ITM0002,2024-01,385.3,production
DH000602,ITM0002,2024-02,617.96,sales
DH000603,ITM0002,2024-03,478.96,production
DH000604,ITM0002,2024-04,441.93,sales
DH000605,ITM0002,2024-05,362.78,production
DH000606,ITM0002,2024-06,415.88,sales
DH000607,ITM0002,2024-07,526.24,production
DH000608,ITM0002,2024-08,506.15,sales
DH000609,ITM0002,2024-09,374.79,production
DH000610,ITM0002,2024-10,416.15,sales
DH000611,ITM0002,2024-11,549.13,sales
DH000612,ITM0002,2024-12,476.69,production
DH000613,ITM0002,2025-01,510.17,production
DH000614,ITM0002,2025-02,528.53,sales
DH000615,ITM0002,2025-03,615.4,sales
DH000616,ITM0002,2025-04,648.39,production
DH000617,ITM0002,2025-05,536.67,production
DH000618,ITM0002,2025-06,401.82,production
DH000619,ITM0002,2025-07,539.91,production
