payment_id,invoice_id,payment_date,payment_method,amount_paid,bank_ref,paid_by
PAY00107,INV00130,2024-08-08,giro,204562.78,REF1894817,EMP025
PAY00108,INV00131,2026-02-26,giro,28954.78,REF3345711,EMP030
PAY00109,INV00133,2024-08-26,giro,2791358.35,REF8123479,EMP039
PAY00110,INV00134,2025-07-10,transfer,33770.41,REF7785940,EMP001
PAY00111,INV00135,2024-08-02,virtual_account,1289333.09,REF7195765,EMP017
PAY00112,INV00136,2025-09-06,transfer,18938.06,REF6666886,EMP020
PAY00113,INV00137,2025-07-11,giro,141671.24,REF8059261,EMP039
PAY00114,INV00138,2025-02-04,giro,199394.92,REF9233534,EMP016
PAY00115,INV00139,2025-03-28,transfer,28516.68,REF2649587,EMP025
PAY00116,INV00140,2025-10-29,virtual_account,111183.51,REF2864909,EMP039
PAY00117,INV00142,2024-10-22,transfer,84066.10,REF4551099,EMP038
PAY00118,INV00143,2025-03-09,transfer,27501.06,REF5105254,EMP017
PAY00119,INV00144,2024-09-05,virtual_account,152484.34,REF4268180,EMP038
PAY00120,INV00145,2025-11-10,giro,48474.16,REF9418465,EMP020
PAY00121,INV00146,2025-03-01,giro,61676.06,REF1326813,EMP013
PAY00122,INV00147,2024-05-24,virtual_account,31949.29,REF5345732,EMP017
PAY00123,INV00148,2025-11-07,virtual_account,69920.20,REF5929377,EMP001
PAY00124,INV00151,2025-03-23,virtual_account,37887.06,REF4046988,EMP024
PAY00125,INV00152,2024-07-17,giro,321770.86,REF9267840,EMP037
PAY00126,INV00154,2025-02-04,virtual_account,1469995.22,REF5961248,EMP009
PAY00127,INV00155,2024-07-06,virtual_account,252358.27,REF2728894,EMP006
PAY00128,INV00156,2026-01-01,transfer,42228.81,REF7688954,EMP028
PAY00129,INV00157,2025-12-27,giro,956217.38,REF9144342,EMP023
PAY00130,INV00158,2026-01-14,transfer,7718.72,REF3256414,EMP021
PAY00131,INV00159,2026-01-23,virtual_account,18559870.27,REF9234422,EMP028
PAY00132,INV00161,2025-01-25,virtual_account,2597537.95,REF2098296,EMP022
PAY00133,INV00162,2025-01-05,virtual_account,848920.03,REF1804568,EMP035
PAY00134,INV00164,2025-12-18,transfer,21739.49,REF7625427,EMP013
PAY00135,INV00165,2024-12-10,giro,589887.68,REF1644748,EMP010
PAY00136,INV00166,2024-05-25,virtual_account,58287.02,REF1351266,EMP028
PAY00137,INV00167,2025-03-18,giro,150799.37,REF7914190,EMP004
PAY00138,INV00168,2024-09-09,transfer,14953.21,REF6160031,EMP005
PAY00139,INV00169,2025-02-02,giro,37782.09,REF6768490,EMP022
PAY00140,INV00170,2024-05-01,virtual_account,7254.80,REF1526365,EMP009
PAY00141,INV00171,2025-12-22,giro,1138182.90,REF2180827,EMP010
PAY00142,INV00173,2025-01-10,transfer,1155832.70,REF6313738,EMP025
PAY00143,INV00174,2025-12-11,giro,58426.91,REF9229339,EMP001
PAY00144,INV00175,2024-12-28,giro,61268.60,REF9572494,EMP007
PAY00145,INV00176,2025-04-06,giro,329111.51,REF1183106,EMP020
PAY00146,INV00178,2026-01-23,virtual_account,14400.91,REF6359632,EMP021
PAY00147,INV00179,2025-03-27,virtual_account,69211.00,REF9586664,EMP026
PAY00148,INV00181,2024-06-10,giro,16091999.38,REF1378476,EMP037
PAY00149,INV00182,2025-08-09,virtual_account,130057.70,REF7228915,EMP036
PAY00150,INV00185,2024-10-06,transfer,15047.69,REF9178027,EMP006
PAY00151,INV00186,2025-07-31,transfer,81386.81,REF5870201,EMP039
PAY00152,INV00188,2024-11-25,transfer,3119.61,REF6360810,EMP016
PAY00153,INV00189,2025-09-07,virtual_account,680464.66,REF3638806,EMP016
PAY00154,INV00190,2026-01-07,virtual_account,56072.74,REF5499844,EMP018
PAY00155,INV00192,2026-03-17,transfer,885351.69,REF1670038,EMP037
PAY00156,INV00193,2024-06-01,giro,13478.80,REF7487804,EMP029
PAY00157,INV00194,2024-10-14,giro,870493.29,REF1367073,EMP025
PAY00158,INV00195,2025-10-24,transfer,11125.78,REF7869672,EMP020
PAY00159,INV00196,2025-10-12,giro,1289.68,REF3280095,EMP001
PAY00160,INV00198,2024-12-27,giro,883712.29,REF6478510,EMP019
PAY00161,INV00200,2024-05-23,transfer,181722.05,REF6038910,EMP017
PAY00162,INV00201,2024-06-22,giro,946801.49,REF5080820,EMP040
PAY00163,INV00202,2024-09-21,giro,18745.84,REF2804196,EMP018
PAY00164,INV00205,2024-12-12,transfer,24197.15,REF3722810,EMP010
PAY00165,INV00206,2025-04-14,virtual_account,2225140.72,REF1124785,EMP021
PAY00166,INV00207,2024-06-20,transfer,58927.74,REF6591284,EMP018
PAY00167,INV00210,2025-12-22,giro,624723.48,REF7553095,EMP018
PAY00168,INV00211,2024-10-29,giro,17853.95,REF1275672,EMP005
PAY00169,INV00212,2024-06-22,transfer,189362.37,REF7909008,EMP022
PAY00170,INV00213,2024-08-22,transfer,873780.48,REF8052414,EMP007
PAY00171,INV00214,2024-05-18,virtual_account,34074.59,REF3126997,EMP004
PAY00172,INV00216,2024-11-14,giro,1210.31,REF9761433,EMP005
PAY00173,INV00220,2026-03-03,giro,220817.09,REF2879293,EMP036
PAY00174,INV00221,2024-08-04,transfer,232432.14,REF2233151,EMP016
PAY00175,INV00222,2024-12-14,virtual_account,26449.95,REF1302898,EMP039
PAY00176,INV00224,2024-11-25,virtual_account,265790.01,REF2976444,EMP010
PAY00177,INV00225,2024-11-08,transfer,42888.27,REF8602375,EMP027
PAY00178,INV00226,2024-08-09,transfer,255672.79,REF7665233,EMP034
PAY00179,INV00227,2024-06-21,virtual_account,337518.02,REF5196416,EMP007
PAY00180,INV00229,2026-01-11,virtual_account,149653.33,REF5207244,EMP033
PAY00181,INV00230,2024-12-19,virtual_account,282915.66,REF9342069,EMP010
PAY00182,INV00231,2024-07-12,giro,2214476.39,REF5935250,EMP012
PAY00183,INV00232,2025-05-05,virtual_account,125054.63,REF9595138,EMP037
PAY00184,INV00234,2025-04-30,giro,253344.15,REF3811691,EMP009
PAY00185,INV00235,2024-08-29,transfer,7708.71,REF9381636,EMP015
PAY00186,INV00236,2025-05-23,transfer,6240.78,REF8913154,EMP026
PAY00187,INV00237,2025-07-02,transfer,126358.87,REF4591976,EMP027
PAY00188,INV00238,2024-09-19,transfer,164128.57,REF4027624,EMP029
PAY00189,INV00239,2025-11-05,virtual_account,13934.46,REF7244360,EMP033
PAY00190,INV00240,2025-09-26,virtual_account,2157027.34,REF8723303,EMP027
PAY00191,INV00242,2024-06-20,giro,126276.19,REF7498969,EMP020
PAY00192,INV00243,2024-07-21,transfer,988134.37,REF5189227,EMP004
PAY00193,INV00244,2024-07-03,giro,736777.02,REF7688041,EMP018
PAY00194,INV00245,2024-07-19,virtual_account,306750.35,REF6961507,EMP029
PAY00195,INV00247,2025-12-30,giro,159739.21,REF9051249,EMP037
PAY00196,INV00248,2024-11-23,transfer,825670.06,REF2400910,EMP029
PAY00197,INV00249,2024-07-12,virtual_account,45478.93,REF9005008,EMP004
PAY00198,INV00250,2025-02-23,virtual_account,227511.80,REF5443133,EMP040
PAY00199,INV00251,2025-06-18,transfer,898329.37,REF5165533,EMP023
PAY00200,INV00252,2026-01-01,giro,5710918.83,REF5590247,EMP002
PAY00201,INV00253,2026-02-03,virtual_account,59562.50,REF8387790,EMP020
PAY00202,INV00254,2025-09-12,giro,93940.80,REF9145474,EMP001
PAY00203,INV00255,2025-08-27,virtual_account,95480.60,REF8951535,EMP020
PAY00204,INV00256,2025-06-18,giro,7336.80,REF2277412,EMP010
PAY00205,INV00257,2024-06-20,virtual_account,1181160.06,REF3443467,EMP013
PAY00206,INV00258,2026-02-20,giro,697861.45,REF8955263,EMP033
PAY00207,INV00260,2025-03-14,virtual_account,164029.45,REF4558298,EMP011
PAY00208,INV00261,2024-08-21,giro,98415.54,REF6189696,EMP027
PAY00209,INV00262,2026-01-19,transfer,913377.63,REF9771006,EMP040
PAY00210,INV00264,2025-11-18,giro,840918.93,REF5467288,EMP012
PAY00211,INV00265,2024-04-05,transfer,2277.79,REF2948986,EMP037
PAY00212,INV00266,2025-07-04,virtual_account,329417.78,REF4579226,EMP027
PAY00213,INV00267,2025-03-13,virtual_account,984353.78,REF4674703,EMP017
PAY00214,INV00268,2024-12-07,transfer,499830.06,REF2673189,EMP006
PAY00215,INV00269,2024-06-20,giro,249051.47,REF5355863,EMP029
PAY00216,INV00271,2025-09-03,virtual_account,40076.07,REF4654144,EMP013
PAY00217,INV00272,2025-08-24,giro,805712.61,REF5098427,EMP001
PAY00218,INV00273,2025-11-21,virtual_account,470063.56,REF4129598,EMP005
PAY00219,INV00274,2025-01-16,giro,115844.00,REF2368232,EMP038
PAY00220,INV00276,2024-09-19,giro,153967.39,REF1789113,EMP027
PAY00221,INV00277,2024-11-06,virtual_account,280085.02,REF7494449,EMP026
PAY00222,INV00278,2024-08-18,virtual_account,43399.70,REF4770171,EMP037
PAY00223,INV00279,2024-08-31,virtual_account,311645.74,REF4956910,EMP015
PAY00224,INV00280,2025-02-02,transfer,18603.39,REF5457623,EMP012
PAY00225,INV00281,2025-03-21,transfer,196970.07,REF7085903,EMP018
PAY00226,INV00283,2025-05-19,transfer,63433.10,REF7266775,EMP040
PAY00227,INV00284,2025-01-30,virtual_account,57585.54,REF4068301,EMP006
PAY00228,INV00285,2025-10-31,transfer,2138504.24,REF7536593,EMP016
PAY00229,INV00286,2025-12-13,virtual_account,408748.31,REF8944457,EMP024
PAY00230,INV00287,2025-04-06,transfer,7702.26,REF1250130,EMP005
PAY00231,INV00288,2026-01-25,giro,9503.90,REF4980082,EMP014
PAY00232,INV00290,2025-12-17,virtual_account,4611.83,REF4714587,EMP020
PAY00233,INV00291,2026-04-14,giro,7896.04,REF6055958,EMP034
PAY00234,INV00292,2025-04-06,transfer,18206.26,REF8218298,EMP006
PAY00235,INV00293,2025-09-25,virtual_account,3159.46,REF5707347,EMP025
PAY00236,INV00294,2025-10-01,transfer,2524611.10,REF3286603,EMP002
PAY00237,INV00296,2025-09-05,giro,155414.56,REF1839639,EMP025
PAY00238,INV00297,2025-03-06,virtual_account,4746.34,REF1838804,EMP005
PAY00239,INV00299,2025-06-15,virtual_account,616343.90,REF3245147,EMP002
PAY00240,INV00300,2026-01-07,transfer,7575471.04,REF5573659,EMP037
PAY00241,INV00301,2025-08-29,giro,686.64,REF5102900,EMP021
PAY00242,INV00302,2025-10-16,virtual_account,10229.88,REF5658782,EMP037
PAY00243,INV00304,2025-09-17,virtual_account,247416.06,REF3556085,EMP007
PAY00244,INV00305,2026-02-20,giro,1037182.18,REF9346305,EMP012
PAY00245,INV00306,2026-02-23,transfer,9871431.37,REF8346285,EMP037
PAY00246,INV00307,2025-11-16,virtual_account,1075865.74,REF3796179,EMP033
PAY00247,INV00309,2024-07-13,transfer,23077.89,REF5179822,EMP026
PAY00248,INV00310,2024-08-26,transfer,888515.94,REF5333997,EMP029
PAY00249,INV00311,2025-10-01,virtual_account,85279.00,REF9974936,EMP012
PAY00250,INV00312,2025-12-11,giro,58828.71,REF7309417,EMP028
PAY00251,INV00313,2024-12-15,giro,2779.95,REF6847354,EMP034
PAY00252,INV00314,2024-10-27,giro,15692.11,REF4485061,EMP015
PAY00253,INV00315,2025-04-14,transfer,908792.32,REF7718619,EMP005
PAY00254,INV00316,2025-01-29,transfer,84448.94,REF7372504,EMP019
PAY00255,INV00317,2026-02-06,transfer,13904.15,REF3914209,EMP012
PAY00256,INV00318,2025-08-13,virtual_account,29121.11,REF8883501,EMP029
PAY00257,INV00319,2025-12-22,transfer,2424948.17,REF4608636,EMP011
PAY00258,INV00320,2025-01-03,virtual_account,801924.00,REF7400214,EMP014
PAY00259,INV00322,2025-08-05,transfer,922146.52,REF1285508,EMP038
PAY00260,INV00323,2025-01-08,giro,6240.25,REF9990249,EMP027
PAY00261,INV00324,2025-07-01,giro,46365.68,REF5602343,EMP028
PAY00262,INV00325,2024-07-05,giro,945432.72,REF5328743,EMP025
PAY00263,INV00326,2024-07-31,giro,143463.07,REF3361198,EMP003
PAY00264,INV00328,2024-05-08,virtual_account,102271.51,REF5337729,EMP020
PAY00265,INV00330,2025-01-09,virtual_account,3069573.16,REF9433742,EMP012
PAY00266,INV00332,2026-03-14,transfer,184677.88,REF3021324,EMP005
PAY00267,INV00335,2025-06-21,giro,3581678.92,REF2521948,EMP006
PAY00268,INV00337,2025-06-20,giro,394683.00,REF3283492,EMP001
PAY00269,INV00339,2024-03-31,giro,88869.45,REF4460167,EMP012
PAY00270,INV00340,2024-06-19,virtual_account,147908.52,REF1233441,EMP007
PAY00271,INV00342,2025-04-21,virtual_account,18068.26,REF1546508,EMP018
PAY00272,INV00343,2025-01-07,transfer,5313.95,REF7612139,EMP011
PAY00273,INV00344,2025-12-26,giro,351094.21,REF6736093,EMP040
PAY00274,INV00345,2024-07-15,giro,104795.33,REF8734220,EMP009
PAY00275,INV00347,2025-09-27,virtual_account,991931.31,REF7807103,EMP011
PAY00276,INV00348,2024-12-14,virtual_account,900187.61,REF2416033,EMP037
PAY00277,INV00349,2024-10-30,giro,32234.91,REF8140562,EMP010
PAY00278,INV00350,2024-10-27,transfer,38162.33,REF2451944,EMP032
PAY00279,INV00352,2024-05-24,giro,7166.11,REF5981736,EMP006
PAY00280,INV00354,2025-04-23,virtual_account,1282098.15,REF3316100,EMP009
PAY00281,INV00355,2024-07-11,giro,237827.43,REF2517281,EMP030
PAY00282,INV00356,2024-03-20,transfer,59789.34,REF9600498,EMP018
PAY00283,INV00357,2025-12-10,giro,162310.32,REF6005378,EMP003
PAY00284,INV00358,2025-06-06,virtual_account,980021.82,REF7457188,EMP008
PAY00285,INV00359,2024-10-11,transfer,5382.45,REF7842115,EMP039
PAY00286,INV00360,2024-04-06,virtual_account,58090.21,REF3464073,EMP008
PAY00287,INV00361,2025-06-10,transfer,313882.31,REF6379048,EMP036
PAY00288,INV00362,2025-05-22,giro,32540.53,REF4805556,EMP003
PAY00289,INV00363,2025-08-08,giro,129039.73,REF5159219,EMP020
PAY00290,INV00364,2025-08-13,giro,928102.84,REF1001433,EMP018
PAY00291,INV00365,2026-01-07,transfer,75512.99,REF9252661,EMP031
PAY00292,INV00367,2025-01-26,transfer,67881.34,REF2614782,EMP022
PAY00293,INV00368,2025-09-24,virtual_account,918227.92,REF5568424,EMP027
PAY00294,INV00370,2024-05-03,transfer,3466.76,REF8510236,EMP001
PAY00295,INV00371,2025-01-19,virtual_account,24788.16,REF8843990,EMP038
PAY00296,INV00372,2025-09-21,virtual_account,421886.38,REF4134515,EMP017
PAY00297,INV00375,2025-03-09,virtual_account,12709.25,REF7770277,EMP017
PAY00298,INV00377,2026-02-19,virtual_account,12216.12,REF5285200,EMP037
PAY00299,INV00378,2026-01-31,giro,549445.67,REF5660426,EMP022
PAY00300,INV00379,2025-06-17,transfer,437269.48,REF4384241,EMP013
PAY00301,INV00380,2025-09-30,virtual_account,51844964.70,REF2110878,EMP039
PAY00302,INV00383,2024-10-17,virtual_account,3413.66,REF8516545,EMP004
PAY00303,INV00384,2026-02-26,transfer,29503.50,REF3609773,EMP002
PAY00304,INV00385,2026-05-05,virtual_account,8181.64,REF6096719,EMP039
PAY00305,INV00386,2025-05-19,transfer,250301.26,REF6223809,EMP005
PAY00306,INV00387,2025-12-12,virtual_account,1647.11,REF5809679,EMP007
PAY00307,INV00388,2024-09-17,giro,528074.14,REF7326882,EMP029
PAY00308,INV00389,2025-08-02,giro,51186.50,REF5928570,EMP002
PAY00309,INV00391,2025-08-18,transfer,49545.16,REF9991137,EMP031
PAY00310,INV00393,2024-04-06,transfer,142861.12,REF1777742,EMP005
PAY00311,INV00394,2024-05-22,virtual_account,11647.84,REF6982910,EMP016
PAY00312,INV00396,2024-09-17,virtual_account,20266.03,REF4300652,EMP030
PAY00313,INV00397,2024-08-14,transfer,919113.75,REF4610986,EMP026
PAY00314,INV00398,2025-10-16,giro,556806.40,REF4441317,EMP018
PAY00315,INV00400,2024-09-19,giro,9505.32,REF2543766,EMP008
PAY00316,INV00401,2024-06-03,giro,14479.75,REF8270280,EMP012
PAY00317,INV00402,2024-05-12,transfer,21370.77,REF9589117,EMP029
PAY00318,INV00403,2024-07-13,transfer,184545.54,REF4828108,EMP024
PAY00319,INV00404,2024-05-11,virtual_account,12845.44,REF5406317,EMP019
PAY00320,INV00405,2025-06-26,giro,22677.70,REF7242491,EMP038
PAY00321,INV00407,2025-01-01,virtual_account,487681.71,REF7355605,EMP001
PAY00322,INV00408,2024-09-13,giro,18548.28,REF1553932,EMP014
PAY00323,INV00409,2024-07-07,giro,140573.73,REF3392875,EMP015
PAY00324,INV00410,2024-03-12,transfer,11350.80,REF8900917,EMP027
PAY00325,INV00411,2024-08-05,giro,2718854.46,REF4702232,EMP032
PAY00326,INV00412,2024-06-13,transfer,1086680.04,REF2581212,EMP007
PAY00327,INV00413,2025-02-16,giro,3984483.21,REF7167441,EMP008
PAY00328,INV00415,2024-09-19,virtual_account,457395.92,REF4414838,EMP014
PAY00329,INV00416,2024-10-14,giro,303965.93,REF9901929,EMP004
PAY00330,INV00417,2025-08-30,giro,377900.73,REF5728360,EMP029
PAY00331,INV00418,2026-02-22,virtual_account,143407.50,REF9542620,EMP011
PAY00332,INV00420,2025-04-15,giro,390406.19,REF6869794,EMP026
PAY00333,INV00421,2024-06-29,virtual_account,34866.12,REF8645617,EMP036
PAY00334,INV00422,2024-11-26,transfer,53308.27,REF9356059,EMP009
PAY00335,INV00423,2025-01-22,transfer,13376.49,REF1954026,EMP003
PAY00336,INV00424,2025-11-27,virtual_account,180708.80,REF8198924,EMP034
PAY00337,INV00425,2024-07-20,transfer,20552262.48,REF9541064,EMP032
PAY00338,INV00426,2024-05-19,giro,71164.44,REF7378394,EMP019
PAY00339,INV00428,2025-11-08,giro,1172796.13,REF9322133,EMP017
PAY00340,INV00430,2025-12-08,virtual_account,1646655.23,REF6891556,EMP008
PAY00341,INV00431,2025-03-30,transfer,65836.62,REF1857526,EMP034
PAY00342,INV00432,2025-06-08,virtual_account,101345.83,REF3798207,EMP028
PAY00343,INV00433,2025-01-14,virtual_account,96467.54,REF9901867,EMP003
PAY00344,INV00434,2025-02-23,giro,5926.65,REF7249716,EMP015
PAY00345,INV00435,2024-06-17,transfer,318753.75,REF1451391,EMP023
PAY00346,INV00436,2024-08-25,virtual_account,78199.08,REF8704738,EMP023
PAY00347,INV00437,2024-08-19,transfer,851293.89,REF8950541,EMP001
PAY00348,INV00438,2025-10-19,virtual_account,153656.91,REF7967136,EMP010
PAY00349,INV00440,2026-02-20,giro,30543.93,REF4808649,EMP006
PAY00350,INV00441,2025-04-07,virtual_account,1929884.99,REF5228602,EMP037
PAY00351,INV00442,2025-03-07,transfer,1062868.29,REF6208860,EMP039
PAY00352,INV00443,2024-05-06,virtual_account,315280.06,REF4151929,EMP026
PAY00353,INV00444,2024-04-02,giro,766445.29,REF9111031,EMP013
PAY00354,INV00446,2025-09-28,transfer,4193601.97,REF1936211,EMP033
PAY00355,INV00448,2026-01-15,transfer,18189.18,REF6828339,EMP011
PAY00356,INV00449,2025-10-22,giro,249632.23,REF5332113,EMP030
PAY00357,INV00450,2024-04-06,giro,10189.48,REF9675882,EMP021
PAY00358,INV00451,2024-04-07,virtual_account,122849.33,REF7831747,EMP036
PAY00359,INV00452,2024-04-26,virtual_account,16785.30,REF5718741,EMP014
PAY00360,INV00453,2026-01-30,giro,17027.19,REF9319786,EMP017
PAY00361,INV00454,2024-02-21,giro,5328.01,REF5096428,EMP034
