gr_id,gr_number,gr_date,po_id,received_qty,rejected_qty,reject_reason,inspection_result,warehouse_id,received_by
GR00100,GR202400100,2024-09-24,PO00105,49.82,0.18,rusak saat kirim,partial,WH01,EMP015
GR00101,GR202500101,2025-12-25,PO00106,18.08,1.92,kualitas tidak sesuai,fail,WH01,EMP007
GR00102,GR202400102,2024-11-22,PO00107,245.12,4.88,rusak saat kirim,partial,WH03,EMP023
GR00103,GR202500103,2025-09-26,PO00109,0.98,0.02,spesifikasi beda,partial,WH02,EMP016
GR00104,GR202500104,2025-10-15,PO00110,0.97,0.03,kualitas tidak sesuai,partial,WH02,EMP026
GR00105,GR202400105,2024-07-17,PO00111,1.94,0.06,rusak saat kirim,partial,WH03,EMP030
GR00106,GR202500106,2025-03-24,PO00112,1.81,0.19,rusak saat kirim,fail,WH01,EMP016
GR00107,GR202400107,2024-10-13,PO00113,48.23,1.77,rusak saat kirim,partial,WH02,EMP037
GR00108,GR202500108,2025-10-20,PO00114,4.94,0.06,spesifikasi beda,partial,WH01,EMP035
GR00109,GR202500109,2025-01-21,PO00115,181.33,18.67,spesifikasi beda,fail,WH03,EMP025
GR00110,GR202600110,2026-01-27,PO00116,181.91,18.09,rusak saat kirim,fail,WH02,EMP039
GR00111,GR202500111,2025-03-17,PO00117,910.35,89.65,spesifikasi beda,fail,WH01,EMP003
GR00112,GR202400112,2024-10-15,PO00118,244.22,5.78,spesifikasi beda,partial,WH03,EMP004
GR00113,GR202500113,2025-01-13,PO00119,970.88,29.12,rusak saat kirim,partial,WH01,EMP015
GR00114,GR202600114,2026-01-29,PO00120,380.98,19.02,rusak saat kirim,partial,WH02,EMP024
GR00115,GR202500115,2025-02-21,PO00121,4.00,0.00,,pass,WH02,EMP018
GR00116,GR202400116,2024-12-25,PO00122,183.83,16.17,spesifikasi beda,fail,WH02,EMP013
GR00117,GR202500117,2025-04-11,PO00123,0.91,0.09,spesifikasi beda,fail,WH01,EMP012
GR00118,GR202400118,2024-01-20,PO00124,1841.36,158.64,kualitas tidak sesuai,fail,WH01,EMP019
GR00119,GR202400119,2024-05-13,PO00125,964.54,35.46,spesifikasi beda,partial,WH01,EMP021
GR00120,GR202400120,2024-03-26,PO00126,49.28,0.72,spesifikasi beda,partial,WH03,EMP016
GR00121,GR202500121,2025-11-22,PO00127,494.67,5.33,rusak saat kirim,partial,WH02,EMP017
GR00122,GR202400122,2024-10-03,PO00128,199.83,0.17,kualitas tidak sesuai,partial,WH02,EMP022
GR00123,GR202500123,2025-07-08,PO00129,1.93,0.07,rusak saat kirim,partial,WH02,EMP033
GR00124,GR202400124,2024-12-20,PO00130,977.18,22.82,rusak saat kirim,partial,WH03,EMP016
GR00125,GR202500125,2025-04-07,PO00131,479.90,20.10,spesifikasi beda,partial,WH03,EMP032
GR00126,GR202500126,2025-06-11,PO00132,493.72,6.28,rusak saat kirim,partial,WH03,EMP020
GR00127,GR202500127,2025-09-28,PO00133,4.97,0.03,kualitas tidak sesuai,partial,WH03,EMP026
GR00128,GR202400128,2024-08-12,PO00134,183.53,16.47,spesifikasi beda,fail,WH02,EMP003
GR00129,GR202500129,2025-12-23,PO00135,2493.53,6.47,spesifikasi beda,partial,WH01,EMP038
GR00130,GR202400130,2024-07-18,PO00136,95.41,4.59,rusak saat kirim,partial,WH01,EMP016
GR00131,GR202600131,2026-01-08,PO00137,197.18,2.82,kualitas tidak sesuai,partial,WH03,EMP014
GR00132,GR202500132,2025-10-21,PO00138,1.79,0.21,spesifikasi beda,fail,WH02,EMP039
GR00133,GR202400133,2024-05-31,PO00139,244.33,5.67,spesifikasi beda,partial,WH01,EMP007
GR00134,GR202500134,2025-04-05,PO00140,917.74,82.26,kualitas tidak sesuai,fail,WH02,EMP034
GR00135,GR202400135,2024-07-21,PO00141,12.10,0.40,rusak saat kirim,partial,WH01,EMP030
GR00136,GR202500136,2025-06-03,PO00142,1.91,0.09,kualitas tidak sesuai,partial,WH02,EMP024
GR00137,GR202500137,2025-04-22,PO00143,2.46,0.04,kualitas tidak sesuai,partial,WH01,EMP015
GR00138,GR202500138,2025-01-26,PO00144,489.50,10.50,spesifikasi beda,partial,WH03,EMP011
GR00139,GR202500139,2025-02-08,PO00145,0.91,0.09,kualitas tidak sesuai,fail,WH01,EMP026
GR00140,GR202500140,2025-08-22,PO00146,998.21,1.79,kualitas tidak sesuai,partial,WH03,EMP039
GR00141,GR202400141,2024-12-29,PO00147,99.46,0.54,rusak saat kirim,partial,WH03,EMP008
GR00142,GR202400142,2024-09-15,PO00148,4.94,0.06,spesifikasi beda,partial,WH03,EMP009
GR00143,GR202400143,2024-12-31,PO00149,489.32,10.68,spesifikasi beda,partial,WH03,EMP035
GR00144,GR202400144,2024-07-08,PO00150,1987.07,12.93,spesifikasi beda,partial,WH02,EMP020
GR00145,GR202500145,2025-10-25,PO00151,190.70,9.30,spesifikasi beda,partial,WH03,EMP035
GR00146,GR202500146,2025-01-07,PO00152,179.77,20.23,kualitas tidak sesuai,fail,WH02,EMP004
GR00147,GR202400147,2024-04-04,PO00154,490.44,9.56,spesifikasi beda,partial,WH01,EMP012
GR00148,GR202500148,2025-09-09,PO00155,19.85,0.15,kualitas tidak sesuai,partial,WH01,EMP037
GR00149,GR202500149,2025-10-05,PO00156,1.95,0.05,rusak saat kirim,partial,WH02,EMP015
GR00150,GR202500150,2025-05-18,PO00157,487.81,12.19,kualitas tidak sesuai,partial,WH03,EMP024
GR00151,GR202500151,2025-02-28,PO00158,243.33,6.67,rusak saat kirim,partial,WH03,EMP027
GR00152,GR202400152,2024-06-16,PO00159,9.03,0.97,rusak saat kirim,fail,WH02,EMP017
GR00153,GR202400153,2024-09-06,PO00160,250.00,0.00,,pass,WH01,EMP010
GR00154,GR202500154,2025-01-19,PO00161,4615.52,384.48,spesifikasi beda,fail,WH01,EMP035
GR00155,GR202400155,2024-06-13,PO00164,500.00,0.00,,pass,WH03,EMP030
GR00156,GR202500156,2025-11-20,PO00165,223.93,26.07,spesifikasi beda,fail,WH03,EMP003
GR00157,GR202500157,2025-12-11,PO00166,3.86,0.14,rusak saat kirim,partial,WH02,EMP007
GR00158,GR202500158,2025-10-10,PO00168,0.98,0.02,spesifikasi beda,partial,WH02,EMP017
GR00159,GR202600159,2026-01-14,PO00169,98.55,1.45,spesifikasi beda,partial,WH02,EMP005
GR00160,GR202400160,2024-02-03,PO00171,493.85,6.15,spesifikasi beda,partial,WH02,EMP007
GR00161,GR202500161,2025-01-03,PO00172,49.02,0.98,spesifikasi beda,partial,WH02,EMP030
GR00162,GR202400162,2024-11-15,PO00173,244.22,5.78,spesifikasi beda,partial,WH03,EMP004
GR00163,GR202400163,2024-03-07,PO00174,4.51,0.49,kualitas tidak sesuai,fail,WH02,EMP015
GR00164,GR202500164,2025-10-20,PO00175,193.96,6.04,spesifikasi beda,partial,WH02,EMP026
GR00165,GR202400165,2024-10-19,PO00176,953.98,46.02,kualitas tidak sesuai,partial,WH03,EMP005
GR00166,GR202400166,2024-04-26,PO00177,4.45,0.55,rusak saat kirim,fail,WH03,EMP012
GR00167,GR202500167,2025-01-17,PO00178,500.00,0.00,,pass,WH02,EMP020
GR00168,GR202400168,2024-08-24,PO00179,4.75,0.25,kualitas tidak sesuai,partial,WH01,EMP022
GR00169,GR202500169,2025-01-28,PO00180,1.96,0.04,spesifikasi beda,partial,WH03,EMP024
GR00170,GR202400170,2024-04-01,PO00181,4.94,0.06,rusak saat kirim,partial,WH02,EMP022
GR00171,GR202500171,2025-11-03,PO00182,24.24,0.76,kualitas tidak sesuai,partial,WH03,EMP016
GR00172,GR202400172,2024-11-09,PO00183,9.84,0.16,spesifikasi beda,partial,WH01,EMP017
GR00173,GR202500173,2025-01-01,PO00184,97.28,2.72,rusak saat kirim,partial,WH02,EMP029
GR00174,GR202500174,2025-11-18,PO00185,97.90,2.10,kualitas tidak sesuai,partial,WH02,EMP031
GR00175,GR202400175,2024-12-17,PO00186,468.83,31.17,spesifikasi beda,partial,WH03,EMP040
GR00176,GR202500176,2025-02-07,PO00187,98.50,1.50,rusak saat kirim,partial,WH03,EMP004
GR00177,GR202400177,2024-11-05,PO00188,9.77,0.23,spesifikasi beda,partial,WH02,EMP021
GR00178,GR202600178,2026-01-02,PO00189,9.85,0.15,rusak saat kirim,partial,WH01,EMP003
GR00179,GR202500179,2025-02-12,PO00190,484.90,15.10,rusak saat kirim,partial,WH02,EMP026
GR00180,GR202400180,2024-09-09,PO00191,45.88,4.12,rusak saat kirim,fail,WH02,EMP036
GR00181,GR202400181,2024-04-26,PO00192,194.61,5.39,kualitas tidak sesuai,partial,WH01,EMP006
GR00182,GR202500182,2025-07-08,PO00193,2.50,0.00,,pass,WH02,EMP006
GR00183,GR202500183,2025-09-03,PO00194,400.00,0.00,,pass,WH03,EMP009
GR00184,GR202500184,2025-03-07,PO00195,994.72,5.28,rusak saat kirim,partial,WH02,EMP014
GR00185,GR202400185,2024-09-03,PO00196,9.84,0.16,rusak saat kirim,partial,WH03,EMP038
GR00186,GR202500186,2025-07-02,PO00197,9.98,0.02,rusak saat kirim,partial,WH03,EMP008
GR00187,GR202500187,2025-02-06,PO00198,9.76,0.24,spesifikasi beda,partial,WH03,EMP007
GR00188,GR202400188,2024-10-07,PO00199,43.06,6.94,kualitas tidak sesuai,fail,WH03,EMP001
GR00189,GR202500189,2025-05-22,PO00200,404.32,95.68,rusak saat kirim,fail,WH02,EMP039
GR00190,GR202500190,2025-12-11,PO00201,2.27,0.23,rusak saat kirim,partial,WH01,EMP032
GR00191,GR202400191,2024-11-06,PO00202,191.63,8.37,spesifikasi beda,partial,WH01,EMP014
GR00192,GR202500192,2025-11-25,PO00203,979.24,20.76,kualitas tidak sesuai,partial,WH02,EMP004
GR00193,GR202400193,2024-04-21,PO00204,197.20,2.80,spesifikasi beda,partial,WH01,EMP012
GR00194,GR202400194,2024-09-17,PO00205,99.58,0.42,rusak saat kirim,partial,WH03,EMP031
GR00195,GR202500195,2025-09-23,PO00206,244.87,5.13,kualitas tidak sesuai,partial,WH03,EMP017
GR00196,GR202500196,2025-09-23,PO00207,0.98,0.02,kualitas tidak sesuai,partial,WH03,EMP008
GR00197,GR202400197,2024-12-10,PO00208,91.00,9.00,rusak saat kirim,fail,WH03,EMP009
GR00198,GR202400198,2024-08-23,PO00209,458.48,41.52,kualitas tidak sesuai,fail,WH03,EMP036
GR00199,GR202500199,2025-02-15,PO00210,4.82,0.18,spesifikasi beda,partial,WH03,EMP017
GR00200,GR202400200,2024-04-19,PO00211,500.00,0.00,,pass,WH02,EMP018
GR00201,GR202400201,2024-05-18,PO00212,497.42,2.58,kualitas tidak sesuai,partial,WH02,EMP032
GR00202,GR202400202,2024-07-27,PO00213,0.96,0.04,kualitas tidak sesuai,partial,WH03,EMP001
GR00203,GR202500203,2025-10-08,PO00214,1.97,0.03,kualitas tidak sesuai,partial,WH03,EMP008
GR00204,GR202400204,2024-10-23,PO00217,4826.64,173.36,spesifikasi beda,partial,WH01,EMP031
GR00205,GR202400205,2024-11-26,PO00218,99.27,0.73,rusak saat kirim,partial,WH01,EMP035
GR00206,GR202500206,2025-02-13,PO00219,9.87,0.13,kualitas tidak sesuai,partial,WH02,EMP013
GR00207,GR202400207,2024-04-26,PO00221,1.97,0.03,spesifikasi beda,partial,WH03,EMP020
GR00208,GR202400208,2024-04-20,PO00222,1.96,0.04,rusak saat kirim,partial,WH03,EMP016
GR00209,GR202500209,2025-07-26,PO00223,18.46,1.54,spesifikasi beda,fail,WH01,EMP027
GR00210,GR202500210,2025-11-12,PO00224,976.56,23.44,rusak saat kirim,partial,WH03,EMP005
GR00211,GR202400211,2024-10-05,PO00225,9.97,0.03,rusak saat kirim,partial,WH01,EMP022
GR00212,GR202400212,2024-04-19,PO00226,4.94,0.06,rusak saat kirim,partial,WH03,EMP018
GR00213,GR202400213,2024-06-11,PO00227,9.92,0.08,spesifikasi beda,partial,WH02,EMP028
GR00214,GR202400214,2024-04-16,PO00228,1.00,0.00,,pass,WH02,EMP019
GR00215,GR202400215,2024-09-05,PO00229,25.00,0.00,,pass,WH02,EMP035
GR00216,GR202400216,2024-10-16,PO00230,48.58,1.42,rusak saat kirim,partial,WH01,EMP006
GR00217,GR202500217,2025-12-13,PO00232,19.86,0.14,rusak saat kirim,partial,WH03,EMP013
GR00218,GR202500218,2025-03-09,PO00233,39.59,0.41,rusak saat kirim,partial,WH01,EMP024
GR00219,GR202400219,2024-02-01,PO00234,405.81,94.19,spesifikasi beda,fail,WH01,EMP026
GR00220,GR202600220,2026-01-18,PO00235,9.59,0.41,kualitas tidak sesuai,partial,WH01,EMP014
GR00221,GR202400221,2024-05-27,PO00236,10.00,0.00,,pass,WH01,EMP011
GR00222,GR202400222,2024-10-15,PO00237,489.35,10.65,kualitas tidak sesuai,partial,WH01,EMP024
GR00223,GR202400223,2024-04-26,PO00238,1.95,0.05,spesifikasi beda,partial,WH03,EMP013
GR00224,GR202400224,2024-10-28,PO00239,9.53,0.47,spesifikasi beda,partial,WH03,EMP002
GR00225,GR202400225,2024-10-16,PO00241,362.59,37.41,spesifikasi beda,fail,WH03,EMP018
GR00226,GR202400226,2024-07-04,PO00242,9.89,0.11,rusak saat kirim,partial,WH01,EMP011
GR00227,GR202400227,2024-05-24,PO00243,47.55,2.45,spesifikasi beda,partial,WH01,EMP007
GR00228,GR202500228,2025-04-08,PO00244,984.09,15.91,kualitas tidak sesuai,partial,WH02,EMP035
GR00229,GR202500229,2025-11-24,PO00245,9.85,0.15,rusak saat kirim,partial,WH01,EMP039
GR00230,GR202400230,2024-11-11,PO00246,4.72,0.28,rusak saat kirim,partial,WH03,EMP035
GR00231,GR202400231,2024-06-14,PO00247,39.54,0.46,rusak saat kirim,partial,WH02,EMP012
GR00232,GR202500232,2025-04-15,PO00248,18.38,1.62,rusak saat kirim,fail,WH03,EMP019
GR00233,GR202400233,2024-04-21,PO00249,976.35,23.65,kualitas tidak sesuai,partial,WH03,EMP007
GR00234,GR202500234,2025-02-09,PO00250,4962.30,37.70,kualitas tidak sesuai,partial,WH02,EMP038
GR00235,GR202400235,2024-06-20,PO00251,1.99,0.01,rusak saat kirim,partial,WH02,EMP019
GR00236,GR202500236,2025-04-10,PO00252,24.61,0.39,rusak saat kirim,partial,WH02,EMP032
GR00237,GR202500237,2025-06-19,PO00253,397.02,2.98,spesifikasi beda,partial,WH03,EMP038
GR00238,GR202400238,2024-07-26,PO00254,199.23,0.77,kualitas tidak sesuai,partial,WH03,EMP022
GR00239,GR202500239,2025-09-15,PO00255,4.94,0.06,spesifikasi beda,partial,WH03,EMP033
GR00240,GR202500240,2025-09-16,PO00256,49.24,0.76,kualitas tidak sesuai,partial,WH02,EMP004
GR00241,GR202500241,2025-05-13,PO00257,19.69,0.31,spesifikasi beda,partial,WH03,EMP020
GR00242,GR202400242,2024-05-10,PO00258,91.33,8.67,kualitas tidak sesuai,fail,WH02,EMP008
GR00243,GR202400243,2024-06-13,PO00259,20.00,0.00,,pass,WH02,EMP021
GR00244,GR202400244,2024-06-13,PO00260,994.67,5.33,kualitas tidak sesuai,partial,WH01,EMP002
GR00245,GR202400245,2024-05-09,PO00261,996.66,3.34,kualitas tidak sesuai,partial,WH01,EMP013
GR00246,GR202500246,2025-04-02,PO00262,19.79,0.21,kualitas tidak sesuai,partial,WH02,EMP038
GR00247,GR202500247,2025-12-09,PO00263,1972.36,27.64,kualitas tidak sesuai,partial,WH02,EMP025
GR00248,GR202400248,2024-11-03,PO00264,36.76,3.24,rusak saat kirim,fail,WH03,EMP040
GR00249,GR202400249,2024-06-08,PO00265,996.12,3.88,spesifikasi beda,partial,WH03,EMP028
GR00250,GR202400250,2024-12-11,PO00266,5000.00,0.00,,pass,WH03,EMP027
GR00251,GR202500251,2025-05-19,PO00267,1969.95,30.05,kualitas tidak sesuai,partial,WH03,EMP029
GR00252,GR202500252,2025-11-16,PO00268,246.03,3.97,kualitas tidak sesuai,partial,WH02,EMP008
GR00253,GR202500253,2025-10-20,PO00269,44.89,5.11,spesifikasi beda,fail,WH02,EMP040
GR00254,GR202500254,2025-09-02,PO00270,3.67,0.33,rusak saat kirim,fail,WH03,EMP009
GR00255,GR202500255,2025-07-19,PO00271,1.94,0.06,kualitas tidak sesuai,partial,WH01,EMP008
GR00256,GR202500256,2025-05-03,PO00272,0.99,0.01,kualitas tidak sesuai,partial,WH02,EMP029
GR00257,GR202400257,2024-05-02,PO00273,98.19,1.81,kualitas tidak sesuai,partial,WH01,EMP028
GR00258,GR202500258,2025-12-29,PO00274,50.00,0.00,,pass,WH01,EMP020
GR00259,GR202400259,2024-12-24,PO00275,3.86,0.14,spesifikasi beda,partial,WH03,EMP033
GR00260,GR202400260,2024-12-21,PO00276,4.91,0.09,rusak saat kirim,partial,WH01,EMP037
GR00261,GR202400261,2024-07-18,PO00277,244.61,5.39,spesifikasi beda,partial,WH03,EMP004
GR00262,GR202500262,2025-11-09,PO00278,240.79,9.21,kualitas tidak sesuai,partial,WH02,EMP035
GR00263,GR202400263,2024-04-22,PO00279,0.95,0.05,kualitas tidak sesuai,partial,WH02,EMP030
GR00264,GR202500264,2025-10-21,PO00280,39.31,0.69,rusak saat kirim,partial,WH02,EMP039
GR00265,GR202400265,2024-03-23,PO00281,246.53,3.47,kualitas tidak sesuai,partial,WH02,EMP005
